EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,gamma,-0.00577483,0.0038686,500,0.00695088,314.171,-0.00193754,0.00130702,314.171,0.00233717
0,gamma,-0.00648432,-0.00839746,500,0.0106096,500.157,-0.0111474,-0.00519556,500.157,0.0122988
0,gamma,0.00559408,-0.0142465,500,0.0153055,135.725,0.00374504,-0.00475914,135.725,0.00605596
0,e-,0.00547501,-0.0142425,496.429,0.0152586,99038.4,2.75483,-3.46585,99038.9,4.42733
0,e-,0.00557434,-0.0143675,500,0.015411,99038.4,2.74988,-3.47281,99038.9,4.4297
0,e-,1.39225,-0.263669,496.584,1.41699,0.00929255,0.071144,0.0580375,0.0339631,0.0918141
0,e-,1.99305,0.226452,496.87,2.00587,0.00346391,-0.00435286,-0.0490331,0.0335994,0.0492259
0,e-,1.98067,0.0870376,496.966,1.98258,0,-0,-0,0,0
0,e-,1.98067,0.0870376,496.966,1.98258,0,-0,-0,0,0
0,e-,1.94014,0.296172,496.966,1.96261,0,-0,0,0,0
0,e-,1.94014,0.296172,496.966,1.96261,0,-0,0,0,0
1,gamma,-0.00493421,-0.000237177,500,0.0049399,41477.9,-0.940558,0.0881876,41477.9,0.944683
1,gamma,0.00689435,-0.0381564,500,0.0387742,3672.44,0.0909272,-0.552407,3672.44,0.55984
1,e-,-0.00627725,-0.0344812,500,0.035048,54839.4,-1.67973,-7.31218,54839.9,7.50263
2,gamma,-0.00475329,-0.0164265,500,0.0171004,166.155,-0.00378335,-0.00954664,166.155,0.010269
2,e-,0.00595687,-0.0296199,500,0.030213,99825.4,2.20778,-11.1828,99825.9,11.3986
3,gamma,1.08374,0.414479,500,1.1603,16.0824,0.0702154,0.0269138,16.0822,0.0751968
3,e+,4.27003,0.0586931,500,4.27043,349.094,5.22328,-0.178912,349.566,5.22635
3,gamma,-2.47472,2.39493,500,3.44382,0.0303963,-0.000303905,0.000294594,0.0303934,0.000423254
3,gamma,0.00675536,0.0184959,500,0.0196909,193.865,0.00514647,0.0128002,193.865,0.013796
3,e-,0.00571313,0.0199448,487.786,0.0207469,99233.5,2.22259,7.28002,99234,7.61174
3,e-,0.0059867,0.0208408,500,0.0216837,99233.5,2.297,7.30404,99234,7.65671
3,e-,0.483588,1.00784,487.895,1.11786,0.0062988,0.0309037,0.0350829,-0.0655071,0.046753
3,e-,0.67249,1.22229,487.495,1.39508,0,-0,-0,0,0
3,e-,0.67249,1.22229,487.495,1.39508,0,-0,-0,0,0
4,e-,-0.0064112,-0.00100759,500,0.0064899,99991.6,-2.73842,0.016608,99992.1,2.73847
5,gamma,0.0157162,0.00551617,500,0.0166562,7948.75,0.419231,0.157901,7948.75,0.447982
5,gamma,0.0438248,-0.0134123,500,0.0458312,251.869,0.0421664,-0.0143416,251.869,0.0445386
5,e-,0.0401882,-0.0141533,500,0.0426076,91790.5,14.0579,-5.61079,91791,15.1362
6,gamma,-0.0196295,0.0151676,500,0.0248067,3.66555,-0.000306571,0.000236243,3.66555,0.000387035
6,e-,-0.0441602,0.00698259,500,0.0447088,99987.6,-18.4611,3.11845,99988.1,18.7227
7,gamma,0.011508,0.0088946,500,0.0145447,85.7779,0.00423892,0.0025089,85.7779,0.00492575
7,gamma,0.0251337,0.00124755,500,0.0251647,2.66903,0.000275796,-5.03856e-06,2.66903,0.000275842
7,gamma,0.0303674,-0.000471415,500,0.0303711,2.86048,0.000357452,-2.56509e-05,2.86048,0.000358371
7,gamma,0.0303633,-0.000257587,500,0.0303644,10923.8,1.36488,-0.0882434,10923.8,1.36773
7,e-,0.0361664,-0.00323,500,0.0363103,88976.3,13.4844,-1.63977,88976.8,13.5838
8,gamma,0.000555087,-0.00047388,500,0.000729851,8293.83,-0.0476846,-0.0857732,8293.83,0.0981369
8,gamma,-7.10586e-05,0.00511302,500,0.00511352,2361.95,-0.0196318,0.0282626,2361.95,0.0344119
8,gamma,0.00254401,0.00618683,500,0.00668946,34.2891,7.47651e-05,0.000558304,34.2891,0.000563288
8,gamma,-0.0115545,0.00103938,500,0.0116011,1798.1,-0.0997878,-0.0085328,1798.1,0.100152
8,e-,-0.00766035,-0.00455212,500,0.00891082,87503,-2.9487,-2.35458,87503.5,3.77345
9,gamma,-0.0710789,-0.0394314,500,0.0812837,11.0746,-0.00309564,-0.00186566,11.0746,0.00361437
9,gamma,-0.0629769,-0.0515089,500,0.0813588,471.996,-0.116217,-0.102987,471.996,0.155282
9,e+,-0.05578,-0.0433536,500,0.0706466,42978.5,-9.34452,-8.0664,42979,12.3445
9,e-,0.0451294,0.0727826,497.436,0.0856386,10039.7,2.28134,3.13518,10040.2,3.87735
9,e-,0.0457119,0.0735832,500,0.086626,10039.7,2.27911,3.13155,10040.2,3.87311
9,e-,-0.00404471,-0.0288925,497.442,0.0291743,0,-0,-0,0,0
9,e-,-0.00404471,-0.0288925,497.442,0.0291743,0,-0,-0,0,0
9,gamma,0.0294129,-0.0111684,500,0.0314619,8.66551,0.00107547,-0.000478563,8.66551,0.00117714
9,gamma,0.0500828,-0.0240206,500,0.0555452,92.5811,0.0193163,-0.00998987,92.5811,0.0217467
9,e-,0.0433028,-0.0122219,500,0.0449945,46378.4,8.3432,-2.98902,46378.9,8.86246
10,gamma,-0.00125017,-0.0243401,500,0.0243722,5.27912,2.43962e-06,-0.000532633,5.27912,0.000532638
10,gamma,0.00410684,-0.0177228,500,0.0181924,1003.17,0.0217688,-0.0747793,1003.17,0.0778834
10,e-,0.0135083,-0.0237305,500,0.0273059,98980.1,5.77692,-9.96793,98980.6,11.521
11,gamma,0.00539347,-0.00551428,500,0.00771342,1410.67,0.0329493,-0.018765,1410.67,0.0379181
11,gamma,-0.00117131,0.00299321,500,0.00321423,3526.59,-0.0104932,0.0737642,3526.59,0.0745068
11,gamma,-0.00463194,-0.00183676,500,0.00498282,188.965,-0.00324548,0.000260927,188.965,0.00325596
11,gamma,-0.0081024,-0.000810717,500,0.00814286,35.6304,-0.00112322,0.000200594,35.6304,0.00114099
11,e-,-0.00757488,0.00186234,500,0.00780045,94828.8,-2.90918,2.05773,94829.3,3.56337
12,gamma,-0.00254889,0.0136215,500,0.0138579,50255.3,-0.50366,2.602,50255.3,2.6503
12,gamma,0.00221087,-0.00324925,500,0.00393009,5028.33,0.0474823,-0.0769437,5028.33,0.0904152
12,e-,0.0122647,0.00688824,498.522,0.0140666,44704.6,2.18374,1.0453,44705.1,2.42103
12,e-,0.0123369,0.0069228,500,0.0141465,44704.6,2.17806,1.0408,44705.1,2.41397
12,e-,0.12616,0.058755,498.53,0.139171,0.00158353,0.0212011,0.0249795,-0.0233969,0.0327637
12,e-,0.14968,0.0864668,498.504,0.17286,0,0,0,-0,0
12,e-,0.14968,0.0864668,498.504,0.17286,0,0,0,-0,0
12,e-,0.137736,0.030467,498.51,0.141065,0,0,-0,-0,0
12,e-,0.137736,0.030467,498.51,0.141065,0,0,-0,-0,0
13,gamma,-0.00336341,0.00589257,500,0.0067849,8300.49,-0.0935976,0.128299,8300.49,0.158811
13,e-,-0.0118856,-0.00512583,488.189,0.0129438,91692,-4.32809,-2.94634,91692.5,5.23577
13,e-,-0.0124431,-0.00550535,500,0.0136066,91692,-4.38109,-2.90154,91692.5,5.25479
13,e-,-0.0183635,-0.0385529,488.19,0.042703,0,-0,-0,0,0
13,e-,-0.0183635,-0.0385529,488.19,0.042703,0,-0,-0,0,0
14,e-,0.000710065,0.0013245,500,0.00150282,99991.7,0.833841,-0.41249,99992.2,0.93029
15,gamma,0.0100468,0.00174792,500,0.0101977,2609.62,0.098887,0.00833677,2609.62,0.0992378
15,gamma,0.0228281,0.0019942,500,0.022915,164.588,0.014668,0.000703111,164.588,0.0146849
15,gamma,0.00798499,0.00644848,500,0.0102637,336.532,0.00966149,0.00749969,336.532,0.0122307
15,e-,-0.00120827,-0.00876862,500,0.00885148,96881.1,-1.00823,-3.79297,96881.6,3.92469
16,gamma,0.0271652,-0.00391437,500,0.0274458,7887.47,0.762584,-0.195983,7887.47,0.787365
16,e-,0.0313368,-0.00157169,500,0.0313762,92104.2,10.8946,-1.28385,92104.7,10.97
17,gamma,-0.0097999,0.00502621,500,0.0110137,2765.02,-0.0830431,0.0361069,2765.02,0.0905531
17,e-,-0.0176147,-0.0167815,500,0.0243289,97217.9,-6.34738,-7.05982,97218.4,9.4937
18,gamma,0.0107559,0.0111366,500,0.0154826,8.03261,0.000346008,0.000222486,8.03261,0.000411366
18,e-,0.0170965,0.0118283,500,0.0207894,99983.6,6.86973,3.03246,99984.2,7.50926
19,gamma,0.000328408,-0.00312208,500,0.00313931,450.067,-0.00305566,-0.00285869,450.067,0.00418439
19,gamma,-0.0044744,-0.00871001,500,0.00979207,4460,-0.113763,-0.12497,4460,0.168996
19,gamma,0.000330244,-0.0151707,500,0.0151743,8.08306,-5.43153e-05,-0.000428326,8.08306,0.000431756
19,e-,-0.00498088,-0.00906167,483.697,0.0103404,95073.8,-3.18052,-2.83709,95074.3,4.26202
19,e-,-0.00552627,-0.00954817,500,0.0110321,95073.8,-3.25485,-2.86733,95074.3,4.3377
19,e-,-0.0120346,-0.111468,483.702,0.112116,0,-0,-0,0,0
19,e-,-0.0120346,-0.111468,483.702,0.112116,0,-0,-0,0,0
20,gamma,0.0147607,-0.0203678,500,0.025154,22188.9,1.13124,-1.83352,22188.9,2.15441
20,gamma,0.0165621,-0.0260271,500,0.0308499,341.59,0.0198803,-0.0360306,341.59,0.0411513
20,gamma,0.0134914,-0.0266367,500,0.0298585,122.744,0.00558937,-0.0132161,122.744,0.0143494
20,e-,0.00752194,-0.0200353,483.654,0.0214008,77335.3,1.95444,-6.7382,77335.8,7.01592
20,e-,0.00793505,-0.0214595,500,0.0228796,77335.3,1.96589,-6.73253,77335.8,7.01367
20,e-,-0.0595252,0.154526,483.665,0.165594,0,-0,0,0,0
20,e-,-0.0595252,0.154526,483.665,0.165594,0,-0,0,0,0
21,e+,1.93229,-1.49416,500,2.44259,384.513,3.22016,-2.27794,385.004,3.94442
21,e-,-1.82012,1.83529,500,2.58479,38.1792,-0.315236,0.626301,38.6804,0.70116
21,e-,-0.0227493,0.0128408,500,0.0261232,99564.6,-10.0278,3.92873,99565.1,10.7699
22,gamma,0.00165894,0.00127612,500,0.00209298,11004.8,0.0182612,0.0140472,11004.8,0.023039
22,gamma,-0.000972532,-0.00206134,500,0.00227925,57.6303,4.39437e-05,-0.0006398,57.6303,0.000641308
22,gamma,0.0271689,-0.0042574,500,0.0275004,4.0308,0.000446346,-8.08076e-05,4.0308,0.000453602
22,gamma,0.0243977,-0.00407249,500,0.0247353,24.4977,0.00243977,-0.000472867,24.4977,0.00248517
