EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,gamma,-0.00577483,0.0038686,500,500,314.171,-0.00193754,0.00130702,314.171,314.171
0,gamma,-0.00648432,-0.00839746,500,500,500.157,-0.0111474,-0.00519556,500.157,500.157
0,gamma,0.00559408,-0.0142465,500,500,135.725,0.00374504,-0.00475914,135.725,135.725
0,e-,0.00547501,-0.0142425,496.429,496.429,99038.4,2.75483,-3.46585,99038.9,99038.9
0,e-,0.00557434,-0.0143675,500,500,99038.4,2.74988,-3.47281,99038.9,99038.9
0,e-,1.39225,-0.263669,496.584,496.586,0.00929255,0.071144,0.0580375,0.0339631,0.0978944
0,e-,1.99305,0.226452,496.87,496.874,0.00346391,-0.00435286,-0.0490331,0.0335994,0.0595996
0,e-,1.98067,0.0870376,496.966,496.97,0,-0,-0,0,0
0,e-,1.98067,0.0870376,496.966,496.97,0,-0,-0,0,0
0,e-,1.94014,0.296172,496.966,496.97,0,-0,0,0,0
0,e-,1.94014,0.296172,496.966,496.97,0,-0,0,0,0
1,gamma,-0.00493421,-0.000237177,500,500,41477.9,-0.940558,0.0881876,41477.9,41477.9
1,gamma,0.00689435,-0.0381564,500,500,3672.44,0.0909272,-0.552407,3672.44,3672.44
1,e-,-0.00627725,-0.0344812,500,500,54839.4,-1.67973,-7.31218,54839.9,54839.9
2,gamma,-0.00475329,-0.0164265,500,500,166.155,-0.00378335,-0.00954664,166.155,166.155
2,e-,0.00595687,-0.0296199,500,500,99825.4,2.20778,-11.1828,99825.9,99825.9
3,gamma,1.08374,0.414479,500,500.001,16.0824,0.0702154,0.0269138,16.0822,16.0824
3,e+,4.27003,0.0586931,500,500.018,349.094,5.22328,-0.178912,349.566,349.605
3,gamma,-2.47472,2.39493,500,500.012,0.0303963,-0.000303905,0.000294594,0.0303934,0.0303963
3,gamma,0.00675536,0.0184959,500,500,193.865,0.00514647,0.0128002,193.865,193.865
3,e-,0.00571313,0.0199448,487.786,487.786,99233.5,2.22259,7.28002,99234,99234
3,e-,0.0059867,0.0208408,500,500,99233.5,2.297,7.30404,99234,99234
3,e-,0.483588,1.00784,487.895,487.897,0.0062988,0.0309037,0.0350829,-0.0655071,0.08048
3,e-,0.67249,1.22229,487.495,487.497,0,-0,-0,0,0
3,e-,0.67249,1.22229,487.495,487.497,0,-0,-0,0,0
4,e-,-0.0064112,-0.00100759,500,500,99991.6,-2.73842,0.016608,99992.1,99992.1
5,gamma,0.0157162,0.00551617,500,500,7948.75,0.419231,0.157901,7948.75,7948.75
5,gamma,0.0438248,-0.0134123,500,500,251.869,0.0421664,-0.0143416,251.869,251.869
5,e-,0.0401882,-0.0141533,500,500,91790.5,14.0579,-5.61079,91791,91791
6,gamma,-0.0196295,0.0151676,500,500,3.66555,-0.000306571,0.000236243,3.66555,3.66555
6,e-,-0.0441602,0.00698259,500,500,99987.6,-18.4611,3.11845,99988.1,99988.2
7,gamma,0.011508,0.0088946,500,500,85.7779,0.00423892,0.0025089,85.7779,85.7779
7,gamma,0.0251337,0.00124755,500,500,2.66903,0.000275796,-5.03856e-06,2.66903,2.66903
7,gamma,0.0303674,-0.000471415,500,500,2.86048,0.000357452,-2.56509e-05,2.86048,2.86048
7,gamma,0.0303633,-0.000257587,500,500,10923.8,1.36488,-0.0882434,10923.8,10923.8
7,e-,0.0361664,-0.00323,500,500,88976.3,13.4844,-1.63977,88976.8,88976.8
8,gamma,0.000555087,-0.00047388,500,500,8293.83,-0.0476846,-0.0857732,8293.83,8293.83
8,gamma,-7.10586e-05,0.00511302,500,500,2361.95,-0.0196318,0.0282626,2361.95,2361.95
8,gamma,0.00254401,0.00618683,500,500,34.2891,7.47651e-05,0.000558304,34.2891,34.2891
8,gamma,-0.0115545,0.00103938,500,500,1798.1,-0.0997878,-0.0085328,1798.1,1798.1
8,e-,-0.00766035,-0.00455212,500,500,87503,-2.9487,-2.35458,87503.5,87503.5
9,gamma,-0.0710789,-0.0394314,500,500,11.0746,-0.00309564,-0.00186566,11.0746,11.0746
9,gamma,-0.0629769,-0.0515089,500,500,471.996,-0.116217,-0.102987,471.996,471.996
9,e+,-0.05578,-0.0433536,500,500,42978.5,-9.34452,-8.0664,42979,42979
9,e-,0.0451294,0.0727826,497.436,497.436,10039.7,2.28134,3.13518,10040.2,10040.2
9,e-,0.0457119,0.0735832,500,500,10039.7,2.27911,3.13155,10040.2,10040.2
9,e-,-0.00404471,-0.0288925,497.442,497.442,0,-0,-0,0,0
9,e-,-0.00404471,-0.0288925,497.442,497.442,0,-0,-0,0,0
9,gamma,0.0294129,-0.0111684,500,500,8.66551,0.00107547,-0.000478563,8.66551,8.66551
9,gamma,0.0500828,-0.0240206,500,500,92.5811,0.0193163,-0.00998987,92.5811,92.5811
9,e-,0.0433028,-0.0122219,500,500,46378.4,8.3432,-2.98902,46378.9,46378.9
10,gamma,-0.00125017,-0.0243401,500,500,5.27912,2.43962e-06,-0.000532633,5.27912,5.27912
10,gamma,0.00410684,-0.0177228,500,500,1003.17,0.0217688,-0.0747793,1003.17,1003.17
10,e-,0.0135083,-0.0237305,500,500,98980.1,5.77692,-9.96793,98980.6,98980.6
11,gamma,0.00539347,-0.00551428,500,500,1410.67,0.0329493,-0.018765,1410.67,1410.67
11,gamma,-0.00117131,0.00299321,500,500,3526.59,-0.0104932,0.0737642,3526.59,3526.59
11,gamma,-0.00463194,-0.00183676,500,500,188.965,-0.00324548,0.000260927,188.965,188.965
11,gamma,-0.0081024,-0.000810717,500,500,35.6304,-0.00112322,0.000200594,35.6304,35.6304
11,e-,-0.00757488,0.00186234,500,500,94828.8,-2.90918,2.05773,94829.3,94829.3
12,gamma,-0.00254889,0.0136215,500,500,50255.3,-0.50366,2.602,50255.3,50255.3
12,gamma,0.00221087,-0.00324925,500,500,5028.33,0.0474823,-0.0769437,5028.33,5028.33
12,e-,0.0122647,0.00688824,498.522,498.522,44704.6,2.18374,1.0453,44705.1,44705.1
12,e-,0.0123369,0.0069228,500,500,44704.6,2.17806,1.0408,44705.1,44705.1
12,e-,0.12616,0.058755,498.53,498.53,0.00158353,0.0212011,0.0249795,-0.0233969,0.0402601
12,e-,0.14968,0.0864668,498.504,498.504,0,0,0,-0,0
12,e-,0.14968,0.0864668,498.504,498.504,0,0,0,-0,0
12,e-,0.137736,0.030467,498.51,498.51,0,0,-0,-0,0
12,e-,0.137736,0.030467,498.51,498.51,0,0,-0,-0,0
13,gamma,-0.00336341,0.00589257,500,500,8300.49,-0.0935976,0.128299,8300.49,8300.49
13,e-,-0.0118856,-0.00512583,488.189,488.189,91692,-4.32809,-2.94634,91692.5,91692.5
13,e-,-0.0124431,-0.00550535,500,500,91692,-4.38109,-2.90154,91692.5,91692.5
13,e-,-0.0183635,-0.0385529,488.19,488.19,0,-0,-0,0,0
13,e-,-0.0183635,-0.0385529,488.19,488.19,0,-0,-0,0,0
14,e-,0.000710065,0.0013245,500,500,99991.7,0.833841,-0.41249,99992.2,99992.2
15,gamma,0.0100468,0.00174792,500,500,2609.62,0.098887,0.00833677,2609.62,2609.62
15,gamma,0.0228281,0.0019942,500,500,164.588,0.014668,0.000703111,164.588,164.588
15,gamma,0.00798499,0.00644848,500,500,336.532,0.00966149,0.00749969,336.532,336.532
15,e-,-0.00120827,-0.00876862,500,500,96881.1,-1.00823,-3.79297,96881.6,96881.6
16,gamma,0.0271652,-0.00391437,500,500,7887.47,0.762584,-0.195983,7887.47,7887.47
16,e-,0.0313368,-0.00157169,500,500,92104.2,10.8946,-1.28385,92104.7,92104.7
17,gamma,-0.0097999,0.00502621,500,500,2765.02,-0.0830431,0.0361069,2765.02,2765.02
17,e-,-0.0176147,-0.0167815,500,500,97217.9,-6.34738,-7.05982,97218.4,97218.4
18,gamma,0.0107559,0.0111366,500,500,8.03261,0.000346008,0.000222486,8.03261,8.03261
18,e-,0.0170965,0.0118283,500,500,99983.6,6.86973,3.03246,99984.2,99984.2
19,gamma,0.000328408,-0.00312208,500,500,450.067,-0.00305566,-0.00285869,450.067,450.067
19,gamma,-0.0044744,-0.00871001,500,500,4460,-0.113763,-0.12497,4460,4460
19,gamma,0.000330244,-0.0151707,500,500,8.08306,-5.43153e-05,-0.000428326,8.08306,8.08306
19,e-,-0.00498088,-0.00906167,483.697,483.697,95073.8,-3.18052,-2.83709,95074.3,95074.3
19,e-,-0.00552627,-0.00954817,500,500,95073.8,-3.25485,-2.86733,95074.3,95074.3
19,e-,-0.0120346,-0.111468,483.702,483.702,0,-0,-0,0,0
19,e-,-0.0120346,-0.111468,483.702,483.702,0,-0,-0,0,0
20,gamma,0.0147607,-0.0203678,500,500,22188.9,1.13124,-1.83352,22188.9,22188.9
20,gamma,0.0165621,-0.0260271,500,500,341.59,0.0198803,-0.0360306,341.59,341.59
20,gamma,0.0134914,-0.0266367,500,500,122.744,0.00558937,-0.0132161,122.744,122.744
20,e-,0.00752194,-0.0200353,483.654,483.654,77335.3,1.95444,-6.7382,77335.8,77335.8
20,e-,0.00793505,-0.0214595,500,500,77335.3,1.96589,-6.73253,77335.8,77335.8
20,e-,-0.0595252,0.154526,483.665,483.665,0,-0,0,0,0
20,e-,-0.0595252,0.154526,483.665,483.665,0,-0,0,0,0
21,e+,1.93229,-1.49416,500,500.006,384.513,3.22016,-2.27794,385.004,385.024
21,e-,-1.82012,1.83529,500,500.007,38.1792,-0.315236,0.626301,38.6804,38.6868
21,e-,-0.0227493,0.0128408,500,500,99564.6,-10.0278,3.92873,99565.1,99565.1
22,gamma,0.00165894,0.00127612,500,500,11004.8,0.0182612,0.0140472,11004.8,11004.8
22,gamma,-0.000972532,-0.00206134,500,500,57.6303,4.39437e-05,-0.0006398,57.6303,57.6303
22,gamma,0.0271689,-0.0042574,500,500,4.0308,0.000446346,-8.08076e-05,4.0308,4.0308
22,gamma,0.0243977,-0.00407249,500,500,24.4977,0.00243977,-0.000472867,24.4977,24.4977
22,e-,0.0269888,-0.0043346,493.592,493.592,88900.2,9.89881,-1.86605,88900.7,88900.7
22,e-,0.0277022,-0.00446909,500,500,88900.2,9.88784,-1.84127,88900.7,88900.7
22,e-,0.142262,0.125193,493.603,493.603,0,0,0,0,0
22,e-,0.142262,0.125193,493.603,493.603,0,0,0,0,0
23,gamma,0.00186691,-0.0134414,500,500,1062.68,0.0175511,-0.0583435,1062.68,1062.68
23,e-,0.00818117,-0.0102565,500,500,98929,4.43497,-4.11046,98929.5,98929.5
