EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,2.46373,-2.27643,500,500.011,991.962,9.04097,-11.0363,1092.43,1092.52
1,mu+,-0.00347766,-1.38788,500,500.002,991.185,0.433973,-5.67899,1091.73,1091.74
2,mu+,1.54193,-1.4448,500,500.004,990.204,5.01914,-8.31697,1090.71,1090.76
3,mu+,-1.65994,-3.17551,500,500.013,992.268,-8.01484,-14.1489,1092.71,1092.83
4,mu+,-0.659986,0.376477,500,500.001,991.444,-2.48105,1.72181,1092,1092
5,mu+,-0.674686,-0.00606732,490.656,490.656,989.96,-3.91981,0.528988,1090.5,1090.51
5,mu+,-0.708274,-0.00153444,500,500.001,989.959,-3.86984,0.533817,1090.5,1090.51
5,e-,-0.698135,-0.0979852,490.66,490.661,0,-0,-0,0,0
5,e-,-0.698135,-0.0979852,490.66,490.661,0,-0,-0,0,0
6,mu+,0.176763,-0.656874,500,500,992.053,-0.536519,-2.57363,1092.61,1092.61
7,mu+,-3.20241,-0.481967,500,500.01,992.404,-13.9464,-1.42648,1092.88,1092.97
8,mu+,0.664663,1.11577,500,500.002,991.282,3.98903,4.82708,1091.82,1091.84
9,mu+,-0.13453,0.249486,500,500,992.317,-1.13058,1.8524,1092.88,1092.88
10,mu+,0.820956,-0.902973,500,500.001,992.615,3.71596,-3.76944,1093.17,1093.18
11,mu+,0.543386,-2.39393,500,500.006,991.901,2.15117,-9.86307,1092.42,1092.46
12,mu+,-1.43242,1.29422,500,500.004,991.628,-6.37562,5.43624,1092.16,1092.19
13,mu+,-1.61444,0.61209,500,500.003,990.365,-7.2641,2.52628,1090.89,1090.92
14,mu+,1.4796,-0.813888,500,500.003,991.382,6.75847,-1.70333,1091.92,1091.94
15,mu+,-1.46635,-0.990113,500,500.003,992.455,-5.34229,-4.19401,1093,1093.02
16,mu+,0.968087,-0.921677,500,500.002,991.61,3.12199,-4.99036,1092.15,1092.17
17,mu+,2.38056,-0.82583,500,500.006,992.351,9.99841,-3.93815,1092.86,1092.91
18,mu+,-0.728851,0.684339,500,500.001,992.187,-3.84878,3.69203,1092.74,1092.75
19,mu+,-0.348264,0.57318,500,500,990.955,-1.12937,2.44321,1091.51,1091.51
20,mu+,0.10403,0.148593,500,500,988.724,0.13156,0.936241,1089.27,1089.27
21,mu+,-0.311105,-2.69874,489.245,489.253,992.055,-0.444544,-12.5093,1092.54,1092.62
21,mu+,-0.315481,-2.82187,500,500.008,992.054,-0.401777,-12.4947,1092.54,1092.62
21,e-,-0.342406,-2.74508,489.247,489.255,0,-0,-0,0,0
21,e-,-0.342406,-2.74508,489.247,489.255,0,-0,-0,0,0
22,mu+,1.26434,-1.77681,486.885,486.89,988.351,5.41761,-7.86784,1088.85,1088.89
22,mu+,1.32959,-1.87158,500,500.005,988.349,5.39194,-7.90104,1088.85,1088.89
22,e-,1.24433,-1.79582,486.886,486.891,0,-0,-0,0,0
22,e-,1.24433,-1.79582,486.886,486.891,0,-0,-0,0,0
23,mu+,-1.1315,0.106975,500,500.001,991.743,-5.22278,1.57132,1092.29,1092.3
24,mu+,-1.52938,2.16417,500,500.007,992.572,-5.86237,9.43514,1093.08,1093.14
25,mu+,1.21724,1.15893,500,500.003,991.855,5.32382,5.18228,1092.39,1092.42
26,mu+,0.197263,0.742297,492.932,492.933,991.34,0.693864,3.13741,1091.89,1091.9
26,mu+,0.201754,0.762605,500,500.001,991.338,0.648302,3.1036,1091.89,1091.9
26,e-,0.176873,0.734986,492.933,492.934,0,-0,-0,0,0
26,e-,0.176873,0.734986,492.933,492.934,0,-0,-0,0,0
27,mu+,1.69408,1.05831,500,500.004,987.969,6.13871,4.00169,1088.49,1088.51
28,mu+,-0.61676,1.90632,500,500.004,990.577,-2.71871,9.46391,1091.09,1091.13
29,mu+,0.865197,-0.692277,500,500.001,991.866,3.40119,-2.69566,1092.42,1092.43
30,mu+,1.42483,-1.59695,500,500.005,991.882,5.91148,-6.74178,1092.41,1092.44
31,mu+,2.14814,2.30698,500,500.01,989.142,8.80557,10.3276,1089.61,1089.69
32,mu+,1.08507,-1.79336,500,500.004,985.873,5.35431,-7.42079,1086.37,1086.41
33,mu+,-0.0541017,-1.68184,500,500.003,964.142,0.670467,-6.46898,1064.55,1064.57
34,mu+,-0.18322,-1.27206,500,500.002,992.241,0.425479,-5.27106,1092.79,1092.8
35,mu+,-0.43362,0.230746,498.039,498.039,992.454,-1.44337,2.22042,1093.01,1093.02
35,mu+,-0.436209,0.234729,500,500,992.454,-1.44337,2.22042,1093.01,1093.02
35,e-,-0.392414,0.211278,498.041,498.041,0,0,-0,0,0
35,e-,-0.392414,0.211278,498.041,498.041,0,0,-0,0,0
36,mu+,-1.13874,1.94225,481.722,481.728,992.08,-4.43819,9.1656,1092.59,1092.64
36,mu+,-1.21298,2.09558,500,500.006,992.077,-4.49136,9.1765,1092.59,1092.64
36,e-,-1.13926,2.00528,481.725,481.73,0,-0,0,0,0
36,e-,-1.13926,2.00528,481.725,481.73,0,-0,0,0,0
37,mu+,-0.0106671,0.484101,500,500,992.629,1.34076,2.91313,1093.19,1093.19
38,mu+,2.74278,1.17619,494.53,494.539,990.752,11.6995,6.41189,1091.23,1091.31
38,mu+,2.80143,1.20833,500,500.009,990.751,11.7147,6.40576,1091.22,1091.31
