EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu-,-0.00378312,-0.0158315,500,500,99991.8,-2.0173,-5.23785,100097,100097
1,mu-,0.0122291,-0.0243745,500,500,99990.5,5.31085,-9.71391,100096,100096
2,mu-,-0.00129598,-0.0164663,500,500,99991.6,-0.394014,-7.32394,100097,100097
3,mu-,-0.00132465,0.015403,500,500,99985.4,-0.952,5.42159,100091,100091
4,mu-,0.00973815,0.00276596,500,500,99989,2.13905,1.09228,100095,100095
5,mu-,0.003257,-0.00310838,480.633,480.633,99990.8,2.17039,-1.33967,100096,100096
5,mu-,0.00367694,-0.00336759,500,500,99990.8,2.22777,-1.23422,100096,100096
5,e-,-0.0978333,-0.120609,480.641,480.641,0,-0,-0,0,0
5,e-,-0.0978333,-0.120609,480.641,480.641,0,-0,-0,0,0
6,mu-,-0.0025028,-0.0123107,500,500,99989.3,0.0235001,-4.12261,100095,100095
7,mu-,-0.00465445,-0.0214173,500,500,99983.5,-1.67062,-8.81871,100089,100089
8,mu-,0.032776,-0.0253628,500,500,99991.2,12.0089,-11.2144,100097,100097
9,mu-,-0.00959577,0.0274431,497.528,497.528,99990.3,-6.07415,10.8623,100096,100096
9,mu-,-0.00974579,0.0277114,500,500,99990.3,-6.07967,10.8539,100096,100096
9,e-,0.82055,0.702108,497.634,497.635,0.0044372,0.0121477,-0.0565891,0.0347073,0.067487
9,e-,0.867799,0.482002,497.769,497.77,0,0,-0,0,0
9,e-,0.867799,0.482002,497.769,497.77,0,0,-0,0,0
10,mu-,0.00740853,-0.0161309,496.978,496.978,99991.9,2.19434,-6.63287,100097,100097
10,mu-,0.00747478,-0.0163311,500,500,99991.9,2.22386,-6.62679,100097,100097
10,e-,0.240206,-0.0600537,496.993,496.993,0,0,-0,0,0
10,e-,0.240206,-0.0600537,496.993,496.993,0,0,-0,0,0
11,mu-,-0.0100826,0.00573354,500,500,99991.5,-3.8082,2.92703,100097,100097
12,mu-,0.00251487,0.0111391,486.242,486.242,99991.4,0.0396551,3.28868,100097,100097
12,mu-,0.00252032,0.0115911,500,500,99991.4,0.00224208,3.34334,100097,100097
12,e-,0.0059113,0.035338,486.243,486.243,0,0,0,0,0
12,e-,0.0059113,0.035338,486.243,486.243,0,0,0,0,0
13,mu-,0.00781379,-0.0392783,500,500,99981.9,0.736682,-11.7443,100087,100087
14,mu-,0.0118948,0.030892,500,500,99991.7,5.41817,11.3349,100097,100097
15,mu-,0.0144498,0.0111952,500,500,99992,5.89442,4.89157,100098,100098
16,mu-,-0.00414621,-0.0185221,500,500,99991.8,-1.08477,-7.21334,100097,100097
17,mu-,0.013223,0.0059303,500,500,99992.1,6.0188,2.00383,100098,100098
18,mu-,0.0107504,0.00547543,500,500,99983.2,4.2198,1.57835,100089,100089
19,mu-,0.00625616,0.0239373,500,500,99988,2.21868,8.34457,100094,100094
20,mu-,0.00896253,0.00490459,500,500,99990.1,4.10164,1.73088,100096,100096
21,mu-,-0.0188502,0.0127803,500,500,99986.2,-0.657661,2.33545,100092,100092
22,mu-,-0.0213468,-0.00270202,500,500,99990.7,-7.38883,-1.9042,100096,100096
23,mu-,0.0011181,0.00839627,500,500,99991.4,-0.266178,3.3723,100097,100097
24,mu-,-0.00980452,-0.0192727,500,500,99990.6,-3.7437,-7.71163,100096,100096
25,mu-,0.01738,0.00834807,494.781,494.781,99991,6.78491,2.09409,100097,100097
25,mu-,0.0177338,0.00845726,500,500,99991,6.74735,2.0974,100097,100097
25,e-,-0.00455386,0.00585902,494.781,494.781,0,-0,-0,0,0
25,e-,-0.00455386,0.00585902,494.781,494.781,0,-0,-0,0,0
26,mu-,-0.00420474,0.000359393,484.612,484.612,99989.6,-1.87234,-0.503024,100095,100095
26,mu-,-0.00440383,0.000302522,495.364,495.364,99989.6,-1.91617,-0.576586,100095,100095
26,mu-,-0.00449259,0.000275815,500,500,99989.6,-1.88294,-0.538958,100095,100095
26,e-,0.0827501,0.050681,495.369,495.369,0,0,0,0,0
26,e-,0.0827501,0.050681,495.369,495.369,0,0,0,0,0
26,e-,-0.0237227,-0.0125944,484.613,484.613,0,-0,-0,0,0
26,e-,-0.0237227,-0.0125944,484.613,484.613,0,-0,-0,0,0
27,mu-,0.023141,0.0132837,500,500,99990.7,10.1606,6.89522,100096,100096
28,mu-,-0.00442817,-0.0139186,500,500,99991.2,-1.26696,-6.15327,100097,100097
29,mu-,0.0159615,0.014426,500,500,99992.4,5.71799,6.53221,100098,100098
30,mu-,-0.00197662,0.0138332,493.873,493.873,99991.7,-0.524303,5.91352,100097,100097
30,mu-,-0.00200871,0.0141951,500,500,99991.7,-0.522125,5.90961,100097,100097
30,e-,0.0130456,0.0325592,493.874,493.874,0,0,0,0,0
30,e-,0.0130456,0.0325592,493.874,493.874,0,0,0,0,0
31,mu-,-0.0273841,-0.00865149,496.215,496.215,99991.4,-8.24564,-2.16891,100097,100097
