EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,proton,0.00593662,0.00717718,500,500,99992.4,1.46144,3.35291,100926,100926
1,proton,-0.00652412,0.0293108,500,500,99991.1,-1.67534,11.4424,100925,100925
2,proton,0.0258075,-0.00394743,500,500,99991.2,10.223,-1.43994,100925,100925
3,proton,0.00753106,0.0111792,493.163,493.163,99988.8,2.79317,4.48988,100923,100923
3,proton,0.00761419,0.0113129,496.167,496.167,99988.8,2.84382,4.50232,100923,100923
3,proton,0.0077222,0.0114839,500,500,99988.8,2.86874,4.49581,100923,100923
3,e-,-0.0961963,-0.0141972,496.172,496.172,0,-0,-0,0,0
3,e-,-0.0961963,-0.0141972,496.172,496.172,0,-0,-0,0,0
3,e-,0.0183614,0.102298,493.168,493.168,0,0,0,0,0
3,e-,0.0183614,0.102298,493.168,493.168,0,0,0,0,0
4,proton,-0.0357302,0.0181808,497.361,497.361,99990.8,-14.0931,6.84492,100925,100925
4,proton,-0.0360986,0.0183598,500,500,99990.8,-14.0931,6.84492,100925,100925
4,e-,-0.0566516,0.019798,497.362,497.362,0,-0,0,0,0
4,e-,-0.0566516,0.019798,497.362,497.362,0,-0,0,0,0
5,proton,-0.00864033,0.0166528,500,500,99991.6,-4.04229,6.97581,100925,100925
6,proton,-0.0200062,0.00845647,500,500,99991.1,-7.99402,2.86902,100925,100925
7,proton,0.00045783,0.0102136,499.523,499.523,99991.2,0.559403,4.28979,100925,100925
7,proton,0.000460473,0.0102338,500,500,99991.2,0.559403,4.28979,100925,100925
7,e-,-0.00914689,-0.00977303,499.524,499.524,0,-0,-0,0,0
7,e-,-0.00914689,-0.00977303,499.524,499.524,0,-0,-0,0,0
8,proton,0.01995,-0.00396011,500,500,99990.7,7.68587,-1.7116,100925,100925
9,proton,-0.0112501,0.00841809,500,500,99991.5,-4.11812,1.22936,100925,100925
10,proton,-0.00930537,0.00257766,500,500,99990,-4.01833,1.84417,100924,100924
11,proton,0.00341155,-0.0285611,500,500,99989.5,1.36742,-11.1586,100923,100923
12,proton,0.00984088,-0.00419227,500,500,99992.2,4.22253,-2.67397,100926,100926
13,proton,0.0523348,0.0419102,500,500,99991.3,20.7339,14.6406,100925,100925
14,proton,-0.00109553,0.0130815,500,500,99991.4,0.283806,5.12914,100925,100925
15,proton,0.0238782,0.0100145,500,500,99991.1,8.64728,3.71682,100925,100925
16,proton,-0.0132029,-0.0192085,500,500,99990.6,-5.05287,-7.60097,100925,100925
17,proton,0.0164793,-0.00904547,500,500,99991.7,6.00548,-2.43581,100926,100926
18,proton,-0.0115238,0.00805942,500,500,99990.8,-4.62832,3.11634,100925,100925
19,proton,0.0064253,0.00928931,500,500,99991.7,2.70991,2.28578,100926,100926
20,proton,0.00914593,0.0164563,500,500,99990.2,3.71986,6.95029,100924,100924
21,proton,-0.00201847,0.0101351,500,500,99988.6,-0.294663,3.84512,100923,100923
22,proton,0.0102748,-0.00496518,500,500,99990.4,4.51319,-2.35124,100924,100924
23,proton,0.0135696,-0.0191163,500,500,99989.5,4.70757,-6.29116,100923,100923
24,proton,0.00984117,-0.0245736,500,500,99991.6,3.61995,-10.2428,100925,100925
25,proton,0.00968853,-0.00966758,500,500,99991.2,2.36799,-3.7632,100925,100925
26,proton,-0.0240856,0.000884092,500,500,99990.9,-9.45411,0.266643,100925,100925
27,proton,-0.0378096,-0.0054673,500,500,99908.7,-16.0842,-1.41416,100843,100843
28,proton,-0.00137944,0.0011282,500,500,99992,1.13513,1.28022,100926,100926
29,proton,0.0274068,-0.0270037,500,500,99990.2,11.3562,-10.114,100924,100924
30,proton,-0.00518964,0.00526407,500,500,99991.2,-0.66319,2.05268,100925,100925
31,proton,-0.0313988,0.0379495,500,500,99990.5,-11.2048,14.8867,100924,100924
32,proton,-0.025745,-0.0106799,500,500,99979.8,-10.5125,-4.99626,100914,100914
33,proton,-0.013302,-0.00865615,496.091,496.091,99992.1,-6.7638,-1.99367,100926,100926
33,proton,-0.013564,-0.00873336,500,500,99992,-6.76992,-1.98534,100926,100926
