EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,gamma,1.29427,4.88099,500.0,5.04967,3.24064,0.0160297,0.0353157,3.24041,0.0387834
0,gamma,-1.79383,-4.04302,500.0,4.42311,0.887337,-0.00650072,-0.0212246,0.887059,0.0221978
4,e-,-2.18666,3.05242,500.0,3.75483,89.7642,-1.27493,1.89673,90.2448,2.2854
8,gamma,-1.32437,1.71882,500.0,2.16986,0.825665,-0.0112783,-0.00519329,0.825572,0.0124165
8,gamma,2.57763,2.19148,500.0,3.38331,0.0875308,0.000142952,-0.000366573,0.0875299,0.00039346
9,gamma,-0.742114,-3.40848,500.0,3.48833,29.7874,0.414961,-0.0703095,29.7844,0.420875
20,gamma,3.06452,3.06963,500.0,4.3375,8.14751,0.0402643,0.0254989,8.14737,0.0476593
22,gamma,-4.32764,-4.40941,500.0,6.17829,41.9979,-0.748428,-0.960777,41.9802,1.21788
24,gamma,1.00174,0.70474,500.0,1.22481,2.42606,0.0239451,0.0302157,2.42576,0.0385533
33,gamma,-3.4533,2.51848,500.0,4.27411,10.4167,-0.136135,0.0906496,10.4154,0.163554
33,e-,-4.77761,-0.700024,500.0,4.82862,80.1087,-1.56364,-0.267734,80.6024,1.5864
35,gamma,-5.0,4.6883,491.052,6.85421,26.5064,-0.517517,0.422624,26.498,0.668158
39,e-,4.83555,3.04322,500.0,5.71347,91.3067,3.49523,3.05784,91.6988,4.64403
41,gamma,-2.7965,-2.42286,500.0,3.70009,0.275822,-0.00178588,-0.00223554,0.275807,0.0028613
42,gamma,0.913672,2.87956,500.0,3.02104,0.41836,0.00856813,0.00380198,0.418255,0.00937379
50,gamma,1.85688,-0.526615,500.0,1.93011,1.85891,0.00392511,-0.00803789,1.85889,0.00894507
50,gamma,1.4201,-4.1772,500.0,4.412,28.7555,0.000254851,-0.521938,28.7507,0.521938
51,gamma,-3.24408,1.0897,500.0,3.42221,6.30174,-0.0748446,-0.00607746,6.30129,0.0750909
56,e-,-5.0,3.26503,489.924,5.97163,39.9211,-1.61671,0.425398,40.3943,1.67174
58,gamma,-4.90068,2.78433,500.0,5.63641,0.145774,-0.00518359,0.00251392,0.14566,0.00576102
61,gamma,-4.78383,0.169302,500.0,4.78682,1.23235,-0.0288767,-0.00234559,1.23201,0.0289718
63,gamma,4.39405,3.28589,500.0,5.48678,0.893462,0.0144788,-0.00182095,0.893343,0.0145929
63,gamma,4.46248,-0.630634,500.0,4.50682,37.4302,0.611841,-0.657302,37.4194,0.897995
68,gamma,-4.43707,0.756254,500.0,4.50106,4.64189,0.00167969,0.0329388,4.64177,0.0329816
71,gamma,3.82105,1.60298,500.0,4.14366,13.1527,0.400466,0.141539,13.1458,0.424742
71,e-,-0.00760544,3.80457,500.0,3.80458,69.8631,1.04461,1.11152,70.3557,1.52534
74,e-,-3.42701,-5.0,489.501,6.06171,74.2787,-0.411208,-0.790966,74.7826,0.891471
75,gamma,-2.05728,4.6964,500.0,5.12724,1.08321,-0.00424458,0.020726,1.08301,0.0211562
77,gamma,-5.0,4.09974,494.256,6.4659,0.647147,-0.0156994,0.00220744,0.646953,0.0158538
77,gamma,-1.97479,-5.0,485.213,5.37585,0.800395,-0.0100612,-0.0274705,0.79986,0.029255
78,gamma,-0.245213,4.30676,500.0,4.31374,0.459548,-0.000241163,0.00237423,0.459542,0.00238645
86,e-,1.93303,-2.28902,500.0,2.99603,64.3505,1.86209,1.08393,64.8236,2.1546
98,gamma,1.88948,0.355738,500.0,1.92267,29.5614,0.22523,-0.079916,29.5605,0.238987
0,gamma,-0.0577327,0.0386865,500.0,0.0694961,31.4516,-0.0019389,0.00130828,31.4516,0.00233901
0,gamma,-0.0648701,-0.084118,500.0,0.106226,49.9772,-0.0111566,-0.00522085,49.9772,0.0123177
0,gamma,-0.0861498,-0.0433514,500.0,0.0964424,27.8964,-0.00863089,0.00169077,27.8964,0.00879494
0,gamma,-0.0611372,-0.188131,500.0,0.197816,83.4927,-0.0173675,-0.0439288,83.4927,0.0472373
0,e-,-0.0520105,-0.167338,500.0,0.175234,9795.47,-1.69081,-4.55498,9795.98,4.85867
1,gamma,-0.091543,-0.0687895,500.0,0.114508,19.5633,-0.00658002,-0.00260043,19.5633,0.00707523
1,e-,0.050675,-0.0364201,500.0,0.062405,9972.43,2.35586,-0.098741,9972.94,2.35793
2,gamma,0.0216138,0.127213,500.0,0.129036,28.6888,-0.00015994,0.0084521,28.6888,0.00845361
2,gamma,-0.00960028,0.13257,500.0,0.132917,4.74974,-0.000612895,0.00150492,4.74974,0.00162493
2,gamma,0.0375195,0.161636,500.0,0.165933,659.261,0.0388771,0.285487,659.261,0.288122
2,gamma,0.0652455,0.139538,500.0,0.154038,173.925,0.0295546,0.0598982,173.925,0.0667927
2,gamma,0.0262044,0.0754559,500.0,0.0798766,49.3339,0.00063972,0.00426659,49.3339,0.00431429
2,gamma,-0.0180943,0.183876,500.0,0.184764,225.039,-0.0372645,0.117543,225.039,0.123309
2,gamma,-0.0290969,0.254362,500.0,0.256021,146.147,-0.0307015,0.117961,146.147,0.121891
2,e-,-0.0121673,0.222245,500.0,0.222578,8704.04,-1.37452,5.95152,8704.55,6.10818
3,gamma,0.00798213,-0.0053116,500.0,0.00958789,5494.91,0.0277727,-0.155404,5494.91,0.157866
3,gamma,0.163833,-0.103539,500.0,0.193808,4338.9,2.64283,-1.79374,4338.9,3.19406
4,gamma,-0.00808722,0.0441921,500.0,0.044926,255.455,0.0227928,0.0535175,255.455,0.058169
4,gamma,0.122176,-0.00037641,500.0,0.122177,2.98051,0.00180373,0.00011635,2.98051,0.00180748
4,gamma,0.0967683,0.0533095,500.0,0.110481,13.4684,0.00673482,0.00343455,13.4684,0.00756002
4,e-,0.0622926,-0.0787311,500.0,0.100394,9719.51,3.64013,-2.50074,9720.02,4.41636
5,gamma,-0.292408,-0.0325831,500.0,0.294218,4953.78,-3.8911,0.269704,4953.77,3.90044
5,gamma,-0.564379,-0.115457,500.0,0.576067,666.813,-1.26494,-0.190538,666.812,1.27921
5,e-,-0.386129,-0.207837,500.0,0.438511,4369.29,-5.14911,-2.74343,4369.8,5.83436
6,gamma,-0.0418283,0.0921396,500.0,0.10119,120.619,-0.0146261,0.0178446,120.619,0.0230728
6,gamma,-0.0552296,0.116484,500.0,0.128914,827.473,-0.14315,0.200165,827.473,0.246085
6,gamma,-0.122265,-0.0497085,500.0,0.131983,3745.03,-1.61684,-1.5348,3745.03,2.2293
6,e-,-0.0512498,-0.157351,500.0,0.165487,5297.72,-0.581079,-4.36391,5298.22,4.40243
7,gamma,-0.0260542,0.013234,500.0,0.0292226,122.064,0.00190227,0.00896977,122.064,0.00916926
7,e-,-0.108195,0.0827696,500.0,0.136224,9869.16,-3.24345,3.90635,9869.67,5.07736
8,gamma,-0.0315954,0.00782625,500.0,0.0325502,134.97,-0.00991297,-0.0131583,134.97,0.0164745
8,e-,-0.0620116,0.0692551,498.003,0.0929608,9851.48,-2.15196,1.70036,9851.99,2.74265
8,e-,-0.0624478,0.0695997,500.0,0.0935086,9851.48,-2.19161,1.71148,9851.99,2.7807
8,e-,0.0697212,-0.26756,498.035,0.276495,0.00430179,0.0206417,-0.061806,-0.0129949,0.0651618
8,e-,0.0850165,-0.313358,498.025,0.324686,0.00199065,0.0363072,-0.0246082,0.0107065,0.0438609
8,e-,0.137432,-0.348884,498.041,0.374976,0.0,0.0,-0.0,0.0,0.0
8,e-,0.137432,-0.348884,498.041,0.374976,0.0,0.0,-0.0,0.0,0.0
8,e-,0.0639893,-0.359734,497.99,0.365381,0.0,-0.0,-0.0,-0.0,0.0
8,e-,0.0639893,-0.359734,497.99,0.365381,0.0,-0.0,-0.0,-0.0,0.0
8,e-,0.100463,-0.273912,498.112,0.291754,0.0,0.0,-0.0,0.0,0.0
8,e-,0.100463,-0.273912,498.112,0.291754,0.0,0.0,-0.0,0.0,0.0
9,gamma,0.058748,0.223112,500.0,0.230717,52.8433,0.0140545,0.0405274,52.8433,0.0428952
9,e-,0.0800178,0.221458,500.0,0.23547,9936.48,3.76099,7.36339,9936.99,8.26829
10,gamma,-0.0515949,0.0877662,500.0,0.101808,1.39553,-0.000380483,0.000333781,1.39553,0.000506139
10,gamma,-0.121512,-0.510835,500.0,0.525088,0.747373,-0.000435523,-0.00164219,0.747371,0.00169896
10,e+,0.366999,-0.181145,500.0,0.40927,1311.23,1.83499,-1.45353,1311.73,2.34093
10,e-,0.132883,-0.208099,500.0,0.246907,1861.49,0.312326,-1.47713,1862.0,1.50979
10,gamma,0.09154,-0.179163,500.0,0.201193,9.7552,0.00284004,-0.00794503,9.75519,0.00843738
10,gamma,-0.173621,-0.436252,500.0,0.469532,13.9405,-0.011188,-0.0261651,13.9405,0.0284567
10,e-,-0.135328,-0.451513,500.0,0.471357,6791.53,-4.28002,-13.0595,6792.03,13.7429
11,gamma,0.107887,0.00503195,500.0,0.108004,5553.28,2.91799,0.0879751,5553.28,2.91932
11,e-,0.169554,0.118405,500.0,0.206805,4428.63,3.48202,2.11714,4429.14,4.07513
12,gamma,0.0206978,-0.0188361,500.0,0.0279856,2285.1,0.575175,-0.0726154,2285.1,0.579741
12,gamma,0.0107725,0.137167,500.0,0.137589,60.1392,0.0131149,0.0349152,60.1392,0.0372971
12,gamma,0.062731,0.0800609,500.0,0.10171,67.2616,0.0284031,0.0229005,67.2616,0.0364852
12,e-,0.0498349,0.093908,500.0,0.106312,7577.59,2.58879,3.06245,7578.1,4.01004
13,gamma,-0.120008,-0.128529,500.0,0.175845,0.218071,-6.72953e-05,-5.51011e-05,0.218071,8.69758e-05
13,gamma,-0.252456,-0.230348,500.0,0.341751,416.265,-0.34962,-0.279384,416.264,0.447537
13,e-,-0.281839,-0.249667,500.0,0.37652,9574.9,-9.36586,-7.68009,9575.4,12.1121
14,gamma,0.058828,0.126408,500.0,0.139426,44.6171,0.00884762,0.0182329,44.6171,0.0202662
14,e-,0.0776926,0.0983142,500.0,0.125307,9946.26,2.73036,3.04307,9946.77,4.08842
15,gamma,-0.0172528,-0.0537732,500.0,0.0564732,50.5416,-0.00818524,-0.0108146,50.5416,0.013563
15,gamma,0.0173168,-0.0517463,500.0,0.0545669,3.15039,-7.1298e-05,-0.000648382,3.15039,0.00065229
15,e-,-0.0462711,-0.101308,486.046,0.111374,9938.0,-2.75754,-4.59597,9938.51,5.35976
15,e-,-0.0501428,-0.107761,500.0,0.118856,9937.99,-2.77632,-4.5213,9938.5,5.30567
15,e-,-0.104757,-0.0921992,486.048,0.139552,0.0,-0.0,0.0,0.0,0.0
15,e-,-0.104757,-0.0921992,486.048,0.139552,0.0,-0.0,0.0,0.0,0.0
16,gamma,0.11282,0.22433,500.0,0.251102,8.83676,0.00414973,0.00795105,8.83675,0.0089688
16,e-,0.125561,0.15461,500.0,0.199173,9982.44,5.0345,6.18787,9982.95,7.97721
17,gamma,0.0245555,-0.0712305,500.0,0.0753442,5.79178,2.90217e-05,-0.0013468,5.79178,0.00134711
17,gamma,0.00896509,-0.0240709,500.0,0.0256862,92.1879,-0.00514011,-0.00441332,92.1879,0.00677482
17,gamma,0.112282,-0.00869088,500.0,0.112618,145.183,0.0514546,0.00258974,145.183,0.0515197
17,gamma,0.17683,0.0189128,500.0,0.177838,91.1356,0.0566197,0.0122387,91.1355,0.0579274
17,e-,0.145142,0.010706,500.0,0.145537,9655.87,4.58662,1.10389,9656.38,4.71759
18,e-,-0.345444,0.237285,500.0,0.41909,9991.3,-13.0271,9.02097,9991.8,15.8456
19,gamma,0.0293138,0.0690287,500.0,0.0749951,63.687,-8.90815e-05,0.0128788,63.687,0.0128791
19,e-,-0.0576689,-0.0391076,500.0,0.0696785,9919.97,-3.89247,-2.19764,9920.48,4.47001
20,gamma,0.0894779,-0.0590213,500.0,0.107191,10.5664,0.0026993,-0.00219637,10.5664,0.00347998
20,gamma,0.187177,-0.0348238,500.0,0.190388,50.02,0.0319446,-0.00572789,50.02,0.0324541
20,gamma,0.10333,0.0854482,500.0,0.134084,15.3376,0.00465901,0.00560853,15.3376,0.00729122
