EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
4,proton,-3.68738,4.61813,481.914,5.90965,64.0877,-4.35249,7.71913,352.551,8.86167
4,proton,-3.71173,4.66136,483.89,5.95863,64.0868,-4.33088,7.70544,352.549,8.83914
4,proton,-3.90206,5,499.384,6.34241,64.078,-4.09243,7.94275,352.521,8.93505
4,e-,-3.7034,4.81766,481.945,6.0766,0,-0,0,0,0
4,e-,-3.7034,4.81766,481.945,6.0766,0,-0,0,0,0
9,proton,-5,1.39828,481.534,5.19184,63.9944,-9.38699,1.32178,352.269,9.47959
15,proton,-5,3.27347,497.936,5.97625,63.5221,-7.42533,4.03755,350.95,8.45206
23,proton,-0.376807,1.74757,490.176,1.78773,63.0199,-2.00489,3.054,349.597,3.65329
23,proton,-0.394811,1.77499,493.316,1.81837,63.018,-1.99328,3.03714,349.591,3.63282
23,proton,-0.430582,1.8295,499.589,1.87948,63.0022,-2.01433,2.82495,349.548,3.46956
23,proton,-0.432948,1.83281,500,1.88326,63.0013,-2.01219,2.81641,349.545,3.46137
23,e-,-0.302561,1.99139,499.691,2.01425,0.0108489,0.0455809,0.0859294,0.0417581,0.0972701
23,e-,-0.197713,2.117,499.783,2.12621,0.0107216,0.0476287,0.0825345,0.044631,0.0952913
23,e-,-0.136339,2.28007,499.835,2.28414,0.0103237,0.0406933,0.0928801,0.0193577,0.101403
23,e-,-0.0987172,2.46151,499.854,2.46349,0.00992073,0.00220579,0.0996454,0.0174157,0.0996698
23,e-,-0.129226,2.63823,499.863,2.64139,0.00936556,-0.00217417,0.0978078,0.00939119,0.097832
23,e-,-0.17473,2.82011,499.862,2.82552,0.00909827,-0.0247149,0.0936062,-0.00287012,0.096814
23,e-,-0.189756,2.98996,499.886,2.99598,0.0087533,0.00335119,0.0946991,0.00658315,0.0947583
23,e-,-0.189605,3.14848,499.938,3.15418,0.00822962,0.00741391,0.0895337,0.0201773,0.0898402
23,e-,-0.187901,3.20429,499.942,3.20979,0.00723219,-0.0295148,0.0798956,0.0137538,0.0851729
23,e-,-0.2696,3.36931,499.991,3.38008,0.00665767,-0.0400246,0.0679806,0.0250023,0.0788881
23,e-,-0.283484,3.39289,500,3.40471,0.00665767,-0.0354695,0.0686812,0.029551,0.0772993
23,e-,-0.168238,3.21096,499.946,3.21536,0,0,0,0,0
23,e-,-0.168238,3.21096,499.946,3.21536,0,0,0,0,0
23,e-,-0.335135,1.81253,490.186,1.84325,0,0,0,0,0
23,e-,-0.335135,1.81253,490.186,1.84325,0,0,0,0,0
50,proton,4.13229,4.44749,500,6.07092,62.6099,6.73896,7.4632,348.295,10.0555
56,proton,-4.31205,3.57911,485.179,5.60391,63.9782,-5.15768,2.45254,352.304,5.7111
56,proton,-4.50151,3.6692,498.12,5.80746,63.9636,-4.98653,2.31674,352.266,5.49843
56,proton,-4.5223,3.6789,499.591,5.82971,63.9615,-5.00677,2.38273,352.26,5.54483
56,proton,-4.52811,3.68166,500,5.83596,63.9614,-5.00793,2.38233,352.259,5.54571
56,e-,-4.52288,3.64669,499.595,5.80989,0,-0,-0,0,0
56,e-,-4.52288,3.64669,499.595,5.80989,0,-0,-0,0,0
56,e-,-4.44458,3.88899,498.179,5.90581,0.00571103,0.0213291,0.0723887,0.0131992,0.0754656
56,e-,-4.44667,4.16838,498.428,6.09494,0.00441672,0.0171913,0.0609949,0.0227479,0.0633713
56,e-,-4.3802,4.40422,498.516,6.21154,0,0,0,0,0
56,e-,-4.3802,4.40422,498.516,6.21154,0,0,0,0,0
56,e-,-4.36639,3.56791,485.185,5.63874,0,-0,-0,0,0
56,e-,-4.36639,3.56791,485.185,5.63874,0,-0,-0,0,0
65,proton,4.06833,-4.48522,482.888,6.05545,63.5069,7.29528,-6.3419,350.875,9.66648
65,proton,4.40141,-4.77476,498.907,6.4939,63.4961,7.22781,-6.27173,350.847,9.56953
65,proton,4.42392,-4.7943,500,6.52352,63.4953,7.20774,-6.28526,350.845,9.56326
65,e-,4.32889,-4.8017,498.919,6.46495,0,-0,-0,0,0
65,e-,4.32889,-4.8017,498.919,6.46495,0,-0,-0,0,0
67,proton,-2.50579,-1.07629,481.003,2.72716,63.5232,-4.49234,2.7566,351.015,5.27067
67,proton,-2.6241,-1.00369,490.247,2.8095,63.5166,-4.38543,2.72945,350.998,5.16545
67,proton,-2.64907,-0.988087,492.246,2.82735,63.5161,-4.36898,2.73727,350.996,5.15564
67,proton,-2.70976,-0.950064,497.122,2.87148,63.5083,-4.49738,2.757,350.972,5.27518
67,proton,-2.7334,-0.935548,498.974,2.88907,63.5054,-4.48052,2.79397,350.964,5.28027
67,proton,-2.7465,-0.927381,500,2.89884,63.5049,-4.48296,2.8066,350.962,5.28904
67,e-,-2.70617,-0.992795,498.983,2.88253,0,0,-0,0,0
67,e-,-2.70617,-0.992795,498.983,2.88253,0,0,-0,0,0
67,e-,-2.8322,-0.837351,497.147,2.95339,0,-0,0,0,0
67,e-,-2.8322,-0.837351,497.147,2.95339,0,-0,0,0,0
67,e-,-2.62589,-0.978101,490.249,2.80214,0,-0,0,0,0
67,e-,-2.62589,-0.978101,490.249,2.80214,0,-0,0,0,0
67,e-,-2.52691,-1.12545,481.009,2.7662,0,-0,-0,0,0
67,e-,-2.52691,-1.12545,481.009,2.7662,0,-0,-0,0,0
69,proton,1.20508,3.2698,488.083,3.48479,63.9418,0.137542,3.37393,352.231,3.37674
69,proton,1.20973,3.38395,500,3.59369,63.9322,-0.0670982,3.57077,352.202,3.57141
69,e-,1.12786,3.5305,488.136,3.70628,0.00212982,-0.0440603,-0.0134629,0.00765813,0.0460712
69,e-,1.05897,3.50945,488.148,3.66574,0,-0,-0,0,0
69,e-,1.05897,3.50945,488.148,3.66574,0,-0,-0,0,0
70,proton,1.75268,-0.285126,482.435,1.77572,64.2321,2.06565,-1.33655,353.064,2.46034
70,proton,1.85544,-0.351618,500,1.88846,64.2238,2.02934,-1.45192,353.04,2.49525
70,e-,1.79243,-0.177592,482.453,1.8012,0,0,0,0,0
70,e-,1.79243,-0.177592,482.453,1.8012,0,0,0,0,0
72,proton,4.53771,0.288413,492.079,4.54687,62.7862,6.17711,1.71438,348.887,6.4106
72,proton,4.60671,0.307563,495.976,4.61697,62.7711,6.22643,1.73641,348.843,6.46402
72,proton,4.67853,0.327592,500,4.68999,62.7663,6.19112,1.75218,348.829,6.4343
72,e-,4.43113,0.360825,496.079,4.4458,0.0122072,-0.10409,0.0194638,0.037567,0.105894
