EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,-0.00378312,-0.0158314,500,0.0162772,99991.8,-2.0173,-5.23785,100097,5.61289
1,mu+,0.0122291,-0.0243745,500,0.0272703,99990.5,5.31084,-9.71391,100096,11.0709
2,mu+,-0.00129598,-0.0164663,500,0.0165172,99991.6,-0.394014,-7.32394,100097,7.33453
3,mu+,-0.00132465,0.015403,500,0.0154599,99985.4,-0.952,5.42159,100091,5.50454
4,mu+,0.0221943,-0.0157334,500,0.0272052,99990.2,7.4924,-6.14956,100096,9.69295
5,mu+,0.0204962,-0.00197552,500,0.0205912,99990.8,8.62544,-1.7368,100096,8.79856
6,mu+,-0.00064299,0.00803027,500,0.00805597,99991.6,0.94461,3.09512,100097,3.23606
7,mu+,-0.0209447,-0.00311289,492.137,0.0211748,99992,-9.31129,-2.81396,100098,9.72721
7,mu+,-0.0215068,-0.00328267,498.178,0.0217558,99992,-9.51403,-2.74262,100098,9.90146
7,mu+,-0.0216799,-0.00333259,500,0.0219346,99992,-9.50745,-2.73524,100098,9.89308
7,e-,5,-1.73076,499.285,5.29108,0.0410595,0.185192,-0.0247256,0.0934933,0.186836
7,e-,-1.23356,-0.0240305,492.384,1.2338,0.0177754,-0.118131,0.0037703,0.0671805,0.118191
7,e-,-2.49162,-0.631533,493.155,2.57041,0.0121692,-0.0677893,-0.0808112,0.0381985,0.105479
7,e-,-2.90782,-0.974565,493.189,3.06679,0.00610582,-0.00394939,-0.0755897,0.0234097,0.0756928
7,e-,-2.9176,-1.16178,493.247,3.1404,0.0046746,-0.0283009,-0.0522059,0.0356775,0.0593835
7,e-,-3.03528,-1.37886,493.395,3.33379,0,-0,-0,0,0
7,e-,-3.03528,-1.37886,493.395,3.33379,0,-0,-0,0,0
7,e-,-2.9072,-1.17802,493.232,3.1368,0,0,-0,-0,0
7,e-,-2.9072,-1.17802,493.232,3.1368,0,0,-0,-0,0
7,e-,-3.2942,-0.98081,493.111,3.43711,0,-0,-0,-0,0
7,e-,-3.2942,-0.98081,493.111,3.43711,0,-0,-0,-0,0
7,e-,-2.53421,-0.590098,493.168,2.602,0,-0,0,0,0
7,e-,-2.53421,-0.590098,493.168,2.602,0,-0,0,0,0
7,e-,-1.25605,-0.030439,492.345,1.25642,0,-0,-0,-0,0
7,e-,-1.25605,-0.030439,492.345,1.25642,0,-0,-0,-0,0
8,mu+,-0.0103198,0.00160538,500,0.0104439,99992.1,-5.40284,0.493038,100098,5.42529
9,mu+,-0.00786405,-0.00148037,485.708,0.00800217,99990.2,-3.80936,-1.82049,100096,4.22202
9,mu+,-0.008034,-0.00156172,490.175,0.00818439,99990.2,-3.58367,-1.83949,100096,4.0282
9,mu+,-0.00838575,-0.00174227,500,0.00856482,99990.2,-3.60216,-1.77489,100096,4.01569
9,e-,-5,0.278791,491.255,5.00777,0.0446406,-0.213493,0.0400433,0.0208009,0.217216
9,e-,-5,4.22564,487.335,6.54645,0.0589584,-0.140407,-0.20203,0.0565802,0.246029
10,mu+,-0.00395901,0.0207562,500,0.0211304,99991.5,-0.423516,7.23338,100097,7.24576
11,mu+,0.00972786,-0.0153106,480.555,0.0181397,99992.2,4.68674,-6.08588,100098,7.68137
11,mu+,0.0106383,-0.0164929,500,0.0196263,99992.2,4.67186,-6.0757,100098,7.66424
11,e-,-0.0223003,-0.0110317,480.556,0.0248798,0,-0,0,0,0
11,e-,-0.0223003,-0.0110317,480.556,0.0248798,0,-0,0,0,0
12,mu+,0.00499444,0.0193463,500,0.0199806,99988.3,1.85705,6.91935,100094,7.16422
13,mu+,-0.00718618,0.00251191,490.42,0.00761255,99991.6,-1.77085,1.26612,100097,2.17692
13,mu+,-0.00735566,0.00263309,500,0.00781274,99991.5,-1.75507,1.25372,100097,2.15687
13,e-,0.022204,-0.0446159,490.423,0.0498357,0,0,-0,0,0
13,e-,0.022204,-0.0446159,490.423,0.0498357,0,0,-0,0,0
14,mu+,0.0027192,0.0121597,497.29,0.01246,99988.6,1.95186,4.99299,100094,5.36094
14,mu+,0.00277204,0.0122948,500,0.0126034,99988.6,1.98259,4.96227,100094,5.34367
14,e-,0.970761,-0.0365437,497.384,0.971448,0.0071755,0.0704058,-0.0431838,0.0237278,0.0825943
14,e-,1.47936,-0.348494,497.555,1.51985,0.00291123,-0.0436988,-0.0082635,-0.0317154,0.0444733
14,e-,1.3793,-0.367415,497.482,1.4274,0,-0,-0,-0,0
14,e-,1.3793,-0.367415,497.482,1.4274,0,-0,-0,-0,0
15,mu+,0.00152564,0.0255337,500,0.0255792,99991.1,-1.88924,9.78827,100097,9.96892
16,mu+,0.0197697,-0.0018092,500,0.0198523,99991.9,7.97388,-0.374255,100097,7.98266
17,mu+,0.0160137,0.0247587,500,0.0294861,99992.1,7.1852,7.20795,100098,10.1775
18,mu+,-0.00732749,0.00190958,500,0.00757222,99991.7,-1.49416,1.77194,100097,2.31782
19,mu+,0.0243057,-0.00740667,500,0.0254092,99992.1,9.52,-3.08188,100098,10.0064
20,mu+,-0.000801606,-0.00637477,500,0.00642497,99990.8,-1.00425,-2.8354,100096,3.00799
21,mu+,-0.00359607,-0.0375966,500,0.0377682,99988.7,-1.32983,-16.3518,100094,16.4058
22,mu+,0.00671497,-0.0112789,500,0.0131264,99991.6,2.57634,-3.85707,100097,4.63837
23,mu+,-0.0299453,-0.0470251,500,0.0557502,99988.4,-11.0516,-18.5113,100094,21.5593
24,mu+,-0.00212303,-0.0131401,500,0.0133105,99991.4,-0.990336,-5.24398,100097,5.33668
25,mu+,-0.0149174,0.000671524,500,0.0149325,99992.2,-5.50724,-0.02652,100098,5.50731
26,mu+,0.0124092,-0.00878225,485.896,0.0152025,99990.4,5.14182,-3.99823,100096,6.51338
26,mu+,0.0131337,-0.00934561,500,0.0161194,99990.4,5.17195,-4.05344,100096,6.57111
26,e-,0.0319779,-0.0312066,485.897,0.0446815,0,0,-0,0,0
26,e-,0.0319779,-0.0312066,485.897,0.0446815,0,0,-0,0,0
27,mu+,-0.0122674,-0.00282237,500,0.0125879,99991.7,-4.52597,-1.0902,100097,4.65542
28,mu+,-0.0113446,-0.0244254,500,0.0269313,99992.3,-5.09377,-9.59543,100098,10.8636
29,mu+,0.0213116,-0.00126745,500,0.0213492,99990.6,9.02928,-0.85823,100096,9.06997
30,mu+,-0.0133319,-0.00182285,500,0.0134559,99987.2,-4.59656,-0.628839,100093,4.63938
31,mu+,0.00987256,0.00492707,500,0.0110337,99991.1,4.7406,1.46805,100097,4.96271
32,mu+,-0.00295233,0.0153607,500,0.0156419,99990.4,-1.10905,5.33251,100096,5.44662
33,mu+,-0.0126193,0.0347867,500,0.0370049,99990.8,-5.83291,13.7811,100096,14.9646
34,mu+,-0.00990898,0.025033,484.563,0.0269228,99991.9,-5.35311,12.037,100098,13.1737
34,mu+,-0.0107346,0.0268894,500,0.0289529,99991.9,-5.31807,12.0827,100098,13.2012
34,e-,0.14259,0.00124235,484.571,0.142595,0,0,-0,0,0
34,e-,0.14259,0.00124235,484.571,0.142595,0,0,-0,0,0
35,mu+,0.00404293,0.0024109,500,0.0047072,99991.6,2.89706,1.24418,100097,3.15293
36,mu+,0.0236851,-0.00660018,500,0.0245875,99989.1,9.81746,-2.67279,100095,10.1748
37,mu+,-0.00655809,-0.00895193,500,0.0110971,99989.7,-1.30626,-3.52237,100095,3.75678
38,mu+,-0.0324697,0.00956952,500,0.0338505,99989.2,-13.6815,3.64976,100095,14.1599
39,mu+,-0.000476128,-0.0219144,500,0.0219196,99991.6,-0.282475,-8.73581,100097,8.74038
40,mu+,-0.00717596,-0.00639,500,0.00960867,99990.7,-0.96952,-1.56193,100096,1.83837
41,mu+,-0.00933928,-0.0103,500,0.0139037,99992.2,-3.54314,-3.44954,100098,4.94502
42,mu+,0.00968117,0.0164391,500,0.0190779,99990,4.64845,7.18788,100096,8.56001
43,mu+,-0.0352217,-0.0152558,482.276,0.0383836,99992.1,-16.5213,-7.38083,100098,18.095
43,mu+,-0.0381471,-0.0165627,500,0.0415876,99992.1,-16.4906,-7.39137,100098,18.0713
43,e-,-0.026155,-0.0365676,482.276,0.0449586,0,0,-0,0,0
43,e-,-0.026155,-0.0365676,482.276,0.0449586,0,0,-0,0,0
44,mu+,0.0157898,0.017228,500,0.0233692,99976.6,5.72511,5.3992,100082,7.86945
45,mu+,-0.00151855,-0.00523152,500,0.00544746,99990.7,0.743287,-3.26549,100096,3.34902
46,mu+,0.0109378,-0.0010599,500,0.0109891,99991.7,3.83843,-0.226667,100097,3.84512
47,mu+,-0.0251943,0.00136814,500,0.0252314,99991.8,-10.5875,0.356981,100097,10.5935
48,mu+,-0.00677168,0.00132117,500,0.00689936,99992.3,-2.74319,0.188314,100098,2.74964
49,mu+,-0.00727396,-0.0107678,499.9,0.0129945,99983.5,-2.22971,-3.94016,100089,4.5273
49,mu+,-0.00727618,-0.0107717,500,0.012999,99983.5,-2.22971,-3.94016,100089,4.5273
49,e-,-0.0203372,-0.0558473,499.921,0.059435,0,0,0,0,0
49,e-,-0.0203372,-0.0558473,499.921,0.059435,0,0,0,0,0
50,mu+,-0.00465264,-0.00380826,500,0.00601248,99991.1,-1.55367,-1.73713,100097,2.33056
51,mu+,0.0118042,0.0304295,500,0.0326388,99991.2,5.76468,11.8561,100097,13.1832
52,mu+,-0.023422,-0.0247951,499.861,0.0341084,99991.1,-10.1809,-9.7907,100097,14.1247
52,mu+,-0.0234361,-0.0248087,500,0.034128,99991.1,-10.1809,-9.7907,100097,14.1247
52,e-,0.0481964,0.0201418,499.851,0.0522359,0.00689674,0.0679737,0.0461078,-0.0186993,0.0821362
52,e-,0.121825,0.0637527,499.85,0.137498,0.00670512,0.0668362,0.0443471,0.0215367,0.0802106
52,e-,0.191447,0.0995081,499.856,0.215764,0.00655795,0.0746113,0.029407,0.0177087,0.0801974
52,e-,0.270449,0.111686,499.87,0.292603,0.00590421,0.0738106,0.0187612,0.0164001,0.0761576
52,e-,0.336082,0.14583,499.893,0.366357,0.00568995,0.0664234,0.031227,0.0214544,0.0733975
52,e-,0.383702,0.178177,499.921,0.423053,0.00565784,0.0529993,0.0408092,0.036606,0.0668903
52,e-,0.420582,0.199068,499.955,0.465314,0.00557039,0.0622626,0.0244349,0.035359,0.0668857
52,e-,0.458714,0.221228,499.989,0.509274,0.00529764,0.0513449,0.0284655,0.0446728,0.0587076
52,e-,0.471507,0.228321,500,0.523879,0.00527737,0.0503915,0.0290667,0.0451347,0.0581737
53,mu+,-0.00613598,-0.0106606,500,0.0123004,99987,-3.67735,-3.34294,100093,4.96972
54,mu+,-0.0338252,-0.0729119,500,0.0803759,99988.1,-13.8838,-28.94,100094,32.098
55,mu+,-0.00400451,-2.83131e-05,500,0.00400461,99981,-1.6384,0.567211,100087,1.7338
56,mu+,0.0317108,-0.00594588,500,0.0322635,99991.2,12.8266,-1.33348,100097,12.8957
57,mu+,0.00781291,-0.00234758,500,0.00815798,99989.1,2.02635,-1.15431,100095,2.33207
58,mu+,0.00315176,-0.00382568,500,0.00495676,99991.8,0.151123,-3.43277,100097,3.4361
59,mu+,-0.00312367,0.0134435,500,0.0138017,99992.1,-1.62455,5.20768,100098,5.45519
