EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,gamma,-2.45209,-2.11749,500,500.01,360.897,-3.28425,-2.20008,360.875,360.897
1,gamma,-0.852419,-4.90721,500,500.025,2.51329,-0.00484924,-0.0496474,2.5128,2.51329
1,gamma,-1.9771,-1.73842,500,500.007,5.57326,-0.0423405,-0.0301378,5.57301,5.57326
1,gamma,0.218649,1.25373,500,500.002,2.98788,0.00290243,0.0186206,2.98782,2.98788
1,gamma,-0.708403,1.46095,500,500.003,5.28858,-0.0136731,0.037062,5.28843,5.28858
4,gamma,0.702002,-2.70279,500,500.008,0.904001,0.00221972,-0.00971713,0.903946,0.904001
4,gamma,-2.6621,2.27627,500,500.012,6.79606,-0.0732325,0.0612701,6.79539,6.79606
4,gamma,-0.171762,-2.20308,500,500.005,5.24839,-0.00213143,-0.0511705,5.24814,5.24839
4,gamma,1.12988,-4.40028,500,500.021,67.0053,0.329432,-1.25608,66.9927,67.0053
4,gamma,-3.77583,-2.85388,500,500.022,1.15051,-0.0174604,-0.0125326,1.15031,1.15051
4,gamma,-2.10879,-1.93061,500,500.008,6.80321,-0.0595251,-0.0497295,6.80277,6.80321
6,gamma,-2.09649,2.83542,500,500.012,41.4447,-0.353938,0.487558,41.4403,41.4447
6,gamma,-0.362733,0.653008,500,500.001,20.4527,-0.0331619,0.0628587,20.4526,20.4527
6,gamma,2.42536,-1.0506,500,500.007,15.5801,0.142032,-0.0573003,15.5794,15.5801
6,gamma,0.373608,-1.30742,500,500.002,1.81851,0.00212886,-0.00853389,1.81849,1.81851
7,gamma,2.07418,2.29924,500,500.01,3.41122,0.0219219,0.0270025,3.41105,3.41122
8,gamma,2.91649,-4.74907,500,500.031,8.26787,0.0916567,-0.165219,8.26571,8.26787
8,gamma,0.108827,0.858048,500,500.001,15.2756,-0.00160778,0.044309,15.2755,15.2756
8,gamma,0.296652,1.39577,500,500.002,12.8075,0.00801856,0.0638037,12.8074,12.8075
9,gamma,-1.01339,1.30053,500,500.003,19.4658,-0.102818,0.079427,19.4654,19.4658
11,gamma,-4.12098,-4.8852,500,500.041,1.44314,-0.0233542,-0.0279753,1.44268,1.44314
11,gamma,-0.223997,-2.94197,500,500.009,17.5402,-0.0113355,-0.204167,17.539,17.5402
11,gamma,-2.96297,1.43678,500,500.011,0.738848,-0.00817104,0.00414438,0.738791,0.738848
12,gamma,1.35367,-3.61873,500,500.015,24.831,0.144052,-0.356011,24.8281,24.831
12,gamma,3.58368,0.0630242,500,500.013,72.3323,1.06979,0.057168,72.3244,72.3323
12,gamma,4.62139,0.204042,500,500.021,140.063,2.65995,0.190314,140.037,140.063
12,gamma,5,-0.624072,485.839,485.865,1.36969,0.0301788,-0.00276566,1.36935,1.36969
13,gamma,2.15635,4.58962,500,500.026,2.16025,0.0176134,0.0391888,2.15983,2.16025
13,gamma,-0.831666,0.855318,500,500.001,2.01117,-0.00671538,0.00691884,2.01115,2.01117
14,gamma,0.439806,-5,498.508,498.533,128.822,-0.0172392,-2.47274,128.798,128.822
14,gamma,-2.58438,4.34312,500,500.026,4.60622,-0.0600056,0.0865179,4.60501,4.60622
14,gamma,5,-0.769626,485.368,485.395,27.8497,0.533383,-0.0683015,27.8445,27.8497
14,gamma,3.9313,-0.840354,500,500.016,39.2269,0.546272,-0.102425,39.223,39.2269
15,gamma,-3.76924,-0.515108,500,500.014,30.6651,-0.441481,-0.036513,30.6619,30.6651
16,gamma,0.0187788,4.6643,500,500.022,5.50088,-0.00582941,0.0946653,5.50006,5.50088
17,gamma,-5,0.567488,495.704,495.73,206.17,-3.99002,0.637642,206.13,206.17
17,gamma,-5,2.83248,482.037,482.071,2.73266,-0.0561604,0.0357509,2.73185,2.73266
17,gamma,-1.0259,-0.653436,500,500.001,5.56893,-0.0203611,-0.0098519,5.56889,5.56893
17,gamma,0.468762,-0.881184,500,500.001,7.23609,0.015339,-0.0191776,7.23605,7.23609
18,gamma,-1.40697,0.354158,500,500.002,10.8217,-0.0543011,0.0108042,10.8215,10.8217
19,gamma,-2.29363,-0.573674,500,500.006,12.3255,-0.104752,-0.0297587,12.325,12.3255
