EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,0.561819,-0.0912615,500,500,9948.04,21.8149,-3.97047,10053.1,10053.1
1,mu+,-0.829042,-0.96783,500,500.002,9639.13,-32.1137,-39.4175,9744.08,9744.22
2,mu+,-1.27165,-0.786491,500,500.002,9936.62,-52.5755,-30.8607,10041.5,10041.7
3,mu+,-0.768993,-0.221518,483.331,483.331,9948.22,-35.5766,-9.23481,10053.3,10053.3
3,mu+,-0.827983,-0.236831,500,500.001,9948.22,-35.5845,-9.2486,10053.3,10053.3
3,e-,-0.755338,-0.219913,483.331,483.332,0.0019964,0.0291039,0.0321326,-0.0128359,0.0452139
3,e-,-0.71318,-0.173368,483.313,483.313,0,0,0,-0,0
3,e-,-0.71318,-0.173368,483.313,483.313,0,0,0,-0,0
3,e-,-0.706748,-0.255335,483.353,483.353,0,0,-0,0,0
3,e-,-0.706748,-0.255335,483.353,483.353,0,0,-0,0,0
4,mu+,0.845869,-0.805671,500,500.001,9936.77,36.14,-32.9983,10041.8,10041.9
5,mu+,0.283186,0.528932,500,500,9951.35,11.8029,22.9073,10056.4,10056.5
6,mu+,0.414635,0.115275,500,500,9955.61,17.5005,5.81838,10060.7,10060.7
7,mu+,1.44127,-1.15242,486.968,486.972,9952.83,63.1259,-50.5329,10057.6,10057.9
7,mu+,1.52307,-1.2179,500,500.004,9952.83,63.0704,-50.5622,10057.6,10057.9
7,e-,1.43187,-1.11992,486.97,486.973,0,-0,0,0,0
7,e-,1.43187,-1.11992,486.97,486.973,0,-0,0,0,0
8,mu+,0.680708,0.993833,500,500.001,9898.05,26.3341,39.6649,10003,10003.1
9,mu+,1.03352,0.747638,500,500.002,9941.21,37.9196,30.068,10046.2,10046.3
10,mu+,-0.596644,-0.877583,500,500.001,9948.26,-24.7968,-38.1919,10053.3,10053.4
11,mu+,-0.388524,-1.11355,495.75,495.752,9953.03,-16.8719,-47.0037,10058,10058.1
11,mu+,-0.395653,-1.13341,500,500.001,9953.03,-16.8717,-47.0065,10058,10058.1
11,e-,-0.435411,-1.11419,495.752,495.753,0,-0,-0,0,0
11,e-,-0.435411,-1.11419,495.752,495.753,0,-0,-0,0,0
12,mu+,0.713734,-1.68345,500,500.003,9952.75,28.7383,-67.7922,10057.6,10057.9
13,mu+,1.78126,0.862535,500,500.004,9939.91,72.6499,35.8597,10044.7,10045
14,mu+,0.683839,-0.443246,500,500.001,9950.22,28.3566,-19.1181,10055.3,10055.3
15,mu+,0.463287,-0.969166,500,500.001,9953.16,18.7876,-41.7691,10058.2,10058.3
16,mu+,-0.79765,-0.875149,500,500.001,9953.18,-33.8968,-37.1922,10058.2,10058.3
17,mu+,0.655932,-1.44404,500,500.003,9949.08,26.8974,-58.115,10054,10054.2
18,mu+,-0.185829,-0.888247,500,500.001,9869.97,-6.20492,-37.0082,9975,9975.07
19,mu+,1.19186,-0.274899,483.981,483.983,9954.11,54.2897,-12.0783,10059.1,10059.2
19,mu+,1.27831,-0.294134,500,500.002,9954.11,54.3078,-12.103,10059.1,10059.2
19,e-,1.18044,-0.245264,483.982,483.984,0,-0,0,0,0
19,e-,1.18044,-0.245264,483.982,483.984,0,-0,0,0,0
20,mu+,2.60304,-0.491995,500,500.007,9947.17,107.592,-20.7631,10051.7,10052.3
21,mu+,-0.346734,-0.331476,500,500,9956.4,-13.951,-14.1431,10061.5,10061.5
22,mu+,0.438537,0.25795,500,500,9954.84,18.0758,10.6462,10059.9,10059.9
23,mu+,-0.769052,-1.00027,500,500.002,9952.78,-32.2771,-38.7026,10057.8,10057.9
24,mu+,2.11143,-0.639727,500,500.005,9909.61,83.868,-22.455,10014.3,10014.7
25,mu+,0.0071438,1.01818,500,500.001,9953.54,1.57213,43.3052,10058.6,10058.6
26,mu+,1.15878,1.60792,491.789,491.793,9933.17,49.1244,67.1422,10037.9,10038.3
26,mu+,1.19897,1.66283,500,500.004,9933.16,49.1312,67.1848,10037.9,10038.3
26,e-,1.17622,1.61951,491.79,491.794,0,0,0,0,0
26,e-,1.17622,1.61951,491.79,491.794,0,0,0,0,0
27,mu+,-0.245829,-0.304672,500,500,9878.91,-8.07325,-11.9683,9984,9984.01
28,mu+,0.725947,0.262742,484.64,484.641,9953.83,30.9654,11.2205,10058.9,10058.9
28,mu+,0.77323,0.279876,500,500.001,9953.83,31.0159,11.2182,10058.9,10058.9
28,e-,0.667489,0.319258,484.644,484.645,0,-0,0,0,0
28,e-,0.667489,0.319258,484.644,484.645,0,-0,0,0,0
29,mu+,1.47796,0.196634,500,500.002,9948.79,61.1368,7.64145,10053.7,10053.9
30,mu+,-0.43428,0.598521,500,500.001,9916.71,-18.2064,24.7174,10021.8,10021.8
31,mu+,0.659037,0.45146,500,500.001,9943.98,29.4069,19.8873,10049,10049.1
32,mu+,-0.521475,-1.11781,500,500.002,9952.49,-22.4864,-47.7641,10057.5,10057.6
33,mu+,0.674242,0.806736,500,500.001,9941.96,29.2398,34.4147,10047,10047.1
34,mu+,-0.0839992,-0.754961,500,500.001,9920.9,-3.4051,-30.8093,10026,10026
35,mu+,0.34832,-0.486078,500,500,9952.49,11.4133,-18.5919,10057.6,10057.6
36,mu+,0.064982,-0.870542,492.975,492.975,9845.36,0.379198,-37.2694,9950.39,9950.46
36,mu+,0.0652497,-0.896856,500,500.001,9845.36,0.365442,-37.295,9950.38,9950.45
36,e-,0.129318,-1.06451,492.986,492.988,0,0,-0,0,0
36,e-,0.129318,-1.06451,492.986,492.988,0,0,-0,0,0
37,mu+,-2.02863,1.9381,500,500.008,9945.16,-85.3358,79.9181,10049.6,10050.3
38,mu+,0.317987,-0.715327,500,500.001,9952.77,13.1079,-30.8421,10057.8,10057.9
39,mu+,0.663598,-1.68001,500,500.003,9937.83,27.502,-64.4816,10042.7,10042.9
40,mu+,1.27464,0.386673,500,500.002,9945.15,52.7552,15.2721,10050.1,10050.3
41,mu+,-0.730899,0.330024,500,500.001,9948.51,-29.6763,15.439,10053.6,10053.6
42,mu+,-0.58619,1.23895,500,500.002,9945.21,-21.7101,50.4178,10050.2,10050.3
43,mu+,1.11952,0.710577,500,500.002,9956.6,47.3441,29.7388,10061.5,10061.7
44,mu+,-0.7191,-1.22805,500,500.002,9957.35,-26.961,-52.6601,10062.3,10062.5
45,mu+,-0.662887,-0.889632,482.844,482.845,9944.86,-28.5574,-39.2917,10049.8,10050
45,mu+,-0.711638,-0.956708,500,500.001,9944.86,-28.5272,-39.2643,10049.8,10050
45,e-,-0.673851,-0.830296,482.846,482.848,0,-0,0,0,0
45,e-,-0.673851,-0.830296,482.846,482.848,0,-0,0,0,0
46,mu+,-0.203422,-0.382413,487.151,487.151,9940.73,-10.8238,-17.8242,10045.8,10045.8
46,mu+,-0.217266,-0.405211,500,500,9940.72,-10.7595,-17.8437,10045.8,10045.8
46,e-,-0.178568,-0.124778,487.168,487.168,0,0,0,0,0
46,e-,-0.178568,-0.124778,487.168,487.168,0,0,0,0,0
47,mu+,0.811912,-1.67313,500,500.003,9954.22,34.5563,-68.2026,10059,10059.3
48,mu+,-2.8315,-0.578735,500,500.008,9952.54,-115.687,-24.2885,10057,10057.6
49,mu+,1.43859,-1.02663,500,500.003,9946.07,62.0045,-41.7713,10050.9,10051.2
50,mu+,-0.415995,-0.584561,500,500.001,9947.51,-16.3905,-25.2357,10052.6,10052.6
51,mu+,-0.606536,0.19285,490.632,490.633,9911.84,-29.034,9.94902,10016.9,10016.9
51,mu+,-0.631216,0.201305,499.151,499.151,9911.84,-28.9496,9.9134,10016.9,10016.9
51,mu+,-0.63367,0.202146,500,500,9911.84,-28.9496,9.9134,10016.9,10016.9
51,e-,-0.694343,0.218422,499.154,499.154,0,-0,0,0,0
51,e-,-0.694343,0.218422,499.154,499.154,0,-0,0,0,0
51,e-,-0.586508,0.198786,490.633,490.633,0,0,0,0,0
51,e-,-0.586508,0.198786,490.633,490.633,0,0,0,0,0
