EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu-,0.561816,-0.0912612,500,500,9948.18,21.8151,-3.97052,10053.3,10053.3
1,mu-,-0.829042,-0.967826,500,500.002,9639.28,-32.1142,-39.4179,9744.23,9744.36
2,mu-,-1.27165,-0.786491,500,500.002,9936.77,-52.5761,-30.8611,10041.7,10041.9
3,mu-,-0.768989,-0.221517,483.331,483.331,9948.37,-35.577,-9.23487,10053.4,10053.5
3,mu-,-0.827979,-0.236829,500,500.001,9948.37,-35.5849,-9.24867,10053.4,10053.5
3,e-,-0.755335,-0.219912,483.331,483.332,0.0019964,0.0291039,0.0321326,-0.0128359,0.0452139
3,e-,-0.713176,-0.173366,483.313,483.313,0,0,0,-0,0
3,e-,-0.713176,-0.173366,483.313,483.313,0,0,0,-0,0
3,e-,-0.706744,-0.255334,483.353,483.353,0,0,-0,0,0
3,e-,-0.706744,-0.255334,483.353,483.353,0,0,-0,0,0
4,mu-,0.845864,-0.805673,500,500.001,9936.91,36.1403,-32.9989,10041.9,10042
5,mu-,0.283186,0.528932,500,500,9951.5,11.803,22.9076,10056.6,10056.6
6,mu-,0.414635,0.115275,500,500,9955.75,17.5008,5.81846,10060.8,10060.9
7,mu-,1.44127,-1.15242,486.968,486.972,9952.97,63.1268,-50.5334,10057.8,10058.1
7,mu-,1.52307,-1.2179,500,500.004,9952.97,63.0713,-50.5627,10057.7,10058.1
7,e-,1.43187,-1.11992,486.97,486.973,0,-0,0,0,0
7,e-,1.43187,-1.11992,486.97,486.973,0,-0,0,0,0
8,mu-,0.680706,0.993826,500,500.001,9898.2,26.3343,39.6652,10003.2,10003.3
9,mu-,1.03352,0.747636,500,500.002,9941.35,37.9201,30.0684,10046.3,10046.5
10,mu-,-0.596644,-0.877575,500,500.001,9948.4,-24.7971,-38.1921,10053.4,10053.5
11,mu-,-0.388524,-1.11355,495.75,495.752,9953.23,-16.8722,-47.0047,10058.2,10058.3
11,mu-,-0.395653,-1.13341,500,500.001,9953.23,-16.872,-47.0075,10058.2,10058.3
11,e-,-0.435411,-1.11419,495.752,495.753,0,-0,-0,0,0
11,e-,-0.435411,-1.11419,495.752,495.753,0,-0,-0,0,0
12,mu-,0.713732,-1.68345,500,500.003,9952.89,28.7386,-67.7931,10057.7,10058
13,mu-,1.78126,0.862533,500,500.004,9940.05,72.6508,35.8601,10044.8,10045.2
14,mu-,0.68384,-0.443246,500,500.001,9950.36,28.3571,-19.1184,10055.4,10055.5
15,mu-,0.463287,-0.969166,500,500.001,9953.3,18.7879,-41.7697,10058.3,10058.4
16,mu-,-0.79765,-0.875149,500,500.001,9953.32,-33.8973,-37.1928,10058.3,10058.4
17,mu-,0.655934,-1.44404,500,500.003,9949.22,26.8978,-58.1159,10054.1,10054.3
18,mu-,-0.185843,-0.888241,500,500.001,9870.1,-6.2056,-37.0085,9975.13,9975.2
19,mu-,1.19186,-0.274899,483.981,483.983,9954.26,54.2904,-12.0784,10059.2,10059.4
19,mu-,1.27831,-0.294134,500,500.002,9954.25,54.3086,-12.1032,10059.2,10059.4
19,e-,1.18044,-0.245264,483.982,483.984,0,-0,0,0,0
19,e-,1.18044,-0.245264,483.982,483.984,0,-0,0,0,0
20,mu-,2.60301,-0.492007,500,500.007,9947.32,107.593,-20.7639,10051.8,10052.4
21,mu-,-0.346734,-0.331476,500,500,9956.54,-13.9512,-14.1433,10061.6,10061.6
22,mu-,0.438537,0.25795,500,500,9954.99,18.076,10.6463,10060.1,10060.1
23,mu-,-0.769051,-1.00027,500,500.002,9952.92,-32.2775,-38.7031,10057.9,10058
24,mu-,2.11143,-0.639728,500,500.005,9909.76,83.869,-22.4554,10014.5,10014.9
25,mu-,0.00714378,1.01818,500,500.001,9953.69,1.57216,43.3059,10058.7,10058.8
26,mu-,1.15878,1.60791,491.789,491.793,9933.31,49.1249,67.143,10038.1,10038.4
26,mu-,1.19896,1.66283,500,500.004,9933.31,49.1317,67.1856,10038.1,10038.4
26,e-,1.17621,1.61951,491.79,491.794,0,0,0,0,0
26,e-,1.17621,1.61951,491.79,491.794,0,0,0,0,0
27,mu-,-0.24583,-0.304669,500,500,9879.05,-8.07339,-11.9683,9984.14,9984.15
28,mu-,0.725951,0.262745,484.64,484.641,9953.97,30.966,11.2208,10059,10059.1
28,mu-,0.773235,0.279879,500,500.001,9953.97,31.0165,11.2185,10059,10059.1
28,e-,0.667493,0.319261,484.644,484.645,0,-0,0,0,0
28,e-,0.667493,0.319261,484.644,484.645,0,-0,0,0,0
29,mu-,1.47796,0.196632,500,500.002,9948.94,61.1375,7.64151,10053.9,10054
30,mu-,-0.43427,0.598522,500,500.001,9916.85,-18.2062,24.7178,10021.9,10022
31,mu-,0.659026,0.451466,500,500.001,9944.12,29.4069,19.8878,10049.2,10049.2
32,mu-,-0.521475,-1.11781,500,500.002,9952.64,-22.4867,-47.7648,10057.6,10057.7
33,mu-,0.674227,0.806732,500,500.001,9942.1,29.2395,34.415,10047.1,10047.2
34,mu-,-0.0839975,-0.754959,500,500.001,9921.05,-3.40509,-30.8096,10026.1,10026.1
35,mu-,0.350544,-0.487695,500,500,9952.65,11.7841,-18.8901,10057.7,10057.8
36,mu-,-0.392814,-1.00333,500,500.001,9953.06,-15.5295,-41.9482,10058.1,10058.2
37,mu-,0.355254,-0.365382,500,500,9946.22,13.4408,-13.329,10051.3,10051.3
38,mu-,-2.24972,-1.96903,500,500.009,9950.79,-93.8513,-82.3211,10055.1,10055.9
