EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,proton,0.0582835,-0.0577679,500,500,99943.4,22.6279,-24.2367,100877,100877
1,proton,-0.0123821,-0.0944951,500,500,99941.1,-4.50838,-40.1798,100875,100875
2,proton,-0.0379988,0.0344463,500,500,99952.6,-15.7095,15.1105,100887,100887
3,proton,0.0119036,0.0819746,500,500,99948.5,6.12375,35.9596,100882,100882
4,proton,-0.0180003,0.0877823,500,500,99955.4,-8.64921,38.071,100889,100889
5,proton,0.0774631,0.125685,500,500,99906,31.7204,52.2063,100840,100840
6,proton,0.0976155,-0.238262,500,500,99944.9,39.5515,-96.953,100879,100879
7,proton,-0.154063,-0.0665906,500,500,99951,-65.2524,-27.9681,100885,100885
8,proton,0.0360438,0.267649,489.727,489.727,99747.5,16.6529,114.174,100681,100681
8,proton,0.0377431,0.279299,500,500,99747.5,16.6141,114.16,100681,100681
8,e-,0.0462547,0.289938,489.727,489.727,0,0,0,0,0
8,e-,0.0462547,0.289938,489.727,489.727,0,0,0,0,0
9,proton,0.0644019,-0.0244962,500,500,99954.1,26.6375,-9.16636,100888,100888
10,proton,0.0416997,-0.0698604,485.935,485.935,99953.1,20.9443,-28.6887,100887,100887
10,proton,0.0446196,-0.07386,500,500,99953.1,20.9698,-28.673,100887,100887
10,e-,0.042266,-0.0396687,485.936,485.936,0,0,0,0,0
10,e-,0.042266,-0.0396687,485.936,485.936,0,0,0,0,0
11,proton,-0.103143,-0.109886,500,500,99957.9,-43.5076,-45.8474,100892,100892
12,proton,0.0762133,0.0621553,500,500,99945,30.9523,26.2503,100879,100879
13,proton,-0.0453349,-0.0342317,500,500,99953.3,-18.0473,-14.1043,100887,100887
14,proton,0.103292,-0.0362069,500,500,99950.1,44.9925,-17.9418,100884,100884
15,proton,0.0985279,-0.112353,500,500,99937.3,39.6857,-47.9773,100871,100871
16,proton,-0.046968,-0.0717515,488.665,488.665,99950,-20.0986,-30.7743,100884,100884
16,proton,-0.0492261,-0.0752091,500,500,99950,-20.1241,-30.7969,100884,100884
16,e-,-0.131648,0.0875577,488.676,488.676,0,-0,0,0,0
16,e-,-0.131648,0.0875577,488.676,488.676,0,-0,0,0,0
17,proton,0.0476427,-0.0013777,500,500,99952.5,19.552,0.361589,100886,100886
18,proton,0.0993956,-0.0311223,500,500,99953.8,41.8404,-12.5894,100888,100888
19,proton,0.0804752,-0.092646,485.532,485.532,99952,35.8942,-41.0677,100886,100886
19,proton,0.0856229,-0.0985356,500,500,99952,35.8973,-41.1372,100886,100886
19,e-,-0.904955,1.18265,485.719,485.721,0.00753104,-0.0703186,0.0375452,0.0374043,0.0880535
19,e-,-1.44434,1.47065,486.006,486.01,0.0019187,0.00220146,0.0441073,0.00377915,0.0443236
19,e-,-1.4413,1.53164,486.011,486.016,0,0,0,0,0
19,e-,-1.4413,1.53164,486.011,486.016,0,0,0,0,0
20,proton,0.0777487,0.101195,495.364,495.364,99918.6,31.9331,41.7901,100853,100853
20,proton,0.0792167,0.103116,500,500,99918.6,31.9199,41.7886,100853,100853
20,e-,0.130358,0.10206,495.366,495.366,0,0,0,0,0
20,e-,0.130358,0.10206,495.366,495.366,0,0,0,0,0
21,proton,-0.0328975,0.100885,500,500,99939.4,-13.8895,41.2477,100873,100873
22,proton,0.0837135,-0.00490171,500,500,99951.6,36.1602,-1.394,100885,100885
23,proton,0.0443702,0.116193,500,500,99956,17.9614,49.5618,100890,100890
24,proton,-0.140331,0.0359006,490.858,490.858,99923.1,-61.3897,14.6719,100857,100857
24,proton,-0.145896,0.0372305,500,500,99923.1,-61.4149,14.688,100857,100857
24,e-,-0.154078,0.0162907,490.859,490.859,0,-0,-0,0,0
24,e-,-0.154078,0.0162907,490.859,490.859,0,-0,-0,0,0
25,proton,-0.031635,0.190567,500,500,99940.1,-13.6031,81.3439,100874,100874
26,proton,0.0712615,-0.116069,500,500,99932.1,28.4533,-46.8683,100866,100866
27,proton,0.0198312,0.0200202,500,500,99898.1,9.01611,9.68673,100832,100832
28,proton,0.0513075,0.0491173,500,500,99952,22.5118,20.0049,100886,100886
29,proton,-0.22438,-0.0345701,500,500,99907.2,-91.051,-16.1475,100841,100841
30,proton,-0.088124,-0.00804805,500,500,99780.9,-36.1016,-4.89059,100715,100715
31,proton,0.000947612,-0.111352,500,500,99953.3,0.330865,-45.1724,100887,100887
32,proton,-0.0692686,0.0084534,500,500,99951,-28.0763,3.51518,100885,100885
33,proton,0.0879292,0.00732399,500,500,99663.5,35.5333,1.81561,100597,100597
33,gamma,-1.58059,-5,484.188,484.216,4.58007,-0.0325686,-0.0937545,4.57899,4.58007
34,proton,-0.0580505,0.0350093,500,500,99952.7,-24.0965,14.7161,100887,100887
35,proton,0.0403935,-0.0751492,500,500,99951.7,17.3597,-31.4567,100886,100886
36,proton,0.0433913,-0.188049,500,500,99938.7,19.0169,-76.9633,100873,100873
37,proton,0.0576783,-0.108861,500,500,99954.4,22.8306,-45.4892,100888,100888
38,proton,-0.114192,0.00722901,500,500,99955.8,-48.4929,2.73066,100890,100890
39,proton,-0.0690256,0.0312061,500,500,99955.1,-29.2035,12.8149,100889,100889
40,proton,0.00320202,0.0593516,500,500,99952.9,0.632804,25.0484,100887,100887
41,proton,-0.0218166,0.0134783,500,500,99943.8,-11.7014,7.32256,100878,100878
42,proton,-0.0686907,0.0528894,500,500,99809.8,-29.5569,21.4459,100744,100744
43,proton,0.00154608,-0.0642223,484.798,484.798,99957.7,0.33197,-28.9496,100892,100892
43,proton,0.0015679,-0.0661623,491.556,491.556,99957.7,0.329412,-28.9955,100892,100892
43,proton,0.00159547,-0.068589,500,500,99957.7,0.32408,-28.9562,100892,100892
43,e-,-0.00649922,-0.0449379,491.557,491.557,0,-0,0,0,0
43,e-,-0.00649922,-0.0449379,491.557,491.557,0,-0,0,0,0
43,e-,0.401859,0.137988,484.832,484.832,0,-0,0,-0,0
43,e-,0.401859,0.137988,484.832,484.832,0,-0,0,-0,0
44,proton,-0.0131296,0.028124,500,500,99955.4,-4.99751,11.7006,100889,100889
45,proton,0.0124515,0.0803124,482.152,482.152,99933.4,5.77609,37.5654,100867,100867
45,proton,0.0134736,0.0869595,500,500,99933.4,5.7538,37.619,100867,100867
45,e-,-0.276405,0.189618,482.173,482.173,0,-0,0,0,0
45,e-,-0.276405,0.189618,482.173,482.173,0,-0,0,0,0
46,proton,-0.0894643,-0.067631,500,500,99921.6,-35.8664,-28.4874,100856,100856
47,proton,-0.0113373,0.18125,500,500,99908.4,-5.21238,72.5755,100842,100842
48,proton,-0.0106777,0.122521,500,500,99944.5,-3.87224,51.7001,100878,100878
