EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,0.561819,-0.0912615,500.0,0.569183,9948.04,21.8149,-3.97047,10053.1,22.1733
1,mu+,-0.829042,-0.96783,500.0,1.27437,9639.13,-32.1137,-39.4175,9744.08,50.8432
2,mu+,-1.27165,-0.786491,500.0,1.49522,9936.62,-52.5755,-30.8607,10041.5,60.9636
3,mu+,-0.768993,-0.221518,483.331,0.800263,9948.22,-35.5766,-9.23481,10053.3,36.7557
3,mu+,-0.827983,-0.236831,500.0,0.861188,9948.22,-35.5845,-9.2486,10053.3,36.7667
3,e-,-0.755338,-0.219913,483.331,0.786701,0.0019964,0.0291039,0.0321326,-0.0128359,0.0433536
3,e-,-0.71318,-0.173368,483.313,0.73395,0.0,0.0,0.0,-0.0,0.0
3,e-,-0.71318,-0.173368,483.313,0.73395,0.0,0.0,0.0,-0.0,0.0
3,e-,-0.706748,-0.255335,483.353,0.751457,0.0,0.0,-0.0,0.0,0.0
3,e-,-0.706748,-0.255335,483.353,0.751457,0.0,0.0,-0.0,0.0,0.0
4,mu+,0.845869,-0.805671,500.0,1.16816,9936.77,36.14,-32.9983,10041.8,48.9387
5,mu+,0.283186,0.528932,500.0,0.59997,9951.35,11.8029,22.9073,10056.4,25.7692
6,mu+,0.414635,0.115275,500.0,0.430361,9955.61,17.5005,5.81838,10060.7,18.4424
7,mu+,1.44127,-1.15242,486.968,1.84536,9952.83,63.1259,-50.5329,10057.6,80.8607
7,mu+,1.52307,-1.2179,500.0,1.95013,9952.83,63.0704,-50.5622,10057.6,80.8357
7,e-,1.43187,-1.11992,486.97,1.81782,0.0,-0.0,0.0,0.0,0.0
7,e-,1.43187,-1.11992,486.97,1.81782,0.0,-0.0,0.0,0.0,0.0
8,mu+,0.680708,0.993833,500.0,1.2046,9898.05,26.3341,39.6649,10003.0,47.6108
9,mu+,1.03352,0.747638,500.0,1.27559,9941.21,37.9196,30.068,10046.2,48.394
10,mu+,-0.596644,-0.877583,500.0,1.0612,9948.26,-24.7968,-38.1919,10053.3,45.5357
11,mu+,-0.388524,-1.11355,495.75,1.17938,9953.03,-16.8719,-47.0037,10058.0,49.9401
11,mu+,-0.395653,-1.13341,500.0,1.20049,9953.03,-16.8717,-47.0065,10058.0,49.9426
11,e-,-0.435411,-1.11419,495.752,1.19624,0.0,-0.0,-0.0,0.0,0.0
11,e-,-0.435411,-1.11419,495.752,1.19624,0.0,-0.0,-0.0,0.0,0.0
12,mu+,0.713734,-1.68345,500.0,1.8285,9952.75,28.7383,-67.7922,10057.6,73.632
13,mu+,1.78126,0.862535,500.0,1.97911,9939.91,72.6499,35.8597,10044.7,81.018
14,mu+,0.683839,-0.443246,500.0,0.814926,9950.22,28.3566,-19.1181,10055.3,34.1994
15,mu+,0.463287,-0.969166,500.0,1.07421,9953.16,18.7876,-41.7691,10058.2,45.7999
16,mu+,-0.79765,-0.875149,500.0,1.18412,9953.18,-33.8968,-37.1922,10058.2,50.3215
17,mu+,0.655932,-1.44404,500.0,1.58603,9949.08,26.8974,-58.115,10054.0,64.0377
18,mu+,-0.185829,-0.888247,500.0,0.907477,9869.97,-6.20492,-37.0082,9975.0,37.5248
19,mu+,1.19186,-0.274899,483.981,1.22315,9954.11,54.2897,-12.0783,10059.1,55.617
19,mu+,1.27831,-0.294134,500.0,1.31171,9954.11,54.3078,-12.103,10059.1,55.6401
19,e-,1.18044,-0.245264,483.982,1.20565,0.0,-0.0,0.0,0.0,0.0
19,e-,1.18044,-0.245264,483.982,1.20565,0.0,-0.0,0.0,0.0,0.0
20,mu+,2.60304,-0.491995,500.0,2.64913,9947.17,107.592,-20.7631,10051.7,109.577
21,mu+,-0.346734,-0.331476,500.0,0.479688,9956.4,-13.951,-14.1431,10061.5,19.866
22,mu+,0.438537,0.25795,500.0,0.508776,9954.84,18.0758,10.6462,10059.9,20.9779
23,mu+,-0.769052,-1.00027,500.0,1.26174,9952.78,-32.2771,-38.7026,10057.8,50.3954
24,mu+,2.11143,-0.639727,500.0,2.20622,9909.61,83.868,-22.455,10014.3,86.8221
25,mu+,0.0071438,1.01818,500.0,1.0182,9953.54,1.57213,43.3052,10058.6,43.3338
26,mu+,1.15878,1.60792,491.789,1.98196,9933.17,49.1244,67.1422,10037.9,83.1943
26,mu+,1.19897,1.66283,500.0,2.05001,9933.16,49.1312,67.1848,10037.9,83.2326
26,e-,1.17622,1.61951,491.79,2.00158,0.0,0.0,0.0,0.0,0.0
26,e-,1.17622,1.61951,491.79,2.00158,0.0,0.0,0.0,0.0,0.0
27,mu+,-0.245829,-0.304672,500.0,0.391481,9878.91,-8.07325,-11.9683,9984.0,14.4367
