EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
2,gamma,2.78492,-2.67223,500,3.85961,16.5507,0.366522,-0.240753,16.5449,0.438521
8,gamma,-3.32342,1.80315,500,3.78107,16.0097,-0.125042,0.207346,16.0079,0.242132
14,gamma,3.81573,-2.80652,500,4.7367,0.627321,0.0200395,-0.00857815,0.626942,0.0217983
27,gamma,3.97682,2.50784,500,4.70152,46.3896,0.283951,-0.37101,46.3872,0.467201
30,gamma,-3.41707,4.42087,500,5.58753,31.4476,-0.254707,0.515514,31.4424,0.575005
33,gamma,1.84771,-1.39177,500,2.31324,0.463871,0.0129692,-0.00664795,0.463642,0.0145737
44,gamma,4.15053,-4.28621,500,5.96645,18.5903,0.312934,-0.533232,18.58,0.618276
48,gamma,3.21053,-2.55646,500,4.10402,3.2112,0.0636059,-0.0626707,3.20996,0.0892935
52,gamma,1.56315,5,498.501,5.23865,32.7731,0.103491,0.513547,32.7689,0.523871
54,gamma,0.692325,1.65279,500,1.79193,2.18629,-0.00267229,0.00844184,2.18627,0.0088547
62,gamma,4.231,-0.356835,500,4.24602,10.9859,0.123067,-0.14189,10.9843,0.187825
65,gamma,-3.63235,3.51329,500,5.05343,23.4081,-0.560247,0.378129,23.3984,0.675913
66,gamma,-3.10143,-4.03003,500,5.08527,13.9718,-0.102393,-0.106212,13.971,0.147531
71,gamma,-0.0458002,-3.42418,500,3.42448,5.78184,0.0246141,-0.0491656,5.78157,0.0549828
71,gamma,-3.9036,-4.22133,500,5.74958,20.0522,-0.212065,-0.231982,20.0497,0.314304
73,gamma,3.91001,0.529925,500,3.94575,19.3695,0.288381,0.066474,19.3673,0.295943
80,gamma,-0.789615,-1.63702,500,1.8175,5.26043,-0.00648891,-0.0389681,5.26028,0.0395046
80,gamma,-2.3056,0.203572,500,2.31457,1.30364,-0.0092134,-0.000431013,1.3036,0.00922348
80,gamma,-0.762118,0.297505,500,0.818127,14.9387,-0.00625012,-0.0113158,14.9387,0.0129272
80,gamma,4.88597,0.711873,500,4.93755,3.93945,0.0875988,0.00340828,3.93847,0.0876651
84,gamma,1.81227,-2.06161,500,2.74491,1.3831,0.0080488,-0.0198102,1.38294,0.0213829
90,gamma,2.01611,0.772301,500,2.15897,1.42451,0.0262622,0.00728906,1.42425,0.0272549
93,gamma,-2.86781,0.233323,500,2.87729,4.80744,-0.0277199,0.157154,4.80479,0.15958
95,gamma,3.8345,-3.96591,500,5.51651,23.8101,0.377952,-0.302901,23.8051,0.484352
