EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,proton,-0.0136226,-0.0120648,500,0.0181971,99979,-6.33993,-4.51433,100913,7.78292
1,proton,0.0143,-0.0260846,487.65,0.0297472,99975,4.93887,-11.4096,100909,12.4327
1,proton,0.0149044,-0.0274811,500,0.0312626,99975,4.96542,-11.4499,100909,12.4802
1,e-,0.0240154,0.0177871,487.651,0.0298851,0,0,0,0,0
1,e-,0.0240154,0.0177871,487.651,0.0298851,0,0,0,0,0
2,proton,0.0195472,-0.00372738,500,0.0198994,99976.5,8.13198,-1.68586,100910,8.30489
3,proton,0.0301503,-0.030477,500,0.0428706,99974.3,13.3163,-12.6659,100908,18.3779
4,proton,0.0151556,-0.00720747,500,0.0167822,99976,6.21514,-2.22313,100910,6.60078
5,proton,-0.0495006,0.00633985,500,0.0499049,99978,-20.7971,1.77221,100912,20.8725
6,proton,0.00785546,0.0244853,500,0.0257145,99971,3.24794,10.1099,100905,10.6188
7,proton,-0.0366656,-0.0180165,500,0.0408529,99976,-15.4162,-7.62459,100910,17.1987
8,proton,-0.0335335,0.0691603,500,0.0768612,99969.4,-14.9444,27.38,100903,31.193
9,proton,-0.00446953,-0.0303112,500,0.030639,99976.1,-0.928978,-8.71336,100910,8.76275
10,proton,0.0116406,-0.0299732,500,0.0321543,99975.7,6.61831,-12.4405,100910,14.0914
11,proton,0.00218718,-0.0248452,500,0.0249413,99975.4,0.15599,-10.0792,100909,10.0804
12,proton,0.0490294,0.000423726,500,0.0490312,99976.4,20.2532,1.40933,100910,20.3022
13,proton,0.0296003,-0.0178931,500,0.0345881,99978.9,12.3138,-7.70651,100913,14.5265
14,proton,-0.00256784,-0.0374891,500,0.0375769,99952.1,0.00340486,-14.7295,100886,14.7295
15,proton,-0.0730597,0.0211277,500,0.0760533,99973.9,-28.5138,9.45975,100908,30.042
16,proton,-0.0449735,-0.00183458,500,0.045011,99964.9,-17.0313,-0.409174,100899,17.0362
17,proton,0.0228706,-0.038195,488.237,0.0445187,99965.4,9.38087,-15.6452,100899,18.2421
17,proton,0.0239642,-0.0400189,500,0.0466454,99965.4,9.40263,-15.6421,100899,18.2506
17,e-,0.347235,-0.1276,488.261,0.369938,0,0,-0,0,0
17,e-,0.347235,-0.1276,488.261,0.369938,0,0,-0,0,0
18,proton,-0.0194364,0.0503943,489.198,0.0540126,99974.5,-7.51615,20.318,100908,21.6636
18,proton,-0.020241,0.0525692,500,0.0563314,99974.5,-7.48495,20.3251,100908,21.6595
18,e-,0.00696801,0.0656049,489.199,0.0659739,0,0,0,0,0
18,e-,0.00696801,0.0656049,489.199,0.0659739,0,0,0,0,0
19,proton,0.00501787,0.00181206,500,0.00533504,99965.9,2.67183,1.11111,100900,2.89366
20,proton,-0.0218624,-0.026847,500,0.0346227,99973.8,-8.94587,-12.5257,100908,15.3923
21,proton,-0.222665,-0.0350942,500,0.225414,99951.7,-89.7659,-13.5741,100886,90.7864
