EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,0.0174697,-0.067382,500,0.0696098,99932.1,6.07878,-25.4293,100038,26.1458
1,mu+,-0.0420928,-0.00674826,500,0.0426303,99977.6,-15.9569,-1.85348,100083,16.0642
2,gamma,-1.33947,-2.24976,500,2.61832,0.771811,-0.00498473,-0.0079331,0.771754,0.00936919
2,mu+,-0.0235252,-0.0199505,500,0.0308457,99764.1,-8.90473,-8.62916,99869.8,12.3999
3,mu+,0.0417171,-0.0234921,483.671,0.0478768,99977.7,17.9738,-10.2586,100083,20.6953
3,mu+,0.0446496,-0.0251659,500,0.0512534,99977.7,17.9482,-10.2302,100083,20.659
3,e-,0.175914,-0.0328889,483.678,0.178962,0,0,-0,0,0
3,e-,0.175914,-0.0328889,483.678,0.178962,0,0,-0,0,0
4,mu+,0.0126618,-0.0335635,500,0.0358724,99979.6,4.76288,-12.9425,100085,13.7911
5,mu+,0.0541546,-0.0457309,500,0.0708804,99977.5,20.9413,-17.4332,100083,27.248
6,mu+,0.0221572,0.0604402,500,0.0643735,99978.6,7.98065,24.2197,100084,25.5007
7,mu+,0.0085838,0.0158134,500,0.0179929,99968.7,3.86579,4.8368,100074,6.19185
8,mu+,0.0236916,-0.064891,500,0.0690806,99975.6,8.29166,-26.525,100081,27.7908
9,mu+,0.0276009,0.0176835,500,0.0327799,99976.3,11.9797,6.67785,100082,13.7152
10,mu+,0.0129488,0.0190186,500,0.0230082,99939.8,6.61132,7.31486,100045,9.85986
11,mu+,0.0261305,0.00806225,500,0.027346,99975.6,9.74826,4.25668,100081,10.6371
12,mu+,0.0195021,0.0337642,500,0.0389917,99977.1,7.3415,13.3212,100083,15.2103
13,mu+,0.00909804,-0.0165149,500,0.0188552,99979.7,4.27091,-7.03494,100085,8.22989
14,mu+,-0.0499042,-0.0456978,500,0.0676662,99976.5,-19.9527,-19.2009,100082,27.6908
15,mu+,0.0233253,-0.0412441,500,0.047383,99972.5,7.83642,-14.0313,100078,16.0713
16,mu+,0.025289,0.0450123,500,0.0516299,99975.8,11.0381,17.9795,100081,21.0974
17,mu+,-0.0483689,0.0125063,500,0.0499596,99977.5,-18.9526,3.5332,100083,19.2791
18,mu+,-0.0505234,0.0492379,500,0.0705478,99976.8,-20.1751,19.5482,100082,28.0921
19,mu+,0.0157434,-0.00331339,500,0.0160883,99978.4,4.65356,-1.52944,100084,4.89845
20,mu+,-0.0506077,-0.0260342,500,0.0569115,99976,-20.8384,-10.7278,100082,23.4377
21,mu+,0.0232722,-0.0261243,500,0.0349868,99968.7,10.0071,-11.3229,100074,15.1112
22,mu+,-0.017646,-0.0282759,500,0.0333303,99975,-6.59413,-11.1048,100081,12.915
23,mu+,0.00245446,0.0423218,500,0.0423929,99958.5,1.27388,15.9183,100064,15.9692
24,mu+,-0.0711047,-0.0420101,500,0.0825877,99966.7,-29.6255,-16.7037,100072,34.0101
25,mu+,0.073073,-0.0783495,500,0.107137,99875.6,28.6157,-30.6566,99981.2,41.9367
26,mu+,0.00128535,-0.0164948,500,0.0165448,99975.5,1.21237,-5.76695,100081,5.89301
27,mu+,0.00825934,-0.0269692,500,0.0282056,99970.5,4.35224,-13.8626,100076,14.5298
28,mu+,-0.0352524,0.0168985,500,0.0390934,99973.4,-13.0012,6.24387,100079,14.4228
29,mu+,0.0231003,-0.0117981,500,0.0259387,99969.4,9.56129,-4.38245,100075,10.5178
30,mu+,0.0479526,0.00325436,488.983,0.0480629,99976.2,19.1688,0.30586,100082,19.1712
30,mu+,0.0480497,0.00325591,489.489,0.0481599,99976.2,19.2185,0.320266,100082,19.2212
30,mu+,0.0498985,0.00328636,499.111,0.0500066,99976.2,19.2177,0.338097,100082,19.2206
30,mu+,0.0500692,0.00328937,500,0.0501772,99976.2,19.2145,0.33306,100082,19.2174
30,e-,0.0719957,-0.0107708,499.112,0.0727969,0,0,-0,0,0
30,e-,0.0719957,-0.0107708,499.112,0.0727969,0,0,-0,0,0
30,e-,-0.0522783,-0.0257881,489.495,0.0582928,0,-0,-0,0,0
30,e-,-0.0522783,-0.0257881,489.495,0.0582928,0,-0,-0,0,0
30,e-,0.0719806,-0.038824,488.985,0.0817833,0,0,-0,0,0
30,e-,0.0719806,-0.038824,488.985,0.0817833,0,0,-0,0,0
31,mu+,-0.00479685,0.0279504,500,0.028359,99977.9,-2.34844,12.1962,100084,12.4203
32,mu+,0.0315375,0.0193454,500,0.0369981,99970.4,13.2269,7.15681,100076,15.039
33,mu+,-0.0234606,0.026801,500,0.0356188,99928.4,-9.38431,10.0462,100034,13.7474
34,mu+,-0.0640583,0.037966,500,0.074464,99977.9,-26.8168,14.8329,100084,30.6456
35,mu+,-0.0150511,-0.0190608,500,0.0242868,99967.4,-6.66278,-7.23899,100073,9.83847
36,mu+,-0.0433548,0.0126567,500,0.0451645,99958.5,-16.7206,4.93505,100064,17.4337
37,mu+,0.0550301,-0.0166224,500,0.0574858,99968.4,20.38,-7.20242,100074,21.6152
38,mu+,0.0404795,0.0254914,493.91,0.0478372,99964.5,15.2673,11.4031,100070,19.0557
38,mu+,0.0414086,0.0261854,500,0.0489934,99964.5,15.2667,11.4059,100070,19.0569
38,e-,0.0441844,0.12001,493.914,0.127885,0,0,0,0,0
38,e-,0.0441844,0.12001,493.914,0.127885,0,0,0,0,0
39,mu+,0.0385427,-0.0129876,500,0.0406721,99977.5,15.0805,-5.96644,100083,16.2179
40,mu+,-0.000689898,0.0339083,486.783,0.0339153,99977.2,-1.04639,12.245,100083,12.2897
40,mu+,-0.000828084,0.0355254,500,0.035535,99977.2,-1.1037,12.3179,100083,12.3673
40,e-,-0.063318,0.0248168,486.786,0.0680077,0,-0,-0,0,0
40,e-,-0.063318,0.0248168,486.786,0.0680077,0,-0,-0,0,0
41,mu+,0.0177492,0.0235849,500,0.0295175,99974.3,9.23535,9.62015,100080,13.3356
42,mu+,-0.0358871,-0.0427867,500,0.0558443,99908.8,-15.3158,-17.4699,100014,23.233
43,mu+,-0.00970017,-0.0373391,500,0.0385785,99969.2,-3.46403,-14.1577,100075,14.5754
44,mu+,0.0291379,0.00973694,500,0.0307217,99964.3,11.1957,3.39138,100070,11.6981
45,mu+,0.0465365,-0.030829,500,0.0558218,99972,20.0621,-11.9435,100078,23.3482
46,mu+,0.00192188,-0.0210972,487.781,0.0211845,99975.7,1.85514,-8.78092,100081,8.97475
46,mu+,0.0020225,-0.0215734,493.209,0.021668,99975.7,1.88188,-8.84851,100081,9.04642
46,mu+,0.00215019,-0.0221738,500,0.0222778,99975.7,1.81996,-8.82198,100081,9.00775
46,e-,-0.12456,0.298353,493.234,0.32331,0,-0,0,0,0
46,e-,-0.12456,0.298353,493.234,0.32331,0,-0,0,0,0
46,e-,0.175688,0.138744,487.796,0.223866,0,0,0,0,0
46,e-,0.175688,0.138744,487.796,0.223866,0,0,0,0,0
47,mu+,-0.0479193,-0.0439352,500,0.065012,99973.7,-18.5801,-17.4397,100079,25.4827
48,mu+,-0.0411131,0.0193334,500,0.045432,99933.7,-17.1784,7.69318,100039,18.8224
49,mu+,0.0277477,0.0137016,500,0.0309462,99976.2,11.3408,5.16226,100082,12.4604
50,mu+,0.0447247,-0.0684713,500,0.081784,99972.1,17.1744,-26.8157,100078,31.844
51,mu+,-0.0307744,0.00994758,500,0.0323422,99974.9,-12.6618,4.35863,100080,13.391
52,mu+,0.041428,-0.0386494,500,0.0566574,99965.9,16.935,-15.015,100071,22.6329
53,mu+,0.024306,-0.00224352,500,0.0244094,99971.4,7.79154,-3.13594,100077,8.39894
54,mu+,0.0211209,-0.00237539,500,0.0212541,99973.9,7.44586,-3.21785,100080,8.11143
