EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu-,0.0174697,-0.067382,500,0.0696098,99932.2,6.07879,-25.4294,100038,26.1458
1,mu-,-0.0420928,-0.00674825,500,0.0426303,99977.6,-15.9569,-1.85348,100083,16.0642
2,gamma,-1.33947,-2.24976,500,2.61832,0.771811,-0.00498473,-0.0079331,0.771754,0.00936919
2,mu-,-0.0235252,-0.0199505,500,0.0308457,99764.2,-8.90473,-8.62916,99869.8,12.3999
3,mu-,0.0417171,-0.0234921,483.671,0.0478768,99977.7,17.9738,-10.2586,100083,20.6953
3,mu-,0.0446496,-0.0251659,500,0.0512534,99977.7,17.9482,-10.2302,100083,20.659
3,e-,0.175914,-0.0328889,483.678,0.178962,0,0,-0,0,0
3,e-,0.175914,-0.0328889,483.678,0.178962,0,0,-0,0,0
4,mu-,0.0126618,-0.0335635,500,0.0358724,99979.6,4.76289,-12.9425,100085,13.7911
5,mu-,0.0541545,-0.0457309,500,0.0708804,99977.5,20.9413,-17.4332,100083,27.248
6,mu-,0.0221572,0.0604402,500,0.0643735,99978.6,7.98065,24.2197,100084,25.5007
7,mu-,0.0085838,0.0158134,500,0.0179929,99968.8,3.86579,4.8368,100074,6.19185
8,mu-,0.0236917,-0.064891,500,0.0690806,99975.6,8.29167,-26.525,100081,27.7908
9,mu-,0.0276009,0.0176835,500,0.0327799,99976.3,11.9797,6.67784,100082,13.7152
10,mu-,0.0129488,0.0190186,500,0.0230082,99939.8,6.61132,7.31486,100045,9.85986
11,mu-,0.0261305,0.00806227,500,0.027346,99975.6,9.74826,4.25669,100081,10.6371
12,mu-,0.0195021,0.0337642,500,0.0389917,99977.1,7.34151,13.3212,100083,15.2103
13,mu-,0.00909804,-0.0165149,500,0.0188552,99979.8,4.27091,-7.03494,100085,8.22989
14,mu-,-0.0499041,-0.0456978,500,0.0676662,99976.6,-19.9527,-19.2009,100082,27.6908
15,mu-,0.0233253,-0.0412441,500,0.047383,99972.6,7.83643,-14.0313,100078,16.0713
16,mu-,0.025289,0.0450123,500,0.0516298,99975.9,11.0381,17.9795,100081,21.0974
17,mu-,-0.0483689,0.0125063,500,0.0499596,99977.6,-18.9526,3.5332,100083,19.2791
18,mu-,-0.0505234,0.0492379,500,0.0705478,99976.9,-20.1751,19.5482,100082,28.0921
19,mu-,0.0157434,-0.00331339,500,0.0160883,99978.5,4.65357,-1.52943,100084,4.89845
20,mu-,-0.0506077,-0.0260342,500,0.0569115,99976.1,-20.8384,-10.7279,100082,23.4377
21,mu-,0.0232722,-0.0261243,500,0.0349868,99968.8,10.0071,-11.3229,100074,15.1113
22,mu-,-0.017646,-0.0282759,500,0.0333303,99975.1,-6.59414,-11.1048,100081,12.915
