EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,gamma,-0.418203,-2.12172,500,500.005,10.5822,-0.013455,-0.0647371,10.582,10.5822
0,gamma,0.328011,-3.36692,500,500.011,9.80597,0.015412,-0.108287,9.80536,9.80597
0,gamma,-3.10473,-3.6516,500,500.023,78.6451,-0.960198,-0.957424,78.6334,78.6451
0,gamma,-1.16488,-4.43761,500,500.021,266.786,-1.15301,-4.10778,266.752,266.786
0,gamma,-2.51084,-3.63807,500,500.02,71.2004,-0.701922,-0.855897,71.1918,71.2004
0,e-,-0.913921,-3.28062,500,500.012,475.655,-1.67737,-4.95571,476.137,476.166
1,gamma,-0.197895,0.7327,500,500.001,2.93964,-0.0072908,0.0022118,2.93963,2.93964
1,gamma,0.00761481,0.632223,500,500,13.2309,-0.0222022,0.00486479,13.2309,13.2309
1,gamma,0.718856,1.49362,500,500.003,9.11511,0.00993338,0.0339564,9.11504,9.11511
1,gamma,-0.172953,0.463593,500,500,1.12343,-0.00268415,-0.000330472,1.12343,1.12343
1,gamma,-0.271129,1.62824,500,500.003,30.348,-0.0841417,0.129046,30.3476,30.348
1,gamma,-0.700594,-0.524313,500,500.001,52.0079,-0.232372,-0.219808,52.007,52.0079
1,gamma,1.17819,-3.15714,500,500.011,213.948,0.748885,-3.16538,213.923,213.948
1,gamma,-3.01925,1.46732,500,500.011,0.127027,-0.00173624,0.000468801,0.127015,0.127027
1,gamma,-4.2583,1.97167,500,500.022,539.211,-10.0522,3.0722,539.108,539.211
2,gamma,-0.200755,0.0256785,500,500,7.45088,-0.00182223,0.00129624,7.45088,7.45088
2,gamma,2.73453,-0.605773,500,500.008,11.2012,0.125089,-0.0252484,11.2005,11.2012
2,e-,2.59142,-1.5031,500,500.009,324.905,3.5696,-1.79196,325.391,325.416
2,gamma,2.93718,-2.72622,500,500.016,138.619,1.6601,-1.47179,138.601,138.619
2,gamma,5,3.47793,481.295,481.334,18.2305,0.396829,0.278209,18.224,18.2305
2,e+,4.66833,-1.53707,486.223,486.248,50.4082,1.18328,-0.401103,50.9013,50.9167
2,e+,4.98859,-1.64563,500,500.028,50.406,1.23637,-0.481576,50.8972,50.9145
2,e-,4.64308,-1.52622,486.225,486.25,0,-0,0,0,0
2,e-,4.64308,-1.52622,486.225,486.25,0,-0,0,0,0
3,gamma,1.4386,0.127447,500,500.002,973.316,6.13237,0.888061,973.296,973.316
4,gamma,-0.982,-0.935232,500,500.002,30.4448,-0.0908126,-0.108258,30.4445,30.4448
4,gamma,-2.3102,0.285422,500,500.005,1.58532,-0.0129158,0.00186027,1.58527,1.58532
4,e+,1.03289,4.0614,500,500.018,82.2282,0.227333,1.39118,82.7256,82.7376
4,gamma,-0.315123,2.38575,500,500.006,146.631,-0.0377936,1.38072,146.624,146.631
4,e-,-2.53057,0.107404,500,500.006,653.578,-6.83211,0.0852975,654.053,654.088
5,gamma,0.479389,0.380684,500,500,5.68611,0.015431,0.00261815,5.68609,5.68611
5,gamma,-0.549437,1.35597,500,500.002,5.594,-0.00735444,0.023814,5.59395,5.594
5,gamma,1.8366,5,491.532,491.561,4.58561,0.0398825,0.0889082,4.58458,4.58561
6,gamma,3.44255,3.50625,500,500.024,10.5442,0.142999,0.149582,10.5422,10.5442
7,gamma,-0.0927634,0.721424,500,500.001,2.90252,0.00131869,0.0085287,2.90251,2.90252
7,gamma,0.373598,0.685963,500,500.001,42.376,0.0954547,0.118723,42.3758,42.376
7,gamma,-1.35575,1.11007,500,500.003,195.348,-0.867606,0.86741,195.345,195.348
7,gamma,-2.30945,-4.25048,500,500.023,6.04906,-0.0497172,-0.0999029,6.04803,6.04906
7,gamma,-4.3157,-4.73351,500,500.041,485.012,-7.90162,-8.9602,484.865,485.012
8,gamma,1.54149,-0.734276,500,500.003,96.8104,0.620922,-0.0492647,96.8084,96.8104
8,gamma,0.451376,0.744041,500,500.001,382.262,0.794794,2.05217,382.256,382.262
8,gamma,-0.98019,0.581822,500,500.001,12.0494,-0.0438777,0.0568946,12.0492,12.0494
8,gamma,0.315211,-2.52541,500,500.006,1.1913,0.001941,-0.00921953,1.19126,1.1913
9,gamma,-0.194103,-4.80999,500,500.023,154.283,-0.171538,-2.9468,154.254,154.283
9,gamma,1.43438,-3.76803,500,500.016,79.8505,0.429948,-1.19296,79.8405,79.8505
9,gamma,1.09701,-4.8324,500,500.025,70.7035,0.285335,-1.35708,70.6899,70.7035
9,gamma,0.537125,-4.95776,500,500.025,0.233415,0.000415402,-0.00459835,0.233369,0.233415
9,gamma,1.09521,-5,497.371,497.397,6.69304,0.0272014,-0.134387,6.69164,6.69304
9,gamma,2.5421,-3.51475,500,500.019,10.3366,0.102174,-0.143244,10.3351,10.3366
9,gamma,3.47221,-1.95927,500,500.016,1.83809,0.0251162,-0.0138249,1.83787,1.83809
9,gamma,4.24207,-2.48032,500,500.024,2.50264,0.0420589,-0.0241287,2.50217,2.50264
9,gamma,4.4913,-4.51381,500,500.041,245.316,4.38478,-4.41079,245.237,245.316
9,gamma,5,-1.76656,492.645,492.674,79.7974,1.64322,-0.543969,79.7787,79.7974
10,gamma,-3.64915,-4.15094,500,500.031,0.375239,-0.0052258,-0.00662874,0.375144,0.375239
10,gamma,-4.94038,-2.59438,500,500.031,61.5874,-1.18864,-0.690559,61.572,61.5874
10,gamma,-0.213765,1.73775,500,500.003,8.75598,0.00263991,0.0585393,8.75578,8.75598
10,e-,0.822928,3.69076,500,500.014,744.392,3.25237,11.0899,744.814,744.903
11,gamma,-2.08854,-0.390519,500,500.005,6.43046,-0.0647042,0.000336263,6.43013,6.43046
11,gamma,1.93971,-3.53132,500,500.016,33.9545,0.216577,-0.444196,33.9509,33.9545
11,gamma,1.84653,-2.91097,500,500.012,1.96373,0.0118405,-0.0209327,1.96358,1.96373
11,gamma,1.16911,-3.16434,500,500.011,1.59315,0.00535932,-0.0185691,1.59303,1.59315
11,gamma,1.27392,-3.33138,500,500.013,2.0559,0.00779304,-0.0253652,2.05573,2.0559
11,gamma,0.301326,-2.85904,500,500.008,1.85673,-0.000170125,-0.0194089,1.85662,1.85673
11,gamma,-1.10806,-0.122924,500,500.001,65.7861,-0.378191,0.0327274,65.785,65.7861
11,gamma,-0.40841,-2.59148,500,500.007,1.24862,-0.00365821,-0.0118653,1.24856,1.24862
11,gamma,0.376774,-2.68304,500,500.007,12.9617,0.0036356,-0.128021,12.961,12.9617
11,gamma,0.0711156,-3.31618,500,500.011,1.78032,-0.00172651,-0.0222453,1.78018,1.78032
11,e-,0.923922,-4.76739,500,500.024,526.274,1.56974,-9.69203,526.693,526.784
12,gamma,-1.06569,-0.574492,500,500.001,1.30356,-0.00553988,-0.0020642,1.30355,1.30356
12,gamma,-0.423165,0.108719,500,500,106.27,-0.184936,0.11532,106.27,106.27
12,gamma,-1.37261,-0.995102,500,500.003,0.783697,-0.00428462,-0.00253962,0.783682,0.783697
12,gamma,-0.945861,-0.440397,500,500.001,5.23548,-0.0198401,-0.00554722,5.23544,5.23548
12,gamma,-0.144842,-0.901481,500,500.001,9.2414,-0.00556019,-0.0261813,9.24136,9.2414
12,gamma,0.237571,-1.63558,500,500.003,449.438,0.416657,-2.59296,449.431,449.438
12,gamma,0.310868,-1.88825,500,500.004,5.18103,0.00632106,-0.035131,5.1809,5.18103
12,gamma,0.0520935,-1.84842,500,500.003,1.02604,0.000169192,-0.00679026,1.02602,1.02604
