EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,-0.135657,-0.1215,500,500,9979,-6.31167,-4.54508,10084.1,10084.1
1,mu+,-0.321192,0.15964,500,500,9977.82,-12.5055,5.69059,10082.9,10082.9
2,mu+,0.386331,0.450563,500,500,9978.38,15.6923,19.951,10083.5,10083.5
3,mu+,-0.274883,0.402425,500,500,9914.54,-11.782,15.436,10019.6,10019.6
4,mu+,0.21771,0.212597,500,500,9973.21,8.02994,8.30339,10078.3,10078.3
5,mu+,0.305488,0.541512,496.165,496.166,9978.89,12.9592,22.54,10084,10084
5,mu+,0.310415,0.550083,500,500,9978.89,12.9615,22.5334,10084,10084
5,e-,0.372335,0.517596,496.169,496.169,0,0,-0,0,0
5,e-,0.372335,0.517596,496.169,496.169,0,0,-0,0,0
6,mu+,0.660615,-0.20403,500,500,9976.97,26.2011,-8.44683,10082,10082.1
7,mu+,0.569696,0.513541,500,500.001,9977.49,22.1932,20.5647,10082.5,10082.6
8,mu+,0.675078,0.639011,500,500.001,9979.64,26.1737,26.0949,10084.7,10084.7
9,mu+,0.584416,-0.277382,500,500,9976.35,24.1308,-11.5171,10081.4,10081.4
10,mu+,-0.236551,-0.00602814,500,500,9977.12,-10.304,-0.236737,10082.2,10082.2
11,mu+,0.24191,-0.0154565,500,500,9972.18,9.44549,-1.01393,10077.3,10077.3
12,mu+,0.284201,-0.609317,500,500,9975.28,12.0997,-24.6472,10080.3,10080.4
13,mu+,0.116359,0.138785,499.48,499.48,9977.7,4.46807,6.38939,10082.8,10082.8
13,mu+,0.116589,0.139115,500,500,9977.7,4.46807,6.38939,10082.8,10082.8
13,e-,0.120979,0.113248,499.481,499.481,0,0,-0,0,0
13,e-,0.120979,0.113248,499.481,499.481,0,0,-0,0,0
14,mu+,0.313929,0.23697,500,500,9974.77,12.283,9.41496,10079.9,10079.9
15,mu+,0.29882,-0.233598,500,500,9979.07,12.2935,-9.32111,10084.2,10084.2
16,mu+,-0.456252,0.00769479,495.625,495.625,9976.76,-17.6433,0.640271,10081.8,10081.9
16,mu+,-0.463908,0.00797262,500,500,9976.76,-17.6181,0.607262,10081.8,10081.9
16,e-,-0.462896,-0.018686,495.626,495.626,0,-0,-0,0,0
16,e-,-0.462896,-0.018686,495.626,495.626,0,-0,-0,0,0
17,mu+,-0.497783,0.283184,500,500,9977.74,-19.4384,12.1979,10082.8,10082.8
18,mu+,0.168967,0.0468208,500,500,9974.07,7.25929,1.1583,10079.2,10079.2
19,mu+,0.230866,-0.541419,500,500,9965.07,10.5291,-20.4454,10070.1,10070.2
20,mu+,0.422885,-0.203503,500,500,9874.43,16.7405,-7.72396,9979.51,9979.53
21,mu+,-0.260255,0.355183,481.677,481.678,9978.87,-10.4197,15.3113,10084,10084
21,mu+,-0.279188,0.383003,500,500,9978.87,-10.4349,15.3247,10084,10084
21,e-,-0.288139,0.348055,481.678,481.679,0,-0,-0,0,0
21,e-,-0.288139,0.348055,481.678,481.679,0,-0,-0,0,0
22,mu+,0.506186,0.0740658,500,500,9979.07,21.3407,3.48758,10084.1,10084.2
23,mu+,0.150429,0.157856,500,500,9958.93,6.30455,6.92055,10064,10064
24,mu+,0.156911,0.26971,500,500,9979.78,5.60293,9.20097,10084.9,10084.9
25,mu+,-0.286305,0.0436954,500,500,9977.81,-11.8824,0.339479,10082.9,10082.9
26,mu+,-0.929679,-0.39173,500,500.001,9967.16,-37.9232,-15.9013,10072.2,10072.3
27,mu+,-0.040061,0.0387093,500,500,9972.88,-0.990586,-0.402222,10078,10078
28,mu+,-0.0106915,-0.336468,496.773,496.773,9976.83,-0.846612,-14.3063,10081.9,10081.9
28,mu+,-0.0108235,-0.338699,498.345,498.345,9976.83,-0.904551,-14.2838,10081.9,10081.9
28,mu+,-0.010972,-0.341044,500,500,9976.83,-0.917833,-14.2592,10081.9,10081.9
28,e-,0.172942,-0.409984,498.357,498.357,0,0,-0,0,0
28,e-,0.172942,-0.409984,498.357,498.357,0,0,-0,0,0
28,e-,-0.0242754,-0.314538,496.774,496.774,0,-0,0,0,0
28,e-,-0.0242754,-0.314538,496.774,496.774,0,-0,0,0,0
29,mu+,0.271017,0.421529,495.545,495.545,9961.59,11.2978,17.7467,10066.7,10066.7
29,mu+,0.276017,0.429382,500,500,9961.59,11.2906,17.7541,10066.7,10066.7
29,e-,0.28207,0.445334,495.546,495.546,0,0,0,0,0
29,e-,0.28207,0.445334,495.546,495.546,0,0,0,0,0
30,mu+,-0.308979,0.420986,500,500,9974.95,-14.776,20.265,10080,10080.1
31,mu+,-0.263317,0.253149,500,500,9976.68,-10.5954,10.8718,10081.8,10081.8
32,mu+,-0.240453,0.583139,500,500,9966.61,-8.29429,24.013,10071.7,10071.7
