EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu-,0.0174697,-0.067382,500,500,99932.2,6.07879,-25.4294,100038,100038
1,mu-,-0.0420928,-0.00674825,500,500,99977.6,-15.9569,-1.85348,100083,100083
2,gamma,-1.33947,-2.24976,500,500.007,0.771811,-0.00498473,-0.0079331,0.771754,0.771811
2,mu-,-0.0235252,-0.0199505,500,500,99764.2,-8.90473,-8.62916,99869.8,99869.8
3,mu-,0.0417171,-0.0234921,483.671,483.671,99977.7,17.9738,-10.2586,100083,100083
3,mu-,0.0446496,-0.0251659,500,500,99977.7,17.9482,-10.2302,100083,100083
3,e-,0.175914,-0.0328889,483.678,483.678,0,0,-0,0,0
3,e-,0.175914,-0.0328889,483.678,483.678,0,0,-0,0,0
4,mu-,0.0126618,-0.0335635,500,500,99979.6,4.76289,-12.9425,100085,100085
5,mu-,0.0541545,-0.0457309,500,500,99977.5,20.9413,-17.4332,100083,100083
6,mu-,0.0221572,0.0604402,500,500,99978.6,7.98065,24.2197,100084,100084
7,mu-,0.0085838,0.0158134,500,500,99968.8,3.86579,4.8368,100074,100074
8,mu-,0.0236917,-0.064891,500,500,99975.6,8.29167,-26.525,100081,100081
9,mu-,0.0276009,0.0176835,500,500,99976.3,11.9797,6.67784,100082,100082
10,mu-,0.0129488,0.0190186,500,500,99939.8,6.61132,7.31486,100045,100045
11,mu-,0.0261305,0.00806227,500,500,99975.6,9.74826,4.25669,100081,100081
12,mu-,0.0195021,0.0337642,500,500,99977.1,7.34151,13.3212,100083,100083
13,mu-,0.00909804,-0.0165149,500,500,99979.8,4.27091,-7.03494,100085,100085
14,mu-,-0.0499041,-0.0456978,500,500,99976.6,-19.9527,-19.2009,100082,100082
15,mu-,0.0233253,-0.0412441,500,500,99972.6,7.83643,-14.0313,100078,100078
16,mu-,0.025289,0.0450123,500,500,99975.9,11.0381,17.9795,100081,100081
17,mu-,-0.0483689,0.0125063,500,500,99977.6,-18.9526,3.5332,100083,100083
18,mu-,-0.0505234,0.0492379,500,500,99976.9,-20.1751,19.5482,100082,100082
19,mu-,0.0157434,-0.00331339,500,500,99978.5,4.65357,-1.52943,100084,100084
20,mu-,-0.0506077,-0.0260342,500,500,99976.1,-20.8384,-10.7279,100082,100082
21,mu-,0.0232722,-0.0261243,500,500,99968.8,10.0071,-11.3229,100074,100074
22,mu-,-0.017646,-0.0282759,500,500,99975.1,-6.59414,-11.1048,100081,100081
23,mu-,0.00245447,0.0423217,500,500,99958.6,1.27389,15.9183,100064,100064
24,mu-,-0.0711046,-0.0420102,500,500,99966.7,-29.6255,-16.7038,100072,100072
25,mu-,0.073073,-0.0783495,500,500,99875.7,28.6157,-30.6567,99981.3,99981.3
26,mu-,0.00128534,-0.0164948,500,500,99975.6,1.21236,-5.76695,100081,100081
27,mu-,0.00825935,-0.0269692,500,500,99970.5,4.35225,-13.8626,100076,100076
28,mu-,-0.0352524,0.0168985,500,500,99973.4,-13.0012,6.24387,100079,100079
29,mu-,0.0231003,-0.0117981,500,500,99969.5,9.5613,-4.38245,100075,100075
30,mu-,0.0479526,0.00325437,488.983,488.983,99976.3,19.1688,0.305861,100082,100082
30,mu-,0.0480497,0.00325592,489.489,489.489,99976.3,19.2185,0.320268,100082,100082
30,mu-,0.0498984,0.00328636,499.111,499.111,99976.3,19.2177,0.338099,100082,100082
30,mu-,0.0500692,0.00328937,500,500,99976.3,19.2145,0.333061,100082,100082
30,e-,0.0719956,-0.0107708,499.112,499.112,0,0,-0,0,0
30,e-,0.0719956,-0.0107708,499.112,499.112,0,0,-0,0,0
30,e-,-0.0522783,-0.0257881,489.495,489.495,0,-0,-0,0,0
30,e-,-0.0522783,-0.0257881,489.495,489.495,0,-0,-0,0,0
30,e-,0.0719806,-0.038824,488.985,488.985,0,0,-0,0,0
30,e-,0.0719806,-0.038824,488.985,488.985,0,0,-0,0,0
31,mu-,-0.00479686,0.0279504,500,500,99978,-2.34845,12.1962,100084,100084
32,mu-,0.0315375,0.0193454,500,500,99970.5,13.2269,7.15681,100076,100076
33,mu-,-0.0234606,0.026801,500,500,99928.5,-9.38432,10.0462,100034,100034
34,mu-,-0.0640582,0.0379661,500,500,99978,-26.8168,14.8329,100084,100084
35,mu-,-0.0150511,-0.0190608,500,500,99967.4,-6.66277,-7.239,100073,100073
36,mu-,-0.0433548,0.0126567,500,500,99958.6,-16.7206,4.93506,100064,100064
37,mu-,0.0550301,-0.0166224,500,500,99968.5,20.38,-7.20242,100074,100074
38,mu-,0.0404795,0.0254914,493.91,493.91,99964.6,15.2673,11.4031,100070,100070
38,mu-,0.0414086,0.0261854,500,500,99964.6,15.2667,11.4059,100070,100070
38,e-,0.0441844,0.12001,493.914,493.914,0,0,0,0,0
38,e-,0.0441844,0.12001,493.914,493.914,0,0,0,0,0
39,mu-,0.0385427,-0.0129876,500,500,99977.5,15.0805,-5.96644,100083,100083
40,mu-,-0.0179967,0.0609365,500,500,99977.9,-8.82909,22.5449,100084,100084
41,mu-,-0.0231265,-0.0204117,500,500,99976.1,-10.1397,-7.65242,100082,100082
42,mu-,0.0307573,-0.0797581,500,500,99975,11.375,-32.3665,100081,100081
43,mu-,0.0318342,-0.0198442,500,500,99971.1,14.0849,-8.59208,100077,100077
44,mu-,-0.0371396,0.022628,500,500,99959.3,-15.4799,8.52897,100065,100065
45,mu-,-0.0142906,-0.0188722,500,500,99976.4,-4.03825,-10.3247,100082,100082
46,mu-,-0.0704411,-0.0566743,500,500,99969.3,-27.6637,-23.4815,100075,100075
47,mu-,-0.053091,-0.00855878,500,500,99977.7,-21.9934,-2.90819,100083,100083
48,mu-,-0.00790257,0.0131051,500,500,99825.7,-1.67037,4.9487,99931.3,99931.3
49,mu-,0.0615781,-0.0411656,497.445,497.445,99969.7,24.5176,-16.8332,100075,100075
49,mu-,0.062204,-0.0415953,500,500,99969.7,24.5273,-16.8362,100075,100075
49,e-,0.0462124,-0.0605738,497.446,497.446,0,-0,-0,0,0
49,e-,0.0462124,-0.0605738,497.446,497.446,0,-0,-0,0,0
50,mu-,-0.0286766,-0.0268043,500,500,99975.6,-12.1204,-9.83517,100081,100081
51,mu-,0.0311263,-0.00953811,486.143,486.143,99979,12.257,-3.88155,100085,100085
51,mu-,0.031947,-0.00980066,492.842,492.842,99979,12.2221,-3.85922,100085,100085
51,mu-,0.0328211,-0.0100767,500,500,99979,12.274,-3.86941,100085,100085
51,e-,0.105349,-0.208931,492.856,492.856,0.00237549,-0.00472567,-0.0240202,0.0428262,0.0493294
51,e-,0.0969224,-0.251762,492.932,492.932,0,-0,-0,0,0
51,e-,0.0969224,-0.251762,492.932,492.932,0,-0,-0,0,0
51,e-,0.0970243,-0.22752,492.845,492.845,0,-0,-0,-0,0
51,e-,0.0970243,-0.22752,492.845,492.845,0,-0,-0,-0,0
51,e-,0.000518115,-0.0576546,486.145,486.145,0,-0,-0,0,0
51,e-,0.000518115,-0.0576546,486.145,486.145,0,-0,-0,0,0
52,mu-,0.0776761,-0.0206567,500,500,99974.4,30.7398,-8.2521,100080,100080
53,mu-,-0.00819211,-0.0605158,500,500,99976.5,-2.86594,-21.2821,100082,100082
54,mu-,-0.00857303,-0.0108554,500,500,99969.3,-3.43499,-2.96429,100075,100075
55,mu-,-0.0368581,-0.0378024,500,500,99974.5,-13.9005,-16.2875,100080,100080
56,mu-,-0.00489349,-0.0155906,500,500,99976.8,-2.69223,-7.10154,100082,100082
57,mu-,-0.0189247,0.0389793,495.225,495.225,99977.7,-7.19462,16.2269,100083,100083
57,mu-,-0.0192679,0.0397535,500,500,99977.7,-7.17556,16.2145,100083,100083
57,e-,-0.00191216,-0.0838189,495.231,495.231,0,0,-0,0,0
57,e-,-0.00191216,-0.0838189,495.231,495.231,0,0,-0,0,0
58,mu-,-0.0214587,0.0382918,500,500,99976.9,-7.5742,13.9044,100082,100082
59,mu-,0.0211256,-0.0285686,500,500,99977,8.5829,-11.1131,100083,100083
60,mu-,-0.0545625,-0.0252614,500,500,99957.1,-22.1317,-10.1312,100063,100063
61,mu-,-0.0730149,0.0434094,500,500,99977.1,-29.6574,16.5933,100083,100083
62,mu-,0.0195802,-0.00630637,494.886,494.886,99976.7,8.55167,-2.52468,100082,100082
62,mu-,0.0200172,-0.00643537,500,500,99976.7,8.55883,-2.53166,100082,100082
62,e-,0.01518,-1.1789,495.006,495.008,0.00637244,0.0148414,-0.0446164,-0.0658965,0.080952
62,e-,0.105849,-1.45147,494.604,494.606,0.00127635,-0.00133873,0.0220419,-0.0286079,0.0361393
62,e-,0.104686,-1.43232,494.579,494.581,0,-0,0,-0,0
62,e-,0.104686,-1.43232,494.579,494.581,0,-0,0,-0,0
62,e-,0.0876334,-1.47011,494.59,494.592,0,-0,-0,-0,0
62,e-,0.0876334,-1.47011,494.59,494.592,0,-0,-0,-0,0
63,mu-,-0.018209,-0.00274061,500,500,99971,-7.08432,-1.05363,100077,100077
64,mu-,-0.0327604,-0.032273,500,500,99976.1,-15.7549,-13.0229,100082,100082
65,mu-,-0.0412249,-0.0490694,500,500,99972.3,-16.2551,-20.2076,100078,100078
66,mu-,0.0704366,0.100571,481.621,481.621,99975.5,31.0916,43.0777,100081,100081
66,mu-,0.0761464,0.108482,500,500,99975.5,31.0623,43.0747,100081,100081
66,e-,-0.0715983,0.218973,481.632,481.632,0,-0,0,0,0
66,e-,-0.0715983,0.218973,481.632,481.632,0,-0,0,0,0
67,mu-,0.0327166,-0.0213694,500,500,99960.7,12.5465,-8.47289,100066,100066
68,mu-,0.00596478,0.072428,500,500,99976.8,2.09737,28.8057,100082,100082
69,mu-,0.0241045,0.00292696,500,500,99974.9,9.5996,0.772662,100081,100081
70,mu-,0.0294486,0.0160885,480.46,480.46,99964.3,11.6268,7.6746,100070,100070
70,mu-,0.0317189,0.017587,500,500,99964.3,11.6102,7.70101,100070,100070
70,e-,0.0715966,-0.0489654,480.464,480.464,0,0,-0,0,0
70,e-,0.0715966,-0.0489654,480.464,480.464,0,0,-0,0,0
71,mu-,0.0447811,3.38553e-07,481.414,481.414,99974.7,18.7408,0.105266,100080,100080
71,mu-,0.0482615,1.98878e-05,500,500,99974.7,18.624,0.0275257,100080,100080
71,e-,0.0439434,-0.0237599,481.415,481.415,0,-0,-0,0,0
71,e-,0.0439434,-0.0237599,481.415,481.415,0,-0,-0,0,0
72,mu-,-0.0116236,0.0532216,500,500,99972.6,-3.36413,21.3962,100078,100078
73,mu-,0.0955219,-0.0340649,500,500,99977.9,37.7719,-13.2986,100084,100084
74,mu-,-0.0285952,-0.00475518,500,500,99977,-12.6841,-1.21655,100083,100083
75,mu-,-0.0396718,0.0527654,480.972,480.972,99970.7,-17.7744,22.1238,100076,100076
75,mu-,-0.0430512,0.0569718,500,500,99970.7,-17.8057,22.1833,100076,100076
75,e-,-0.137691,0.0998215,480.978,480.978,0,-0,0,0,0
75,e-,-0.137691,0.0998215,480.978,480.978,0,-0,0,0,0
76,gamma,0.448671,1.01088,500,500.001,1.63699,0.00289529,0.00651202,1.63698,1.63699
76,gamma,-1.48874,-2.34507,500,500.008,131.958,-0.772939,-1.2181,131.95,131.958
76,mu-,-0.0426482,0.0475353,500,500,99661.4,-16.7233,19.3713,99767,99767
77,mu-,0.00136824,0.0357675,500,500,99979.2,0.668887,14.8031,100085,100085
78,mu-,0.0342529,0.0500125,500,500,99978.7,14.9279,20.6547,100084,100084
79,mu-,0.101599,0.0346873,500,500,99978.1,40.1986,14.7493,100084,100084
80,mu-,-0.0318153,0.0481809,489.901,489.901,99972.4,-13.7073,19.8791,100078,100078
