EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,proton,-2.46332,-0.414106,500,500.006,973.78,-18.8923,-3.18354,1665.9,1666.01
1,proton,-0.586344,2.5536,500,500.007,973.9,-4.22166,16.099,1666.06,1666.15
3,proton,0.25454,-1.28017,500,500.002,975.94,-0.959361,-11.5806,1668.45,1668.49
4,proton,0.723485,-2.41866,500,500.006,974.713,4.70745,-16.1207,1667,1667.08
5,proton,-1.74075,-0.0521459,500,500.003,974.441,-11.181,1.07655,1666.73,1666.77
6,proton,-3.12476,-0.753604,500,500.01,974.172,-20.1309,-3.99804,1666.33,1666.46
7,proton,-0.235969,0.680951,489.026,489.027,971.158,-2.20438,3.68819,1662.99,1663
7,proton,-0.250515,0.705289,500,500.001,971.156,-2.22251,3.70939,1662.99,1663
7,e-,-0.231312,0.657243,489.027,489.028,0,0,-0,0,0
7,e-,-0.231312,0.657243,489.027,489.028,0,0,-0,0,0
8,proton,1.26455,0.630895,500,500.002,971.357,7.86397,5.01428,1663.2,1663.23
9,proton,-1.19444,1.02403,500,500.002,976.817,-7.95144,9.58518,1669.45,1669.49
10,proton,-2.67451,1.3557,490.585,490.594,972.125,-18.9181,9.83889,1663.97,1664.11
10,proton,-2.77393,1.40747,499.346,499.355,972.123,-18.8841,9.83041,1663.97,1664.11
10,proton,-2.78135,1.41133,500,500.01,972.123,-18.8841,9.83041,1663.97,1664.11
10,e-,-2.74742,1.4143,499.347,499.356,0,0,0,0,0
10,e-,-2.74742,1.4143,499.347,499.356,0,0,0,0,0
10,e-,-2.73777,1.32539,490.588,490.598,0,-0,-0,0,0
10,e-,-2.73777,1.32539,490.588,490.598,0,-0,-0,0,0
11,proton,2.08135,-3.86764,500,500.019,972.335,13.5828,-23.9667,1664.12,1664.35
12,proton,-0.751238,-0.303756,500,500.001,975.958,-4.92068,-3.48189,1668.5,1668.51
13,proton,-4.13587,2.30317,500,500.022,977.805,-26.3903,14.4697,1670.36,1670.63
