EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,proton,0.673332,-0.574612,500,0.885186,9962.79,29.1388,-24.716,10860.5,38.2093
1,proton,0.104856,-0.465707,500,0.477365,9971.02,5.11014,-18.9218,10868.9,19.5996
2,proton,0.106678,0.62653,500,0.635547,9966.69,5.3053,27.2185,10864.5,27.7307
3,proton,0.612442,0.194034,500,0.642445,9974.56,26.3029,8.58255,10872.4,27.6677
4,proton,0.626525,-0.0933619,500,0.633443,9969.23,27.9613,-3.93717,10867,28.2371
5,proton,-0.253372,0.222718,500,0.337343,9978.13,-10.6744,9.15126,10876,14.0602
6,proton,0.293559,0.166679,500,0.337578,9977.28,11.1123,7.52477,10875.1,13.4204
7,proton,-0.332793,-0.176149,500,0.376536,9967.71,-14.3177,-8.98429,10865.5,16.9031
8,proton,0.16307,0.171694,500,0.236792,9968.29,6.22768,7.58187,10866.1,9.81166
9,proton,-0.353798,-0.468116,500,0.586775,9959.89,-15.1787,-20.5924,10857.7,25.582
10,proton,-0.493703,0.53798,500,0.730182,9979.03,-20.7903,23.6315,10876.9,31.4751
11,proton,-0.120703,-0.711299,500,0.721467,9974.67,-4.86582,-30.1422,10872.5,30.5324
12,proton,-0.115796,0.364495,500,0.382447,9976.51,-5.03068,16.387,10874.4,17.1418
13,proton,0.289304,-0.180156,500,0.340812,9977.17,12.2961,-8.2789,10875,14.8235
14,proton,-0.477853,0.598423,500,0.765802,9973.91,-19.7559,26.8486,10871.7,33.3338
15,proton,-0.536085,-0.285598,500,0.607416,9978.96,-22.8286,-11.768,10876.8,25.6833
16,proton,-0.124511,0.0844369,484.538,0.150441,9977.64,-6.10582,5.61145,10875.5,8.29273
16,proton,-0.133191,0.0924146,500,0.162112,9977.64,-6.09435,5.65086,10875.5,8.31103
16,e-,-0.0875061,0.0494464,484.541,0.10051,0,0,-0,0,0
16,e-,-0.0875061,0.0494464,484.541,0.10051,0,0,-0,0,0
17,proton,0.311889,-0.0788468,482.202,0.321701,9972.34,15.0661,-1.71289,10870.2,15.1632
17,proton,0.336557,-0.0816514,500,0.34632,9972.34,15.0625,-1.73174,10870.2,15.1618
17,e-,0.410303,-0.149053,482.208,0.436538,0,0,-0,0,0
17,e-,0.410303,-0.149053,482.208,0.436538,0,0,-0,0,0
18,proton,0.0779415,0.455308,500,0.461931,9966.36,3.60562,20.6752,10864.2,20.9872
19,proton,0.199572,0.117349,500,0.231516,9980.28,8.0152,5.03181,10878.2,9.46375
20,proton,-0.405299,0.104577,500,0.418573,9976.82,-18.3932,0.0144719,10874.7,18.3932
21,proton,-0.643361,0.00579479,500,0.643387,9958.15,-28.9883,0.086233,10855.9,28.9885
22,proton,0.440102,0.0643127,500,0.444777,9973.87,20.1306,3.11834,10871.7,20.3706
23,proton,0.26401,0.336956,500,0.428066,9980.12,12.0524,16.0144,10878,20.043
24,proton,-0.156662,0.217809,500,0.268298,9975.66,-7.09776,9.39089,10873.5,11.7714
25,proton,0.0870729,-0.451975,500,0.460286,9978.32,4.19671,-20.2707,10876.2,20.7005
26,proton,0.178861,-0.0122406,500,0.179279,9973.95,7.74438,-0.0855929,10871.8,7.74485
27,proton,-0.108907,-0.457918,500,0.470691,9976.4,-4.95505,-20.5091,10874.2,21.0992
28,proton,-0.768189,0.0462342,500,0.769579,9979.47,-31.2817,0.979809,10877.3,31.2971
29,proton,0.34412,0.147093,500,0.374239,9977.95,14.134,7.48601,10875.8,15.994
29,e-,0.688619,-0.300213,480.159,0.751215,0.0124965,0.0681768,-0.0447121,0.0792485,0.0815307
29,e-,0.795749,-0.42982,480.34,0.904413,0.0124076,0.0253627,-0.0832967,0.0724767,0.0870724
29,e-,0.842598,-0.670634,480.468,1.0769,0.0121853,0.021785,-0.0940635,0.0572648,0.0965532
29,e-,0.829441,-0.917505,480.626,1.23685,0.0118288,0.00626722,-0.100504,0.0457012,0.100699
29,e-,0.85074,-1.18504,480.851,1.45879,0.0109807,-0.000984271,-0.0876938,0.0604288,0.0876993
29,e-,0.864397,-1.45792,481.229,1.69491,0.00993063,-0.0135744,-0.0922182,0.0394872,0.0932119
29,e-,0.978701,-1.97693,481.814,2.20593,0.00725126,-0.00746975,-0.0773151,0.0378144,0.0776751
29,e-,0.971475,-2.05172,481.851,2.2701,0.00581718,-0.0186401,-0.0749871,-0.00291052,0.0772691
29,e-,0.872436,-2.45015,481.835,2.60084,0,0,0,0,0
29,e-,0.872436,-2.45015,481.835,2.60084,0,0,0,0,0
29,e-,0.988729,-2.05728,481.881,2.28254,0,0,-0,0,0
29,e-,0.988729,-2.05728,481.881,2.28254,0,0,-0,0,0
30,proton,0.656105,-0.0894935,500,0.66218,9972.87,29.3477,-4.81651,10870.7,29.7403
31,proton,-2.39333,1.27281,500,2.71073,9978.25,-107.526,57.7747,10875.4,122.065
32,proton,-0.224912,-0.0157051,500,0.22546,9973.72,-9.79533,0.558582,10871.6,9.81125
33,proton,0.236092,0.633595,500,0.676153,9978.84,10.6012,27.7247,10876.7,29.6824
34,proton,-0.293081,0.180489,500,0.344199,9975.59,-12.191,7.82682,10873.4,14.4872
35,proton,-0.15207,0.231407,500,0.276902,9952.29,-7.62494,9.64319,10850.1,12.2935
36,proton,0.337917,0.115709,500,0.357179,9975.32,14.6349,5.75818,10873.2,15.727
37,proton,0.143123,-0.0828987,500,0.165398,9979.51,5.64208,-2.92162,10877.4,6.35365
38,proton,-0.102345,0.144276,500,0.17689,9974.05,-4.45055,5.66304,10871.9,7.2026
39,proton,-0.491514,-0.0173151,500,0.491819,9976.53,-22.1186,-0.826742,10874.4,22.1341
40,proton,-0.204015,0.308107,495.345,0.36953,9980.09,-8.33115,14.2217,10878,16.4822
40,proton,-0.20758,0.314193,500,0.376573,9980.09,-8.3254,14.1953,10878,16.4566
40,e-,-0.208506,0.284635,495.346,0.352834,0,-0,-0,0,0
40,e-,-0.208506,0.284635,495.346,0.352834,0,-0,-0,0,0
41,proton,-0.317111,0.0818494,500,0.327504,9967.67,-13.2629,2.84326,10865.5,13.5642
42,proton,-0.137462,-0.390503,480.313,0.413991,9979.6,-6.38793,-18.4424,10877.5,19.5173
42,proton,-0.147885,-0.420612,498.091,0.445852,9979.6,-6.40953,-18.3766,10877.5,19.4623
42,proton,-0.14901,-0.423837,500,0.449268,9979.6,-6.41402,-18.3655,10877.5,19.4533
42,e-,-0.0961155,-0.450228,498.094,0.460373,0,0,-0,0,0
42,e-,-0.0961155,-0.450228,498.094,0.460373,0,0,-0,0,0
42,e-,-0.316427,-0.348578,480.339,0.470779,0.0107575,-0.0993733,0.0298675,0.0185138,0.103765
