EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
62,e-,-0.894277,-5.0,483.536,5.07934,0.038463,0.128576,-0.0128335,-0.155216,0.129215
65,mu+,-4.2699,-4.55117,500.0,6.24061,73.7243,-2.53583,-2.43507,144.921,3.51568
77,mu+,-3.63777,-1.61037,500.0,3.97828,73.3498,-1.47309,-1.19069,144.488,1.89413
78,mu+,0.90653,-2.21552,500.0,2.39381,69.4182,1.03179,-1.96994,139.582,2.22379
0,mu+,-0.135657,-0.1215,500.0,0.182113,9979.0,-6.31167,-4.54508,10084.1,7.77785
1,mu+,-0.321192,0.15964,500.0,0.358678,9977.82,-12.5055,5.69059,10082.9,13.7394
2,mu+,0.386331,0.450563,500.0,0.593514,9978.38,15.6923,19.951,10083.5,25.3829
3,mu+,-0.274883,0.402425,500.0,0.487346,9914.54,-11.782,15.436,10019.6,19.4187
4,mu+,0.21771,0.212597,500.0,0.304295,9973.21,8.02994,8.30339,10078.3,11.551
5,mu+,0.305488,0.541512,496.165,0.621738,9978.89,12.9592,22.54,10084.0,25.9999
5,mu+,0.310415,0.550083,500.0,0.631625,9978.89,12.9615,22.5334,10084.0,25.9953
5,e-,0.372335,0.517596,496.169,0.637604,0.0,0.0,-0.0,0.0,0.0
5,e-,0.372335,0.517596,496.169,0.637604,0.0,0.0,-0.0,0.0,0.0
6,mu+,0.660615,-0.20403,500.0,0.691405,9976.97,26.2011,-8.44683,10082.0,27.529
7,mu+,0.569696,0.513541,500.0,0.766993,9977.49,22.1932,20.5647,10082.5,30.2563
8,mu+,0.675078,0.639011,500.0,0.929551,9979.64,26.1737,26.0949,10084.7,36.9595
9,mu+,0.584416,-0.277382,500.0,0.646902,9976.35,24.1308,-11.5171,10081.4,26.7383
10,mu+,-0.236551,-0.00602814,500.0,0.236628,9977.12,-10.304,-0.236737,10082.2,10.3068
11,mu+,0.24191,-0.0154565,500.0,0.242403,9972.18,9.44549,-1.01393,10077.3,9.49975
12,mu+,0.284201,-0.609317,500.0,0.672337,9975.28,12.0997,-24.6472,10080.3,27.4571
13,mu+,0.116359,0.138785,499.48,0.18111,9977.7,4.46807,6.38939,10082.8,7.79667
13,mu+,0.116589,0.139115,500.0,0.18151,9977.7,4.46807,6.38939,10082.8,7.79667
13,e-,0.120979,0.113248,499.481,0.165713,0.0,0.0,-0.0,0.0,0.0
13,e-,0.120979,0.113248,499.481,0.165713,0.0,0.0,-0.0,0.0,0.0
14,mu+,0.313929,0.23697,500.0,0.393327,9974.77,12.283,9.41496,10079.9,15.4763
15,mu+,0.29882,-0.233598,500.0,0.379291,9979.07,12.2935,-9.32111,10084.2,15.4277
16,mu+,-0.456252,0.00769479,495.625,0.456317,9976.76,-17.6433,0.640271,10081.8,17.6549
16,mu+,-0.463908,0.00797262,500.0,0.463977,9976.76,-17.6181,0.607262,10081.8,17.6286
16,e-,-0.462896,-0.018686,495.626,0.463273,0.0,-0.0,-0.0,0.0,0.0
16,e-,-0.462896,-0.018686,495.626,0.463273,0.0,-0.0,-0.0,0.0,0.0
17,mu+,-0.497783,0.283184,500.0,0.572696,9977.74,-19.4384,12.1979,10082.8,22.9487
18,mu+,0.168967,0.0468208,500.0,0.175335,9974.07,7.25929,1.1583,10079.2,7.35112
19,mu+,0.230866,-0.541419,500.0,0.588586,9965.07,10.5291,-20.4454,10070.1,22.9974
20,mu+,0.422885,-0.203503,500.0,0.469303,9874.43,16.7405,-7.72396,9979.51,18.4365
21,mu+,-0.260255,0.355183,481.677,0.440327,9978.87,-10.4197,15.3113,10084.0,18.5204
21,mu+,-0.279188,0.383003,500.0,0.473959,9978.87,-10.4349,15.3247,10084.0,18.54
21,e-,-0.288139,0.348055,481.678,0.451848,0.0,-0.0,-0.0,0.0,0.0
21,e-,-0.288139,0.348055,481.678,0.451848,0.0,-0.0,-0.0,0.0,0.0
22,mu+,0.506186,0.0740658,500.0,0.511576,9979.07,21.3407,3.48758,10084.1,21.6238
23,mu+,0.150429,0.157856,500.0,0.218054,9958.93,6.30455,6.92055,10064.0,9.3617
24,mu+,0.156911,0.26971,500.0,0.312033,9979.78,5.60293,9.20097,10084.9,10.7727
25,mu+,-0.286305,0.0436954,500.0,0.28962,9977.81,-11.8824,0.339479,10082.9,11.8872
26,mu+,-0.929679,-0.39173,500.0,1.00884,9967.16,-37.9232,-15.9013,10072.2,41.122
27,mu+,-0.040061,0.0387093,500.0,0.0557072,9972.88,-0.990586,-0.402222,10078.0,1.06913
28,mu+,-0.0106915,-0.336468,496.773,0.336638,9976.83,-0.846612,-14.3063,10081.9,14.3313
28,mu+,-0.0108235,-0.338699,498.345,0.338872,9976.83,-0.904551,-14.2838,10081.9,14.3124
28,mu+,-0.010972,-0.341044,500.0,0.34122,9976.83,-0.917833,-14.2592,10081.9,14.2887
28,e-,0.172942,-0.409984,498.357,0.444967,0.0,0.0,-0.0,0.0,0.0
28,e-,0.172942,-0.409984,498.357,0.444967,0.0,0.0,-0.0,0.0,0.0
28,e-,-0.0242754,-0.314538,496.774,0.315473,0.0,-0.0,0.0,0.0,0.0
28,e-,-0.0242754,-0.314538,496.774,0.315473,0.0,-0.0,0.0,0.0,0.0
29,mu+,0.271017,0.421529,495.545,0.501135,9961.59,11.2978,17.7467,10066.7,21.0377
29,mu+,0.276017,0.429382,500.0,0.510445,9961.59,11.2906,17.7541,10066.7,21.0401
29,e-,0.28207,0.445334,495.546,0.527149,0.0,0.0,0.0,0.0,0.0
29,e-,0.28207,0.445334,495.546,0.527149,0.0,0.0,0.0,0.0,0.0
30,mu+,-0.308979,0.420986,500.0,0.522205,9974.95,-14.776,20.265,10080.0,25.0798
31,mu+,-0.263317,0.253149,500.0,0.365268,9976.68,-10.5954,10.8718,10081.8,15.1809
32,mu+,-0.240453,0.583139,500.0,0.630768,9966.61,-8.29429,24.013,10071.7,25.4051
33,mu+,0.331058,-0.258773,500.0,0.420193,9977.81,12.3433,-11.6243,10082.9,16.9552
34,mu+,-0.0913087,0.342891,500.0,0.35484,9978.1,-3.79609,13.528,10083.2,14.0505
35,mu+,0.311931,-0.510364,488.612,0.598141,9813.14,12.7795,-20.5156,9918.2,24.1703
35,mu+,0.326605,-0.53392,500.0,0.625892,9813.14,12.7984,-20.4718,9918.2,24.1432
35,e-,0.289006,-0.520681,488.613,0.595511,0.0,-0.0,-0.0,0.0,0.0
35,e-,0.289006,-0.520681,488.613,0.595511,0.0,-0.0,-0.0,0.0,0.0
36,mu+,-0.144052,0.0310871,500.0,0.147368,9960.32,-7.06266,1.65706,10065.4,7.25444
37,mu+,0.159084,0.265112,500.0,0.30918,9933.26,6.12906,11.1999,10038.4,12.7672
38,mu+,0.280494,0.23438,500.0,0.365528,9978.42,11.1764,10.4277,10083.5,15.2856
39,mu+,-0.445636,0.264726,500.0,0.518335,9978.4,-18.0989,11.1603,10083.5,21.2632
40,mu+,-0.135443,0.336304,500.0,0.362554,9977.12,-5.41975,13.074,10082.2,14.1528
41,mu+,-0.806299,0.617711,500.0,1.01572,9968.15,-32.1424,24.1033,10073.2,40.176
42,mu+,-0.168571,-0.636955,500.0,0.658884,9973.96,-6.6849,-24.9308,10079.0,25.8115
43,mu+,0.044052,0.194493,500.0,0.19942,9976.41,0.83775,6.97504,10081.5,7.02517
44,mu+,0.673343,0.101506,500.0,0.680951,9977.02,25.3611,4.50039,10082.1,25.7573
45,mu+,-0.10924,0.0200229,499.733,0.11106,9974.28,-4.5466,0.964857,10079.4,4.64785
45,mu+,-0.10936,0.0200485,500.0,0.111183,9974.28,-4.5466,0.964857,10079.4,4.64785
45,e-,-0.122907,0.0377809,499.734,0.128583,0.0,-0.0,0.0,0.0,0.0
45,e-,-0.122907,0.0377809,499.734,0.128583,0.0,-0.0,0.0,0.0,0.0
46,mu+,0.083104,0.0762582,500.0,0.11279,9976.65,3.67856,4.14848,10081.7,5.54451
47,mu+,-0.00495541,0.313666,490.511,0.313705,9978.03,0.66098,12.1813,10083.1,12.1993
47,mu+,-0.00433335,0.32513,500.0,0.325159,9978.03,0.635084,11.83,10083.1,11.8471
47,e-,0.0237836,0.267214,490.513,0.26827,0.0,0.0,-0.0,0.0,0.0
47,e-,0.0237836,0.267214,490.513,0.26827,0.0,0.0,-0.0,0.0,0.0
48,mu+,0.130871,-0.125815,500.0,0.18154,9978.58,4.01255,-4.92316,10083.7,6.35122
49,mu+,-0.0725201,0.341236,500.0,0.348856,9975.51,-3.31849,13.8024,10080.6,14.1957
50,mu+,0.127128,0.343296,484.869,0.366079,9965.66,5.9696,13.6653,10070.8,14.9123
50,mu+,0.136097,0.363828,500.0,0.38845,9965.66,5.96325,13.613,10070.8,14.8618
50,e-,0.117821,0.29721,484.871,0.319712,0.0,-0.0,-0.0,0.0,0.0
