EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,gamma,1.94885,2.5643,500,3.22081,2.00906,0.0150197,0.00397687,2.009,0.0155372
0,e-,-0.907649,-1.98995,500,2.18717,93.8435,-0.559357,-1.27161,94.3429,1.3892
5,gamma,-2.0567,2.60461,500,3.31874,5.43714,-0.0408801,0.0256807,5.43693,0.0482771
6,gamma,-0.472639,5,493.287,5.02229,44.0825,0.369209,0.998899,44.0697,1.06495
6,e-,-2.44322,5,483.54,5.56501,51.9794,0.0499691,1.15415,52.4752,1.15524
7,gamma,2.98361,-1.84409,500,3.5075,0.179539,0.00131108,-0.00222092,0.17952,0.00257904
10,e-,0.884967,-2.21576,500,2.38595,94.4005,1.03563,-0.638747,94.9023,1.21677
15,e-,1.06943,1.44869,500,1.80066,96.1604,0.784908,-0.160244,96.6667,0.801099
18,gamma,1.93885,-2.24559,500,2.96679,0.0700764,-0.000216202,-0.000618817,0.0700733,0.000655499
19,gamma,1.62104,3.35328,500,3.72455,0.803261,0.00958261,0.00666674,0.803176,0.0116736
19,e-,1.64922,4.75096,500,5.02907,95.7553,1.02571,1.62784,96.2457,1.92405
21,e-,-4.99619,0.408825,500,5.01289,96.5525,-0.880413,0.181416,97.058,0.898909
22,e-,4.45714,-2.6923,500,5.20716,83.2104,1.47328,-0.184805,83.7067,1.48482
23,e-,3.81824,-3.85527,500,5.42605,95.8541,1.75023,0.261247,96.3475,1.76962
25,e-,-0.286204,1.41723,500,1.44584,96.6378,-1.03714,1.69299,97.1272,1.98541
28,gamma,4.36974,-3.03706,500,5.3215,1.25497,0.0186618,-0.00975645,1.2548,0.0210583
28,gamma,-0.922722,-4.68587,500,4.77585,3.3084,-0.0212962,-0.0476208,3.30799,0.0521658
28,gamma,-0.286634,-3.62459,500,3.63591,0.111261,-0.000430247,-0.00112437,0.111254,0.00120388
28,gamma,-3.11948,-5,492.353,5.89331,0.0948118,-0.00151038,-0.00153455,0.0947873,0.00215316
28,e-,-1.03622,-1.82688,500,2.10029,91.655,-0.730142,-0.10582,92.1616,0.73777
34,e-,-3.35807,-3.00135,500,4.50386,95.5116,-0.696855,-1.53303,96.0065,1.68398
35,e-,-3.73613,0.286064,500,3.74706,96.1542,-0.800513,1.12142,96.654,1.37783
41,e-,4.41817,0.771465,500,4.48502,95.8403,-0.549711,0.560336,96.3468,0.784958
45,e-,2.8039,3.83,500,4.74666,95.6511,2.22435,1.76763,96.1188,2.84117
46,e-,2.17086,1.76823,500,2.79987,96.6978,0.804039,-0.217903,97.2039,0.833043
49,e-,3.13173,3.90439,500,5.0052,94.9045,-0.628983,1.85252,95.3941,1.95639
50,e-,5,0.238124,488.95,5.00567,96.7033,3.16157,-0.850161,97.1578,3.27388
52,gamma,0.337967,0.64975,500,0.732392,0.111263,-0.00198518,-0.000519671,0.111244,0.00205207
53,e-,-4.57404,1.34974,500,4.76903,96.16,-2.6041,-0.019587,96.6345,2.60417
60,gamma,-0.735698,-3.10739,500,3.19329,1.86492,-0.000382109,-0.0067723,1.8649,0.00678307
61,gamma,-4.76997,4.267,500,6.39999,9.38614,-0.210142,0.128188,9.38291,0.246154
61,e-,-2.24833,-5,489.714,5.48224,0.134169,0.339096,-0.161452,0.118613,0.37557
62,gamma,-1.83954,0.0477209,500,1.84016,0.051944,-0.000102777,0.000438534,0.051942,0.000450417
62,e-,1.30729,3.19129,487.736,3.44868,96.199,1.40905,2.01331,96.6774,2.4574
62,e-,1.48603,3.44669,500,3.75339,96.1956,1.38867,2.08981,96.6727,2.50912
62,e-,1.25765,3.20255,487.739,3.44064,0,-0,0,0,0
62,e-,1.25765,3.20255,487.739,3.44064,0,-0,0,0,0
65,gamma,2.05607,-0.119837,500,2.05956,2.04972,0.0223061,-0.0170617,2.04952,0.0280832
70,e-,-1.00176,3.29927,499.805,3.448,96.0837,0.0565121,1.61526,96.5798,1.61625
70,e-,-1.00165,3.30253,500,3.45109,96.0835,0.0558493,1.6135,96.5797,1.61446
70,e-,-1.01625,3.25945,499.807,3.4142,0,-0,-0,0,0
70,e-,-1.01625,3.25945,499.807,3.4142,0,-0,-0,0,0
73,gamma,-1.5372,-5,495.108,5.23096,0.248388,0.000456657,-0.00385163,0.248357,0.00387861
73,gamma,-3.67887,-3.85017,500,5.32521,1.18517,-0.00825642,-0.0124435,1.18508,0.0149335
73,e-,-1.90262,-3.57338,500,4.04833,94.7472,-0.0550619,-0.684191,95.2544,0.686403
74,e-,2.96932,-3.3486,480.181,4.47548,91.51,1.1077,-1.3501,92.003,1.74636
74,e-,3.05073,-3.44343,486.862,4.60045,91.5072,1.11749,-1.34653,92.0002,1.74983
74,e-,3.21032,-3.63572,500,4.85022,91.5047,1.13845,-1.40468,91.9965,1.80809
74,e-,3.00845,-3.41682,486.865,4.55252,0,-0,0,0,0
74,e-,3.00845,-3.41682,486.865,4.55252,0,-0,0,0,0
74,e-,2.98276,-3.38252,480.182,4.5098,0,0,-0,0,0
74,e-,2.98276,-3.38252,480.182,4.5098,0,0,-0,0,0
75,e-,-3.77095,2.33354,493.082,4.43458,95.2205,-1.06899,0.0550346,95.7241,1.07041
75,e-,-3.84821,2.33751,500,4.50252,95.2186,-1.04666,0.0726732,95.7225,1.04918
75,e-,-3.71343,2.38315,493.086,4.41237,0,0,0,0,0
75,e-,-3.71343,2.38315,493.086,4.41237,0,0,0,0,0
76,e-,-0.704774,-5,498.311,5.04943,96.4294,0.0109269,-1.11866,96.9326,1.11871
77,gamma,3.00212,-2.83976,500,4.13243,2.56385,0.0349674,-0.0320551,2.56341,0.0474368
80,gamma,0.886227,1.46894,500,1.71557,0.020439,7.0147e-05,0.000119385,0.0204385,0.000138468
81,e-,-3.90486,-2.35028,500,4.5576,96.5783,-1.22288,-1.4124,97.07,1.86824
83,gamma,-1.39456,-0.0639358,500,1.39603,0.0942598,0.000416131,-0.0016052,0.0942452,0.00165826
83,e-,0.328853,-0.821204,500,0.884602,95.1749,0.733577,-2.10595,95.6585,2.23006
84,e-,3.44149,5,495.655,6.06992,96.1463,0.47715,3.1619,96.6031,3.1977
86,gamma,4.96721,0.0984568,500,4.96819,7.5009,0.116114,0.100733,7.49933,0.153719
86,gamma,-0.506429,-4.45291,500,4.48162,7.18227,-0.0436116,-0.0320549,7.18207,0.0541247
86,e-,1.00531,-0.756387,500,1.25808,74.9878,-0.0149389,1.13489,75.4886,1.13499
88,e-,3.58241,0.936986,500,3.70292,96.178,0.665007,0.307378,96.6849,0.732609
89,e-,-3.1817,-2.51143,484.536,4.05346,96.5284,-0.689185,-0.8792,97.0316,1.11713
89,e-,-3.29154,-2.65155,500,4.2267,96.5268,-0.751816,-0.860982,97.0297,1.14303
89,e-,-3.17461,-2.53301,484.536,4.06132,0,0,-0,0,0
89,e-,-3.17461,-2.53301,484.536,4.06132,0,0,-0,0,0
92,e-,0.564722,0.994011,500,1.14323,96.2555,-0.494157,-0.560368,96.7623,0.74713
94,e-,2.64099,0.917455,500,2.79581,96.4987,0.385852,1.37618,96.9978,1.42925
94,gamma,3.00961,0.273359,500,3.022,0.0974341,0.000676501,0.000859185,0.0974279,0.00109355
95,e-,1.15053,-3.29281,500,3.48802,96.3141,0.569764,-1.3423,96.8128,1.45822
96,e-,3.48113,-3.75125,500,5.11763,96.105,1.33776,-2.01737,96.5843,2.42061
97,e-,3.19712,-4.00236,500,5.12254,95.246,1.49707,-1.17652,95.7367,1.90406
99,gamma,-2.59058,0.724932,500,2.6901,0.870877,-0.00489226,-0.000523203,0.870863,0.00492016
99,gamma,-3.68322,-0.191848,500,3.68821,1.99386,-0.0200963,-0.00875927,1.99374,0.0219222
