EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,proton,-0.0268241,-0.0334043,500,0.0428413,9996.52,-1.4845,-0.911525,10894.5,1.74201
1,proton,-0.132709,-0.0157188,500,0.133637,9996.4,-5.68797,0.299193,10894.3,5.69583
2,proton,0.0171386,-0.0592234,500,0.0616534,9995.69,1.39254,-1.52536,10893.6,2.0654
3,proton,-0.00556041,-0.00201886,490.187,0.00591557,9996.82,0.113866,-0.0161762,10894.8,0.115009
3,proton,-0.00545786,-0.00203342,500,0.00582435,9996.82,0.0777619,-0.0224138,10894.8,0.0809277
3,e-,-0.00349049,-0.0283576,490.188,0.0285716,0,0,-0,0,0
3,e-,-0.00349049,-0.0283576,490.188,0.0285716,0,0,-0,0,0
4,proton,-0.0456358,0.0601283,500,0.0754854,9996.18,-1.71497,2.11626,10894.1,2.7239
5,proton,-0.0430741,-0.00564742,500,0.0434428,9995.1,-2.51352,-1.3559,10893,2.85592
6,proton,0.0127932,-0.0678588,500,0.0690542,9995.73,0.0667497,-1.89329,10893.7,1.89446
7,proton,0.038933,-0.0144523,498.4,0.0415288,9996.66,4.31679,-0.671449,10894.6,4.3687
7,proton,0.039567,-0.0145509,500,0.0421578,9996.66,4.30822,-0.697746,10894.6,4.36436
7,e-,-0.112468,-0.316282,498.424,0.335683,0,-0,-0,0,0
7,e-,-0.112468,-0.316282,498.424,0.335683,0,-0,-0,0,0
8,proton,-0.0701227,0.0725038,500,0.100866,9996.43,-3.07227,2.75778,10894.4,4.12846
9,proton,-0.0883917,-0.0144464,500,0.0895645,9996.04,-3.26918,-1.66038,10894,3.66666
10,proton,0.18295,-0.0579878,500,0.19192,9996.32,8.14884,-1.97269,10894.3,8.38421
11,proton,0.003608,0.140328,500,0.140374,9996.76,0.434358,4.99227,10894.7,5.01113
12,proton,0.0197163,-0.0169449,500,0.0259973,9995.64,0.249361,-0.753217,10893.6,0.793421
13,proton,-0.0279208,-0.0503468,481.447,0.0575706,9996.54,-0.543812,-1.46813,10894.5,1.56561
13,proton,-0.0288469,-0.052847,500,0.0602076,9996.54,-0.553071,-1.51331,10894.5,1.61121
13,e-,-0.00466514,-0.176779,481.454,0.17684,0,-0,-0,0,0
13,e-,-0.00466514,-0.176779,481.454,0.17684,0,-0,-0,0,0
14,proton,-0.104711,-0.0525845,500,0.117173,9995.62,-3.84981,-0.688304,10893.6,3.91086
15,proton,0.0243819,-0.00303694,500,0.0245703,9996.09,0.909418,-0.816262,10894,1.22202
16,proton,-0.12682,0.00714775,500,0.127022,9995.98,-3.51569,0.560165,10893.9,3.56003
17,proton,0.0497534,0.0447068,500,0.0668887,9995.19,2.05721,1.84679,10893.1,2.76455
18,proton,0.136268,0.0128662,497.542,0.136874,9996.39,4.21336,0.376704,10894.3,4.23017
18,proton,0.137219,0.0129512,500,0.137828,9996.39,4.21336,0.376704,10894.3,4.23017
18,e-,-0.900882,-0.426167,497.657,0.996597,0.00720933,-0.0857514,-0.00665545,0.00472176,0.0860093
18,e-,-1.524,-0.474529,497.691,1.59617,0.00122707,-0.0246242,-0.0130115,-0.021907,0.0278505
18,e-,-1.54447,-0.485343,497.673,1.61893,0,-0,-0,-0,0
18,e-,-1.54447,-0.485343,497.673,1.61893,0,-0,-0,-0,0
19,proton,-0.0119751,0.0595786,481.678,0.0607702,9996.57,-0.732057,3.70808,10894.5,3.77965
19,proton,-0.0132062,0.0658146,500,0.0671264,9996.57,-0.755339,3.70061,10894.5,3.77691
19,e-,-0.0252151,0.0415326,481.679,0.0485876,0,-0,-0,0,0
19,e-,-0.0252151,0.0415326,481.679,0.0485876,0,-0,-0,0,0
20,proton,-0.0108016,-0.0299865,500,0.0318726,9996.72,0.0397886,-1.80742,10894.7,1.80786
21,proton,0.0334339,0.0445822,500,0.055726,9996.34,1.74797,1.61727,10894.3,2.38137
22,proton,-0.0208978,-0.0476609,500,0.0520411,9996.4,-1.68257,-0.750157,10894.3,1.84222
23,proton,0.0686674,-0.00214939,500,0.068701,9996.58,2.68947,-0.167313,10894.5,2.69467
24,proton,0.00813277,-0.0270561,500,0.0282519,9996.59,-1.30507,-1.27449,10894.5,1.82415
25,proton,-0.0459284,0.067348,500,0.0815179,9992.05,-1.90219,1.82063,10890,2.63306
26,proton,0.273089,-0.20495,495.654,0.341441,9996.68,12.1626,-8.82447,10894.6,15.0267
26,proton,0.277941,-0.20847,500,0.347435,9996.68,12.1613,-8.8367,10894.6,15.0328
26,e-,0.265378,-0.226368,495.655,0.348809,0,-0,-0,0,0
26,e-,0.265378,-0.226368,495.655,0.348809,0,-0,-0,0,0
27,proton,-0.0344433,0.0551694,500,0.0650385,9990.78,-2.12113,2.85791,10888.7,3.55905
28,proton,-0.013134,0.103446,500,0.104276,9994.64,-0.0926736,3.98312,10892.6,3.9842
