EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
1,mu+,-3.3617,-0.97209,500,3.49943,95.7585,-1.5849,-0.996888,171.469,1.87235
3,mu+,-1.59342,-2.3891,499.491,2.87172,95.2458,-0.511255,-1.7718,170.867,1.84409
3,mu+,-1.59495,-2.39439,500,2.87697,95.2458,-0.511255,-1.7718,170.867,1.84409
3,e-,-1.73046,-2.30542,499.502,2.88261,0,-0,0,0,0
3,e-,-1.73046,-2.30542,499.502,2.88261,0,-0,0,0,0
4,mu+,0.620069,1.56539,486.346,1.68372,93.6782,1.21748,0.938162,169.024,1.53701
4,mu+,0.718418,1.64117,500,1.79153,93.6767,1.17057,0.962562,169.022,1.51551
4,e-,5,1.92644,488.036,5.35828,0.108117,0.32024,-0.0338731,0.135952,0.322027
5,mu+,5,2.43933,489,5.5633,95.4336,3.73762,1.0506,171.053,3.88247
7,e-,4.65326,-4.89852,487.084,6.75636,0.0124034,-0.102859,0.046146,0.010981,0.112736
7,e-,4.41265,-4.74672,487.169,6.48097,0.0118834,-0.0703532,0.0635804,0.0573931,0.0948264
7,e-,4.28753,-4.61434,487.344,6.29881,0.0115861,-0.0546217,0.0463576,0.0827205,0.0716418
7,e-,4.20847,-4.49168,487.594,6.15519,0.0112503,-0.0313397,0.0723565,0.0735307,0.078852
7,e-,4.04251,-4.29053,487.77,5.89496,0.0107029,-0.0444813,0.0513334,0.0802448,0.0679243
7,e-,3.84939,-4.02524,487.974,5.56959,0.00933135,-0.0655758,0.0669814,0.0289309,0.0937374
7,e-,3.47802,-3.60542,487.887,5.00956,0.00793541,-0.0459611,0.0624146,-0.0465289,0.0775114
7,e-,3.10256,-3.09555,487.507,4.38273,0.00276756,0.0404059,-0.00331975,0.0345318,0.040542
7,e-,3.18946,-3.10269,487.581,4.44964,0,0,-0,0,0
7,e-,3.18946,-3.10269,487.581,4.44964,0,0,-0,0,0
8,mu+,-2.62695,-1.47462,500,3.01254,95.4115,-2.94859,-1.81258,171.036,3.46116
9,mu+,1.32402,3.68617,500,3.91675,94.7048,1.72768,2.43239,170.214,2.98352
10,mu+,1.82342,-1.80694,500,2.56708,95.7456,0.437316,-2.27467,171.448,2.31633
11,mu+,4.25513,4.8934,498.2,6.48471,95.6997,2.26171,3.03341,171.368,3.78377
11,mu+,4.27889,4.92526,500,6.52434,95.6994,2.22993,3.03889,171.368,3.76927
11,e-,4.22492,4.88536,498.202,6.45884,0,-0,-0,0,0
11,e-,4.22492,4.88536,498.202,6.45884,0,-0,-0,0,0
12,mu+,1.45871,2.13023,500,2.5818,95.2677,2.12994,1.41382,170.883,2.55647
13,mu+,-4.64746,-3.91283,488.084,6.07529,94.0357,-2.92326,-1.30647,169.422,3.20192
13,mu+,-4.67704,-3.92605,489.799,6.10644,94.0323,-2.96261,-1.26362,169.418,3.22084
13,mu+,-4.85543,-4.00214,500,6.29224,94.0313,-2.93586,-1.19582,169.417,3.17006
13,e-,-4.57094,-4.04157,489.81,6.10146,0,0,-0,0,0
13,e-,-4.57094,-4.04157,489.81,6.10146,0,0,-0,0,0
13,e-,-4.46888,-3.95054,488.134,5.9647,0.0112287,0.103396,-0.0230915,0.0194354,0.105943
13,e-,-4.17114,-3.98584,488.277,5.76934,0.0110084,0.0889217,-0.0315722,0.0496776,0.0943603
13,e-,-3.86829,-4.23391,488.614,5.73496,0.00894164,-0.0862317,-0.0306568,-0.0290266,0.0915191
13,e-,-4.12623,-4.44513,488.422,6.06506,0.00832176,-0.0464742,-0.0616068,-0.0511745,0.0771702
13,e-,-4.28238,-4.72104,488.348,6.37394,0.00692003,-0.0374873,-0.0710192,-0.0259058,0.0803059
13,e-,-4.41226,-4.83956,488.289,6.549,0.00659741,-0.0664893,-0.033104,-0.0356281,0.0742745
13,e-,-4.54995,-4.96286,488.25,6.73291,0.00600177,-0.0388851,-0.0655268,-0.0190787,0.0761959
13,e-,-4.57199,-5,488.239,6.77518,0.00525961,0.0378161,0.0376182,0.0505746,0.0533403
13,e-,-4.5596,-4.97989,488.262,6.75198,0.00509557,0.0304923,0.0392292,0.0525824,0.0496861
13,e-,-4.54712,-4.96638,488.29,6.73359,0.00509557,0.032578,0.0311503,0.0565858,0.0450741
13,e-,-4.52789,-4.95578,488.315,6.71279,0.00503782,0.0404301,0.0209118,0.0556967,0.0455181
13,e-,-4.50633,-4.94307,488.336,6.68887,0.00491872,0.040752,0.0205599,0.0544764,0.0456446
13,e-,-4.48251,-4.93353,488.358,6.66578,0.00478185,0.0451915,0.0186344,0.0502035,0.0488827
13,e-,-4.45871,-4.91699,488.381,6.63753,0.00466621,0.0478185,0.0361716,0.034578,0.0599583
13,e-,-4.43105,-4.8959,488.414,6.60334,0.00450396,0.0263209,0.0272161,0.0564785,0.0378616
13,e-,-4.42076,-4.87958,488.468,6.58433,0.00435126,0.0133677,0.0251453,0.060456,0.0284777
13,e-,-4.42646,-4.84257,488.531,6.56079,0.00430454,-0.0107595,0.0167708,0.0634093,0.0199255
13,e-,-4.41818,-4.84425,488.628,6.55645,0.00294178,-0.00332576,0.010829,0.0537292,0.0113282
13,e-,-4.46253,-4.81607,488.697,6.56572,0.00253261,-0.00922069,0.0276219,0.0417941,0.0291202
13,e-,-4.48015,-4.7633,488.777,6.53917,0,-0,0,0,0
13,e-,-4.48015,-4.7633,488.777,6.53917,0,-0,0,0,0
14,mu+,-3.17844,5,485.719,5.92473,94.5162,-2.01257,4.18478,169.955,4.64358
15,mu+,5,0.943844,483.9,5.0883,95.4891,3.92737,1.66086,171.109,4.26412
17,mu+,-1.07285,-4.17436,500,4.31002,95.6396,-1.44188,-0.851906,171.331,1.67474
18,mu+,-3.65141,-3.03162,500,4.7459,95.0383,-1.69899,-1.49155,170.618,2.26081
19,mu+,1.98417,-0.954261,494.235,2.20171,95.7729,2.03629,0.45153,171.483,2.08575
19,mu+,2.05263,-0.93908,500,2.25724,95.7723,2.12876,0.504332,171.481,2.18768
19,e-,1.68918,-0.978227,494.262,1.95199,0,-0,-0,0,0
19,e-,1.68918,-0.978227,494.262,1.95199,0,-0,-0,0,0
22,mu+,2.84394,-1.21766,495.617,3.09365,95.771,1.07253,-0.537574,171.49,1.19971
22,mu+,2.87135,-1.2314,500,3.12426,95.7703,1.0711,-0.495563,171.489,1.18018
22,e-,2.85746,-1.27689,495.62,3.12978,0,0,-0,0,0
22,e-,2.85746,-1.27689,495.62,3.12978,0,0,-0,0,0
23,mu+,0.442856,3.84024,500,3.86569,94.7804,0.803534,4.0415,170.279,4.12061
