EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu-,-0.0135718,-0.0297127,500,0.0326656,9996.18,-1.57113,-0.731867,10101.3,1.73323
1,mu-,0.0107053,0.0311257,500,0.0329152,9995.55,1.03819,0.891347,10100.7,1.36833
2,mu-,0.183995,0.0699188,500,0.196831,9996.05,5.21325,1.86278,10101.2,5.53606
3,mu-,0.0519613,-0.107493,500,0.119393,9995.95,1.7918,-3.90232,10101.1,4.29403
4,mu-,-0.00102301,-0.0391202,500,0.0391335,9996.52,1.39986,-0.30428,10101.6,1.43255
5,mu-,0.102136,0.013273,500,0.102995,9995.88,3.98678,0.538242,10101,4.02295
6,mu-,-0.0528375,-0.0188554,500,0.056101,9996.21,-2.06369,0.292898,10101.3,2.08437
7,mu-,-0.0473712,-0.0492977,481.131,0.0683688,9995.11,-2.34794,-1.80892,10100.2,2.96395
7,mu-,-0.0517577,-0.0526771,500,0.0738494,9995.11,-2.3381,-1.70084,10100.2,2.89129
7,e-,0.30346,-0.639165,481.257,0.707545,0.00648871,0.0407446,-0.0707818,-0.00183296,0.0816712
7,e-,0.562281,-1.08879,481.245,1.22541,0,-0,-0,-0,0
7,e-,0.562281,-1.08879,481.245,1.22541,0,-0,-0,-0,0
8,mu-,0.339755,0.236214,500,0.4138,9994.19,13.1313,10.0279,10099.3,16.5224
9,mu-,0.0254825,0.0412065,500,0.0484492,9995.73,2.01606,1.07522,10100.8,2.28486
10,mu-,-0.0660375,-0.0342116,500,0.0743733,9996.7,-3.03939,-2.72114,10101.8,4.07952
11,mu-,-0.0600863,-0.0266072,500,0.0657138,9994.94,-1.7506,-1.35689,10100,2.2149
12,mu-,-0.022831,0.168625,500,0.170164,9992.41,-1.77802,5.09513,10097.5,5.39645
13,mu-,-0.0440556,-0.0138415,500,0.0461788,9996.42,-1.55297,-0.571568,10101.5,1.65481
14,mu-,-0.0438748,-0.0412238,500,0.060203,9996.43,-1.06785,-2.49324,10101.5,2.7123
15,mu-,-0.0416549,0.108455,500,0.116179,9996.28,-2.3369,2.69564,10101.4,3.56757
16,mu-,-0.0780451,0.12212,500,0.144929,9996.31,-3.3881,4.79757,10101.4,5.87332
17,mu-,-0.0633607,0.0427574,500,0.076438,9996.38,-1.2867,2.15068,10101.5,2.5062
18,mu-,-0.0256227,0.00207352,500,0.0257065,9996.16,-1.2359,0.478003,10101.3,1.32511
19,mu-,-0.0750903,-0.0431778,500,0.0866191,9995.86,-2.62916,-0.450733,10101,2.66752
20,mu-,-0.069426,0.0779967,500,0.10442,9996.26,-2.59295,1.95155,10101.4,3.2453
21,mu-,0.046844,-0.00438885,484.413,0.0470492,9996.39,1.1442,0.099299,10101.5,1.1485
21,mu-,0.0486096,-0.00423563,500,0.0487938,9996.39,1.31895,0.220405,10101.5,1.33724
21,e-,0.00898048,0.00598607,484.414,0.0107927,0,-0,0,0,0
21,e-,0.00898048,0.00598607,484.414,0.0107927,0,-0,0,0,0
22,mu-,0.0116997,-0.0531514,482.387,0.0544239,9996.06,0.106293,-2.68048,10101.2,2.68259
22,mu-,0.0118887,-0.0572648,497.941,0.0584859,9996.05,0.0949777,-2.68337,10101.2,2.68505
22,mu-,0.0119081,-0.0578118,500,0.0590255,9996.05,0.123976,-2.63701,10101.2,2.63993
22,e-,0.0349157,-0.0491292,497.942,0.0602726,0,0,0,0,0
22,e-,0.0349157,-0.0491292,497.942,0.0602726,0,0,0,0,0
22,e-,0.117999,-0.184207,482.396,0.21876,0,0,-0,0,0
22,e-,0.117999,-0.184207,482.396,0.21876,0,0,-0,0,0
23,mu-,0.0123992,-0.0517399,500,0.0532048,9996.48,0.966592,-2.31358,10101.6,2.50738
24,mu-,0.0752215,0.0636887,497.735,0.0985623,9996.03,3.45187,4.14885,10101.1,5.39707
24,mu-,0.0759956,0.0646191,500,0.0997545,9996.03,3.45187,4.14885,10101.1,5.39707
24,e-,-0.672657,3.40196,497.032,3.46783,0.0259536,0.0925741,-0.0469277,-0.128163,0.103789
24,e-,1.84152,1.47957,495.441,2.36227,0.0221864,0.0964328,-0.113684,0.0307142,0.149075
24,e-,4.27861,-0.0687658,496.931,4.27916,0.0193776,0.131432,-0.00862201,0.0532025,0.131715
24,e-,5,-0.116089,497.223,5.00135,0.0187069,0.1254,-0.00814976,0.0606354,0.125665
25,mu-,-0.110754,0.0343528,500,0.11596,9996.38,-4.54133,2.3049,10101.5,5.09276
26,mu-,-0.386077,-0.709222,500,0.807497,9996.56,-3.20604,-14.9863,10101.6,15.3254
27,mu-,0.0474564,-0.07989,482.137,0.0929221,9996.39,2.29824,-3.85338,10101.5,4.4867
27,mu-,0.0483941,-0.0814631,486.268,0.0947535,9996.39,2.2975,-3.88208,10101.5,4.51099
27,mu-,0.048716,-0.0820075,487.679,0.095386,9996.39,2.3227,-3.92795,10101.5,4.5633
27,mu-,0.051549,-0.0867984,500,0.100952,9996.38,2.35377,-3.95753,10101.5,4.60459
27,e-,0.0380657,-0.060874,487.68,0.0717958,0,-0,0,0,0
27,e-,0.0380657,-0.060874,487.68,0.0717958,0,-0,0,0,0
27,e-,0.0413585,-0.041482,486.27,0.0585771,0,-0,0,0,0
27,e-,0.0413585,-0.041482,486.27,0.0585771,0,-0,0,0,0
27,e-,0.0267857,-0.0697434,482.137,0.0747102,0,-0,0,0,0
27,e-,0.0267857,-0.0697434,482.137,0.0747102,0,-0,0,0,0
28,mu-,0.0785954,-0.0835057,500,0.114675,9994.22,4.38504,-3.33759,10099.3,5.51073
29,mu-,-0.0302454,0.108812,500,0.112937,9996.35,0.0447933,3.39354,10101.5,3.39384
30,mu-,-0.131883,-0.0109425,500,0.132336,9996.53,-4.87199,0.528742,10101.6,4.9006
31,mu-,0.0136945,0.0459568,492.844,0.0479538,9996.44,0.827078,2.47997,10101.5,2.61425
31,mu-,0.0142805,0.0477137,500,0.0498049,9996.44,0.82485,2.47496,10101.5,2.60879
31,e-,-0.0400081,-0.0120353,492.847,0.0417792,0,-0,-0,0,0
31,e-,-0.0400081,-0.0120353,492.847,0.0417792,0,-0,-0,0,0
32,mu-,0.00539656,-0.0246746,500,0.0252578,9995.67,-0.48857,-1.16344,10100.8,1.26186
33,mu-,-0.00585092,-0.0420301,500,0.0424354,9996.1,0.145754,-1.85303,10101.2,1.85875
34,mu-,0.0105174,-0.051792,496.919,0.0528491,9996.19,0.155299,-2.73367,10101.3,2.73808
34,mu-,0.0105648,-0.0526258,500,0.0536758,9996.19,0.161493,-2.73261,10101.3,2.73738
34,e-,-0.527394,0.278893,496.972,0.596595,0.00346883,-0.0366512,0.0129892,-0.0452232,0.0388848
34,e-,-0.631788,0.315891,496.843,0.706359,0,-0,0,-0,0
34,e-,-0.631788,0.315891,496.843,0.706359,0,-0,0,-0,0
35,mu-,0.0716825,0.0403387,500,0.0822532,9996.29,2.54402,0.626344,10101.4,2.61999
36,mu-,-0.103886,-0.0794815,500,0.130804,9996.43,-3.33164,-2.79903,10101.5,4.35137
37,mu-,-0.098356,0.0540813,500,0.112244,9996.33,-4.19212,2.37426,10101.4,4.81778
38,mu-,0.0569361,0.0462254,485.348,0.0733383,9990.71,2.79266,2.17852,10095.8,3.54188
38,mu-,0.0573133,0.0465196,486.712,0.0738166,9990.7,2.75594,2.19986,10095.8,3.52627
38,mu-,0.0609407,0.0494151,500,0.0784578,9990.7,2.73098,2.11254,10095.8,3.45269
