EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,-0.223605,0.319991,500,500,996.431,-2.44787,0.292607,1097.01,1097.01
1,mu+,-0.455152,0.181826,493.761,493.761,995.541,-2.1397,0.22317,1096.12,1096.12
1,mu+,-0.467332,0.183096,500,500,995.54,-2.15592,0.167284,1096.12,1096.12
1,e-,-0.427543,0.186531,493.762,493.762,0,0,0,0,0
1,e-,-0.427543,0.186531,493.762,493.762,0,0,0,0,0
2,mu+,0.00268102,-0.187911,500,500,995.865,0.186914,-0.880744,1096.44,1096.44
3,mu+,-0.162534,-0.729621,490.912,490.913,996.428,-1.14791,-3.63201,1097,1097.01
3,mu+,-0.172044,-0.759709,500,500.001,996.427,-1.13613,-3.62913,1097,1097.01
3,e-,-0.195006,-0.697725,490.914,490.915,0,-0,0,0,0
3,e-,-0.195006,-0.697725,490.914,490.915,0,-0,0,0,0
4,mu+,-0.540497,0.0445727,500,500,996.831,-0.853994,-0.183513,1097.41,1097.41
5,mu+,0.529228,-0.310439,500,500,996.696,2.48402,-0.759508,1097.28,1097.28
6,mu+,-0.22944,-0.0345224,500,500,995.311,-0.315189,1.31395,1095.89,1095.89
7,mu+,-0.00492881,-1.2416,500,500.002,996.485,0.637662,-5.75735,1097.05,1097.07
8,mu+,-0.328768,0.175005,500,500,992.487,-0.708424,-0.16026,1093.05,1093.05
9,mu+,-0.201659,-0.425075,500,500,996.376,0.220678,-0.169798,1096.96,1096.96
10,mu+,-0.288709,0.319891,500,500,995.985,-0.942511,1.11579,1096.56,1096.56
11,mu+,-0.0787071,0.00692002,500,500,995.855,0.200937,0.443388,1096.43,1096.43
12,mu+,0.360921,0.705733,500,500.001,996.37,0.887887,3.82043,1096.94,1096.95
13,mu+,-1.17717,-0.671664,483.524,483.526,995.611,-4.04779,-2.16453,1096.18,1096.19
13,mu+,-1.23801,-0.704198,500,500.002,995.61,-4.09823,-2.18224,1096.18,1096.19
13,e-,-0.994185,-1.12,483.562,483.564,0.00313251,0.0050439,0.0123727,0.05507,0.0566677
13,e-,-0.981537,-1.08897,483.7,483.702,0,0,0,0,0
13,e-,-0.981537,-1.08897,483.7,483.702,0,0,0,0,0
14,mu+,0.199891,0.0170713,489.392,489.392,996.077,-0.223029,-0.620215,1096.66,1096.66
14,mu+,0.197734,0.0110719,500,500,996.075,-0.256271,-0.674263,1096.66,1096.66
14,e-,0.215681,0.0510482,489.393,489.393,0,0,0,0,0
14,e-,0.215681,0.0510482,489.393,489.393,0,0,0,0,0
15,mu+,-1.06249,0.199901,487.088,487.089,996.358,-4.35858,1.71912,1096.93,1096.94
15,mu+,-1.11379,0.220137,500,500.001,996.356,-4.39899,1.76015,1096.93,1096.94
15,e-,-1.37214,1.01504,487.167,487.17,0.0032593,-0.0146485,-0.00144858,0.0559012,0.0578067
15,e-,-1.41074,1.01122,487.314,487.317,0,-0,-0,0,0
15,e-,-1.41074,1.01122,487.314,487.317,0,-0,-0,0,0
16,mu+,1.10535,1.43184,500,500.003,996.412,4.38815,6.03275,1096.97,1096.99
17,mu+,-1.20808,-0.340584,500,500.002,995.76,-3.89721,-1.45649,1096.33,1096.34
18,mu+,-0.389911,0.00776989,500,500,994.959,-1.95626,0.462113,1095.53,1095.53
19,mu+,0.44972,0.41489,500,500,995.643,2.42252,1.19302,1096.22,1096.22
20,mu+,-0.339965,-0.154686,500,500,996.655,-1.67643,-1.86259,1097.24,1097.24
21,mu+,1.72312,-0.132095,480.521,480.524,993.962,6.57432,-0.156708,1094.51,1094.53
21,mu+,1.84013,-0.134884,500,500.003,993.956,6.59593,-0.0239683,1094.51,1094.53
21,e-,1.72214,-0.160701,480.522,480.525,0,-0,-0,0,0
21,e-,1.72214,-0.160701,480.522,480.525,0,-0,-0,0,0
22,mu+,0.167059,0.151569,492.171,492.171,995.354,-0.0898011,0.814016,1095.93,1095.93
22,mu+,0.166417,0.157384,500,500,995.354,-0.0892574,0.805414,1095.93,1095.93
22,e-,0.0871058,-0.0644514,492.186,492.186,0,-0,-0,-0,0
22,e-,0.0871058,-0.0644514,492.186,492.186,0,-0,-0,-0,0
23,mu+,-0.196006,0.278065,489.776,489.776,996.617,-1.13429,1.81532,1097.2,1097.2
23,mu+,-0.206575,0.294981,500,500,996.615,-1.16216,1.80697,1097.2,1097.2
23,e-,-0.519918,1.02119,489.848,489.85,0.00195506,-0.0036966,-0.025225,-0.0367685,0.0447424
23,e-,-0.525143,0.985536,489.796,489.798,0,-0,-0,-0,0
23,e-,-0.525143,0.985536,489.796,489.798,0,-0,-0,-0,0
24,mu+,0.15838,0.627347,500,500,996.138,0.531813,2.37156,1096.72,1096.72
25,mu+,0.206615,-0.694719,500,500.001,995.915,0.567647,-3.33012,1096.49,1096.49
26,mu+,0.549908,-0.436992,500,500,996.283,1.70947,-0.854692,1096.86,1096.86
27,mu+,-0.790006,-0.505315,500,500.001,996.293,-2.99685,-1.58117,1096.87,1096.87
28,mu+,0.693595,0.257406,492.436,492.437,996.666,3.04902,1.53826,1097.24,1097.25
28,mu+,0.714613,0.26801,500,500.001,996.664,3.06984,1.52514,1097.24,1097.25
28,e-,0.694971,0.285033,492.437,492.438,0,0,0,0,0
28,e-,0.694971,0.285033,492.437,492.438,0,0,0,0,0
29,mu+,-0.345711,-0.349971,500,500,995.749,-1.67105,-0.931239,1096.33,1096.33
30,mu+,0.157987,-0.68759,500,500,996.318,-0.176603,-2.3485,1096.9,1096.9
31,mu+,1.10812,-0.612838,500,500.002,994.688,5.59955,-2.0068,1095.25,1095.26
32,mu+,-2.02362,1.17531,500,500.005,994.408,-8.57595,5.03234,1094.94,1094.98
33,mu+,-0.126627,0.305943,500,500,996.278,-0.594436,0.630675,1096.86,1096.86
34,mu+,1.24238,-0.380298,500,500.002,996.454,5.89453,-1.72425,1097.02,1097.04
35,mu+,-1.24287,-0.434985,500,500.002,996.361,-5.66122,-1.79356,1096.93,1096.94
36,mu+,-0.748792,0.221296,500,500.001,996.138,-3.24696,0.832796,1096.71,1096.72
