EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,proton,0.391666,-0.788121,500,500.001,994.924,-0.176659,-5.88359,1690.22,1690.23
1,proton,-0.269059,-0.0457585,500,500,995.898,-1.55049,-2.38459,1691.35,1691.35
2,proton,-0.754232,0.188868,487.468,487.469,995.417,-5.11322,-0.407072,1690.79,1690.8
2,proton,-0.792131,0.185851,500,500.001,995.414,-5.1244,-0.395475,1690.79,1690.79
3,proton,-0.620835,1.04767,481.544,481.546,995.086,-4.03665,6.09901,1690.4,1690.42
3,proton,-0.664907,1.11426,500,500.002,995.085,-4.06267,6.17216,1690.4,1690.42
3,e-,-0.622926,1.01669,481.546,481.547,0,-0,-0,0,0
3,e-,-0.622926,1.01669,481.546,481.547,0,-0,-0,0,0
4,proton,0.0269207,0.0670867,500,500,994.287,-1.25999,0.539785,1689.51,1689.51
5,proton,-0.299052,-0.0673051,500,500,995.725,-1.78545,0.0772591,1691.15,1691.15
6,proton,-0.125097,-0.0705859,499.252,499.252,995.881,-0.245916,0.571374,1691.33,1691.33
6,proton,-0.125206,-0.0703334,500,500,995.881,-0.245916,0.571374,1691.33,1691.33
6,e-,-0.13854,-0.096099,499.254,499.254,0,-0,-0,0,0
6,e-,-0.13854,-0.096099,499.254,499.254,0,-0,-0,0,0
7,proton,0.411562,-0.277824,500,500,994.28,1.93537,-1.29845,1689.5,1689.5
8,proton,0.449086,-0.620068,489.856,489.857,995.459,2.07879,-4.398,1690.84,1690.85
8,proton,0.461557,-0.646453,500,500.001,995.458,2.10653,-4.47117,1690.84,1690.85
9,proton,0.286612,0.11746,500,500,995.178,1.89079,0.363645,1690.52,1690.52
10,proton,-0.431156,0.597829,500,500.001,994.182,-3.2315,3.49604,1689.38,1689.39
11,proton,-0.793906,0.985581,500,500.002,995.511,-5.29395,4.07018,1690.89,1690.91
12,proton,-0.999714,-0.155673,500,500.001,995.377,-4.46228,-1.40296,1690.75,1690.75
13,proton,-0.140373,-0.328667,500,500,995.602,-1.03168,0.157749,1691.01,1691.01
14,proton,0.278482,-0.62003,500,500,995.372,1.52836,-3.70289,1690.74,1690.75
15,proton,0.245089,0.0451595,500,500,995.446,1.33332,1.27114,1690.83,1690.83
16,proton,0.0660021,0.0390196,500,500,996.125,0.486293,0.600947,1691.61,1691.61
17,proton,-0.0794357,-0.339336,500,500,995.8,1.17106,-0.0944887,1691.24,1691.24
18,proton,0.127026,-0.11274,484.424,484.424,993.876,1.14711,-0.71404,1689.04,1689.04
18,proton,0.13369,-0.116807,494.254,494.254,993.864,1.23852,-0.767733,1689.02,1689.02
18,proton,0.137542,-0.119228,499.495,499.495,993.862,1.21684,-0.737563,1689.02,1689.02
18,proton,0.137906,-0.119449,500,500,993.862,1.21684,-0.737563,1689.02,1689.02
18,e-,0.147358,-0.180627,499.498,499.498,0,0,-0,0,0
18,e-,0.147358,-0.180627,499.498,499.498,0,0,-0,0,0
18,e-,-0.735615,0.468185,494.374,494.374,0.00446454,0.0189677,0.0250331,-0.0599687,0.0676955
18,e-,-0.661258,0.56632,494.139,494.139,0,0,0,-0,0
18,e-,-0.661258,0.56632,494.139,494.139,0,0,0,-0,0
18,e-,0.470853,0.270879,484.471,484.472,0,0,0,-0,0
18,e-,0.470853,0.270879,484.471,484.472,0,0,0,-0,0
19,proton,-0.0194705,-0.469375,500,500,994.517,-1.2512,-3.11131,1689.77,1689.77
20,proton,-0.690809,-0.0900637,500,500,995.691,-5.51197,-1.12022,1691.1,1691.11
21,proton,0.261018,0.0902526,500,500,995.464,-0.35554,1.06491,1690.85,1690.85
22,proton,-0.93257,0.611715,500,500.001,995.359,-6.29804,4.11064,1690.72,1690.73
23,proton,-0.474837,-0.52466,500,500.001,995.992,-2.42634,-2.15799,1691.45,1691.46
24,proton,0.522425,0.33292,500,500,995.976,2.25737,3.02093,1691.43,1691.44
25,proton,-0.163548,0.558636,500,500,995.839,-0.223735,2.96437,1691.28,1691.28
26,proton,-0.49048,-0.231725,500,500,995.793,-3.36615,-0.851749,1691.22,1691.23
27,proton,-0.335482,-0.0833439,500,500,995.536,-3.12575,-0.373417,1690.93,1690.93
28,proton,0.451222,0.441431,500,500,995.407,3.001,1.6975,1690.78,1690.79
29,proton,0.187461,1.51458,490.098,490.101,996.041,-1.08299,6.73354,1691.5,1691.51
29,proton,0.181122,1.55399,500,500.002,996.04,-1.08953,6.71045,1691.5,1691.51
29,e-,0.173233,1.48698,490.1,490.102,0,-0,-0,0,0
