EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,gamma,-0.00577483,0.0038686,500,0.00695088,314.171,-0.00193754,0.00130702,314.171,0.00233717
0,gamma,0.00704506,-0.0152904,500,0.0168354,1293.51,0.0412355,-0.0506643,1293.51,0.0653241
0,e-,0.00370807,-0.0180695,500,0.018446,98387.8,1.73537,-4.773,98388.3,5.07869
1,e-,-0.000547496,0.0024627,500,0.00252283,99990.4,0.279067,1.11548,99990.9,1.14986
2,gamma,-0.00160334,0.000111643,500,0.00160722,2570.12,-0.00481238,-0.0198666,2570.12,0.0204412
2,e-,0.000236006,-0.00312684,500,0.00313574,97425.7,0.308725,-2.05626,97426.2,2.0793
3,e-,0.00200349,-0.0153281,480.688,0.0154585,99994.7,-1.53809,-6.21478,99995.2,6.40229
3,e-,0.00170644,-0.0165284,500,0.0166163,99994.7,-1.52125,-6.0713,99995.2,6.25899
3,e-,0.036008,-0.0120986,480.689,0.0379862,0,0,0,0,0
3,e-,0.036008,-0.0120986,480.689,0.0379862,0,0,0,0,0
4,e-,0.00615324,0.000885755,500,0.00621666,99995.6,1.90943,-2.37309,99996.1,3.0459
5,gamma,-0.004547,-0.00718819,500,0.00850561,77.0438,-0.000568972,-0.00159473,77.0438,0.00169319
5,e-,-0.00779991,0.00957587,500,0.0123505,99919.2,-2.3023,4.63883,99919.7,5.17874
6,e-,-0.00655575,-0.00597459,500,0.00886982,99991.5,-1.95183,-1.8951,99992,2.72049
7,e-,0.00198323,0.011856,493.723,0.0120208,99996.5,0.0991053,3.96672,99997,3.96796
7,e-,0.00198945,0.0121051,500,0.0122675,99996.5,0.0183645,3.99279,99997,3.99283
7,e-,0.0577365,0.061097,493.726,0.0840616,0,0,0,0,0
7,e-,0.0577365,0.061097,493.726,0.0840616,0,0,0,0,0
8,e-,0.0028713,-0.00819763,500,0.00868593,99996,0.743383,-3.51654,99996.6,3.59425
9,gamma,-0.00139375,-0.00615885,500,0.00631458,330.59,0.00134274,-0.00576614,330.59,0.00592041
9,e-,-0.00839492,-0.00661605,500,0.0106886,99665.1,-2.46866,-1.87499,99665.6,3.09998
10,e-,-0.00258564,-0.0015447,500,0.00301192,99994.8,-1.98164,-0.746904,99995.3,2.11772
11,e-,0.010649,-0.00465501,500,0.011622,99995.5,4.07699,-0.441421,99996,4.10082
12,gamma,0.00204771,-0.00241474,500,0.00316609,992.551,0.0110198,-0.00468588,992.551,0.0119747
12,e-,0.00134193,-0.00595386,500,0.00610321,99003.8,0.91992,-1.86511,99004.3,2.07963
13,gamma,0.00658985,-0.000458291,500,0.00660576,552.277,0.00943426,-0.00418504,552.277,0.0103208
13,e-,0.00789783,-0.0056655,496.324,0.00971976,99443.9,1.66611,-2.98999,99444.4,3.42285
13,e-,0.00795941,-0.00577601,500,0.00983436,99443.9,1.68238,-3.03015,99444.4,3.46586
13,e-,0.0687332,0.121751,496.332,0.139813,0,0,0,0,0
13,e-,0.0687332,0.121751,496.332,0.139813,0,0,0,0,0
14,gamma,0.00282436,-0.00361127,500,0.00458457,3.98688,2.70303e-06,-3.79771e-05,3.98688,3.80732e-05
14,gamma,-0.00486428,-0.00483129,500,0.00685585,54.7331,-0.00169707,-0.00080784,54.7331,0.00187954
14,e-,-0.00421327,-0.00156608,500,0.00449491,99937.7,-2.74503,-0.234832,99938.2,2.75506
15,e-,0.00784565,-0.00294161,500,0.00837898,99995.6,2.91681,-0.312863,99996.1,2.93354
16,e-,0.00971431,-0.000847534,482.571,0.00975121,99995.6,5.67959,0.684024,99996.1,5.72063
16,e-,0.0107042,-0.000728311,500,0.010729,99995.5,5.60377,0.769538,99996.1,5.65636
16,e-,3.12837,5,484.862,5.89802,0.153532,0.268378,0.294822,0.146746,0.398682
17,gamma,0.00432177,0.00246956,500,0.00497759,316.508,0.00513782,0.00189105,316.508,0.00547479
17,e-,-0.0038455,0.0059875,500,0.00711604,99679.7,-1.2835,2.05665,99680.2,2.42429
18,e-,0.00253359,0.00174472,500,0.00307621,99995.9,0.196744,0.931993,99996.4,0.952533
19,e-,-0.00496335,-0.00237969,500,0.00550434,99996.2,-1.88386,0.310286,99996.7,1.90924
20,gamma,0.00423921,-0.00597685,500,0.00732759,60224.8,0.518744,-1.10654,60224.8,1.2221
20,e-,-0.0392787,-0.00201315,500,0.0393302,39771.8,-8.23054,-0.140017,39772.3,8.23173
21,gamma,-0.0023431,-0.00275906,500,0.00361974,241.133,-0.00165789,-0.0011126,241.133,0.00199662
21,e-,0.0108227,3.17323e-05,500,0.0108227,99752.9,4.57259,0.619328,99753.4,4.61435
22,e-,-0.0199863,0.00566981,500,0.020775,99917.8,-8.83477,2.21306,99918.3,9.10773
23,gamma,0.00787321,0.00433995,500,0.00899014,2152.79,0.0749806,0.00974851,2152.79,0.0756117
23,e-,0.0121054,0.00279615,500,0.0124242,97843.2,5.25345,-0.253152,97843.7,5.25955
24,gamma,0.00433448,-0.00474007,500,0.00642308,36.9843,0.000722349,-0.000389923,36.9843,0.00082087
24,e-,0.00435453,-0.0233493,500,0.0237518,99959.5,2.15551,-8.58432,99960,8.8508
25,e-,0.0064784,0.00537446,500,0.00841751,99995.6,0.710749,3.2613,99996.1,3.33785
26,e-,0.00133294,-0.00850801,500,0.00861179,99996.2,-0.148976,-3.47715,99996.7,3.48034
