EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,-0.00947137,-0.00572431,500,0.0110668,99995.3,-4.16832,-1.24748,100101,4.35098
1,mu+,0.00894271,-0.00529599,495.948,0.0103932,99995.3,3.68451,-2.37725,100101,4.38486
1,mu+,0.00909187,-0.00539223,500,0.0105706,99995.3,3.69384,-2.38423,100101,4.39648
1,e-,-0.230746,0.00888286,495.963,0.230917,0,-0,0,0,0
1,e-,-0.230746,0.00888286,495.963,0.230917,0,-0,0,0,0
2,mu+,0.000720806,0.000732472,492.427,0.00102766,99995.7,0.956825,-1.06684,100101,1.43306
2,mu+,0.000793196,0.000651759,500,0.00102662,99995.7,0.941303,-1.08899,100101,1.43943
2,e-,0.0182555,-0.0159498,492.427,0.0242418,0,0,-0,0,0
2,e-,0.0182555,-0.0159498,492.427,0.0242418,0,0,-0,0,0
3,mu+,0.0063437,-0.00983317,495.886,0.0117019,99996.7,1.89492,-3.57186,100102,4.04338
3,mu+,0.00642157,-0.00997997,500,0.0118674,99996.7,1.88141,-3.57066,100102,4.036
3,e-,0.062911,-0.0103845,495.889,0.0637623,0,0,-0,0,0
3,e-,0.062911,-0.0103845,495.889,0.0637623,0,0,-0,0,0
4,mu+,0.00325171,0.0074031,500,0.00808576,99995.8,2.5275,2.58319,100101,3.61402
5,mu+,-0.0106597,-0.0016055,500,0.0107799,99996.3,-3.56269,-0.0114026,100102,3.56271
6,mu+,-0.00414617,0.00371815,500,0.00556915,99995.8,-1.91561,1.57633,100101,2.4808
7,mu+,0.00500091,0.0028628,500,0.00576235,99995.9,2.6342,-0.11409,100102,2.63667
8,mu+,-0.00676062,-0.0134766,500,0.0150773,99994.3,-2.5179,-5.30045,100100,5.8681
9,mu+,-0.00307538,0.00355239,500,0.00469866,99994.6,-0.54287,2.33761,100100,2.39982
10,mu+,-0.00172578,-0.00407738,500,0.00442757,99994.8,-1.03419,-3.26893,100100,3.42862
11,mu+,-0.00491561,0.00991817,500,0.0110695,99996.3,-1.53671,2.8633,100102,3.24961
12,mu+,0.00362229,-0.00739071,500,0.00823065,99996.3,1.79915,-3.23632,100102,3.7028
13,mu+,-0.00107539,0.000614794,500,0.00123872,99992.2,-0.909976,0.566919,100098,1.07213
14,mu+,-0.00541479,-0.00557115,500,0.00776902,99995.5,-2.73599,-3.25724,100101,4.25386
15,mu+,0.010546,-0.00230374,500,0.0107947,99996.6,3.78688,-0.652036,100102,3.8426
16,mu+,0.00270951,0.010639,500,0.0109786,99996.3,1.55901,3.68182,100102,3.99829
17,mu+,-0.00472085,-0.011928,500,0.0128282,99995.5,-2.24001,-4.22282,100101,4.78015
18,mu+,0.0158568,0.0145474,492.539,0.021519,99994.5,3.97457,4.45814,100100,5.97262
18,mu+,0.0161531,0.0148796,500,0.0219619,99994.5,3.99228,4.48396,100100,6.00368
18,e-,-0.0159445,-0.0116326,492.541,0.0197368,0,-0,-0,0,0
18,e-,-0.0159445,-0.0116326,492.541,0.0197368,0,-0,-0,0,0
19,mu+,0.00655178,0.00232224,500,0.00695116,99995.8,2.45418,-0.00378876,100101,2.45418
20,mu+,0.00635415,-0.0138694,500,0.0152557,99996.4,2.0767,-3.25418,100102,3.86036
21,mu+,0.0136039,0.0124996,500,0.0184744,99996.2,4.85699,4.51914,100102,6.63423
22,mu+,0.00322799,0.00182226,500,0.00370682,99996,1.3306,0.625591,100102,1.47032
23,mu+,0.0109848,-0.00200354,500,0.011166,99996.4,2.63799,-0.684578,100102,2.72537
24,mu+,0.0118304,-0.00787616,500,0.0142124,99994.1,3.55445,-2.11785,100100,4.13756
