EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu-,-0.00947137,-0.00572431,500,0.0110668,99995.4,-4.16832,-1.24748,100101,4.35098
1,mu-,0.00894271,-0.00529599,495.948,0.0103932,99995.3,3.68451,-2.37725,100101,4.38486
1,mu-,0.00909187,-0.00539223,500,0.0105706,99995.3,3.69384,-2.38423,100101,4.39648
1,e-,-0.230746,0.00888284,495.963,0.230917,0,-0,0,0,0
1,e-,-0.230746,0.00888284,495.963,0.230917,0,-0,0,0,0
2,mu-,0.000720806,0.000732472,492.427,0.00102766,99995.7,0.956825,-1.06685,100101,1.43306
2,mu-,0.000793196,0.000651759,500,0.00102662,99995.7,0.941303,-1.08899,100101,1.43943
2,e-,0.0182555,-0.0159498,492.427,0.0242418,0,0,-0,0,0
2,e-,0.0182555,-0.0159498,492.427,0.0242418,0,0,-0,0,0
3,mu-,0.0063437,-0.00983317,495.886,0.0117019,99996.7,1.89492,-3.57186,100102,4.04338
3,mu-,0.00642157,-0.00997996,500,0.0118674,99996.7,1.88141,-3.57066,100102,4.036
3,e-,0.062911,-0.0103845,495.889,0.0637623,0,0,-0,0,0
3,e-,0.062911,-0.0103845,495.889,0.0637623,0,0,-0,0,0
4,mu-,0.00325171,0.0074031,500,0.00808576,99995.8,2.5275,2.58319,100101,3.61402
5,mu-,-0.0106597,-0.0016055,500,0.0107799,99996.3,-3.56269,-0.0114026,100102,3.56271
6,mu-,-0.00414617,0.00371815,500,0.00556915,99995.8,-1.91561,1.57633,100101,2.48081
7,mu-,0.00500091,0.0028628,500,0.00576235,99995.9,2.6342,-0.114088,100102,2.63667
8,mu-,-0.00676062,-0.0134766,500,0.0150773,99994.3,-2.5179,-5.30045,100100,5.8681
9,mu-,-0.00307538,0.00355239,500,0.00469866,99994.6,-0.54287,2.33761,100100,2.39982
10,mu-,-0.00172576,-0.00407738,500,0.00442756,99994.8,-1.03418,-3.26893,100100,3.42862
11,mu-,-0.00491561,0.00991817,500,0.0110695,99996.3,-1.53671,2.8633,100102,3.24961
12,mu-,0.00362229,-0.00739071,500,0.00823065,99996.3,1.79915,-3.23632,100102,3.7028
13,mu-,-0.00107539,0.000614789,500,0.00123872,99992.2,-0.909977,0.566918,100098,1.07213
14,mu-,-0.00541479,-0.00557115,500,0.00776902,99995.6,-2.73599,-3.25724,100101,4.25386
15,mu-,0.010546,-0.00230374,500,0.0107947,99996.6,3.78688,-0.652036,100102,3.8426
16,mu-,0.00270951,0.010639,500,0.0109786,99996.3,1.55901,3.68182,100102,3.99829
17,mu-,-0.00472085,-0.011928,500,0.0128282,99995.5,-2.24001,-4.22282,100101,4.78015
18,mu-,0.0158568,0.0145474,492.539,0.021519,99994.5,3.97457,4.45814,100100,5.97262
18,mu-,0.0161531,0.0148796,500,0.0219619,99994.5,3.99228,4.48396,100100,6.00368
18,e-,-0.0159445,-0.0116326,492.541,0.0197368,0,-0,-0,0,0
18,e-,-0.0159445,-0.0116326,492.541,0.0197368,0,-0,-0,0,0
19,mu-,0.00655178,0.00232224,500,0.00695116,99995.8,2.45418,-0.00378875,100101,2.45418
20,mu-,0.00635415,-0.0138694,500,0.0152557,99996.5,2.0767,-3.25418,100102,3.86036
21,mu-,0.0136039,0.0124996,500,0.0184744,99996.2,4.85699,4.51915,100102,6.63423
22,mu-,0.00322799,0.00182226,500,0.00370682,99996,1.3306,0.625591,100102,1.47032
23,mu-,0.0109848,-0.00200354,500,0.011166,99996.4,2.63799,-0.684578,100102,2.72537
24,mu-,0.0118304,-0.00787616,500,0.0142124,99994.1,3.55445,-2.11785,100100,4.13756
25,mu-,0.000900722,-0.00111979,500,0.00143709,99996.3,0.55323,0.00822853,100102,0.553292
26,mu-,0.0158058,0.00268407,500,0.016032,99995.9,5.88532,1.61522,100102,6.10294
27,mu-,0.00978391,0.00120839,500,0.00985825,99994.4,3.12317,0.912725,100100,3.25381
28,mu-,0.00770127,-0.00699717,500,0.0104053,99996.5,2.74607,-4.05035,100102,4.89348
29,mu-,-0.00349465,0.00298821,500,0.00459804,99995.9,-1.48321,1.38037,100102,2.02617
30,mu-,-0.00262566,-0.000404204,500,0.00265659,99995.7,-0.641148,0.635239,100101,0.902552
31,mu-,0.0051426,-0.00131941,500,0.00530916,99996.3,1.5931,-0.595849,100102,1.70088
32,mu-,-0.00545805,-0.00596204,500,0.00808308,99994.7,-2.30791,-2.58881,100100,3.4682
33,mu-,-0.00727376,0.00867582,500,0.0113215,99995.6,-1.25315,3.21813,100101,3.45352
34,mu-,0.00218243,-0.00204587,500,0.00299142,99996.3,1.37284,-0.895843,100102,1.63927
35,mu-,0.0014455,-0.0083893,500,0.00851292,99996.5,0.746705,-3.08179,100102,3.17096
36,mu-,-0.0025329,-0.0026139,481.302,0.00363979,99994.7,-0.359366,-0.998623,100100,1.06132
36,mu-,-0.00260003,-0.00280043,500,0.00382133,99994.7,-0.386609,-1.03421,100100,1.10411
36,e-,-0.00652218,0.0340249,481.304,0.0346444,0,-0,0,0,0
36,e-,-0.00652218,0.0340249,481.304,0.0346444,0,-0,0,0,0
37,mu-,-0.00749377,0.00579924,500,0.00947565,99996,-3.78881,1.88835,100102,4.23332
38,mu-,-0.00596707,0.00954652,500,0.011258,99995.5,-2.37799,3.26106,100101,4.03601
