EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,-0.483515,1.08728,500,1.18994,9952.23,-21.6456,43.6706,10057.2,48.7407
1,mu+,0.560916,0.194039,500,0.593529,9950.96,22.6823,8.37176,10056,24.1779
2,mu+,1.18059,0.239723,489.503,1.20469,9949.5,47.2924,8.51735,10054.5,48.0532
2,mu+,1.22997,0.248615,500,1.25484,9949.5,47.1959,8.58908,10054.5,47.9711
2,e-,1.14966,0.227411,489.504,1.17194,0,-0,-0,0,0
2,e-,1.14966,0.227411,489.504,1.17194,0,-0,-0,0,0
3,mu+,-0.876511,0.732277,500,1.14215,9942.27,-34.8537,28.7285,10047.3,45.1675
4,mu+,0.0461307,-0.310588,500,0.313995,9950.07,4.21514,-12.3715,10055.2,13.0698
5,mu+,0.150078,-0.0453372,500,0.156777,9949.18,5.23295,-3.55129,10054.3,6.32419
6,mu+,0.468456,1.37833,500,1.45576,9931.83,17.802,54.2638,10036.8,57.1093
7,mu+,-0.610296,0.65235,490.084,0.893321,9946.29,-25.0917,24.6717,10051.3,35.1893
7,mu+,-0.63505,0.67669,500,0.928008,9946.29,-25.0964,24.6811,10051.3,35.1992
7,e-,-0.971776,0.807747,490.112,1.26365,0,-0,0,0,0
7,e-,-0.971776,0.807747,490.112,1.26365,0,-0,0,0,0
8,mu+,0.711322,1.17951,500,1.3774,9953.82,28.4537,46.7283,10058.8,54.7097
9,mu+,-1.07229,-0.320347,500,1.11912,9957.63,-44.113,-13.2545,10062.6,46.0612
10,mu+,-0.415982,-1.2814,483.173,1.34723,9954.46,-32.158,-46.4606,10059.4,56.5042
10,mu+,-0.469774,-1.35911,500,1.43801,9954.46,-32.1513,-46.3996,10059.4,56.4502
10,e-,-0.414904,-1.30817,483.174,1.37239,0,0,-0,0,0
10,e-,-0.414904,-1.30817,483.174,1.37239,0,0,-0,0,0
11,mu+,-0.665445,-0.480413,500,0.820739,9943.4,-26.6106,-18.6237,10048.5,32.4803
12,mu+,-0.352996,-0.370299,500,0.511593,9949.9,-13.822,-15.792,10055,20.9866
13,mu+,0.944052,0.668619,499.069,1.15684,9953.92,37.8211,26.3004,10058.9,46.0667
13,mu+,0.947552,0.671053,500,1.16111,9953.92,37.821,26.3004,10058.9,46.0667
13,e-,1.08239,0.404376,499.09,1.15546,0,0,-0,0,0
13,e-,1.08239,0.404376,499.09,1.15546,0,0,-0,0,0
14,mu+,-0.0172655,-0.551961,489.615,0.552231,9957.2,-1.854,-23.1168,10062.3,23.1911
