EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,mu+,2.74746,4.31482,489.828,489.855,955.052,11.3392,18.988,1055.2,1055.43
0,mu+,2.85677,4.49786,500,500.028,955.05,11.3001,19.0171,1055.2,1055.43
0,e-,2.74094,4.33697,489.828,489.855,0,-0,0,0,0
0,e-,2.74094,4.33697,489.828,489.855,0,-0,0,0,0
1,mu+,-0.275754,-4.8271,500,500.023,948.971,-2.31937,-19.8159,1049.13,1049.32
2,mu+,-3.37775,0.411272,500,500.012,951.169,-14.2947,3.52626,1051.43,1051.53
10,mu+,-0.0602396,-1.03608,500,500.001,959.715,-0.0836381,-5.98415,1060.1,1060.12
15,mu+,4.45496,-1.00323,500,500.021,958.382,16.6789,-4.87179,1058.64,1058.78
16,mu+,-4.18056,-1.11572,500,500.019,960.275,-18.1829,-4.55021,1060.52,1060.68
18,mu+,1.0106,2.01062,500,500.005,960.956,4.77567,8.4477,1061.32,1061.37
19,mu+,-4.81311,-3.69903,500,500.037,957.9,-20.1605,-14.8707,1058,1058.3
26,mu+,-3.71107,-1.65193,500,500.017,961.237,-15.8407,-7.20772,1061.51,1061.65
27,mu+,-0.439371,-2.77525,489.785,489.793,958.698,-2.6499,-12.1619,1059.03,1059.1
27,mu+,-0.464931,-2.89257,500,500.009,958.697,-2.64806,-12.1281,1059.03,1059.1
27,e-,-0.223058,-2.90853,489.801,489.809,0,0,-0,0,0
27,e-,-0.223058,-2.90853,489.801,489.809,0,0,-0,0,0
39,mu+,2.46776,-2.51424,500,500.012,956.694,10.9553,-9.6096,1056.98,1057.09
49,mu+,1.26157,2.92345,498.094,498.104,959.185,4.71202,10.053,1059.53,1059.59
49,mu+,1.27005,2.94153,500,500.01,959.184,4.72538,10.0588,1059.53,1059.59
49,e-,1.26959,2.90353,498.095,498.105,0,0,-0,0,0
49,e-,1.26959,2.90353,498.095,498.105,0,0,-0,0,0
54,mu+,1.65074,-1.59719,500,500.005,957.245,5.24651,-6.13011,1057.61,1057.64
60,mu+,-1.96839,3.66858,500,500.017,957.063,-9.61455,16.0306,1057.29,1057.46
62,mu+,-2.52216,2.8906,500,500.015,958.372,-14.4512,14.4257,1058.57,1058.77
69,mu+,0.915494,-3.51058,492.212,492.226,963.458,5.31279,-16.1348,1063.75,1063.88
69,mu+,0.954389,-3.6287,500,500.014,963.457,5.35667,-16.1321,1063.75,1063.88
69,e-,0.952041,-3.50945,492.213,492.227,0,0,0,0,0
69,e-,0.952041,-3.50945,492.213,492.227,0,0,0,0,0
73,mu+,-0.436392,-2.27176,500,500.005,960.675,-1.89666,-10.0417,1061.04,1061.09
78,mu+,5,0.562872,486.354,486.38,960.711,22.707,2.25232,1060.88,1061.12
82,mu+,2.13131,-1.37775,485.076,485.082,954.773,8.21886,-6.3413,1055.1,1055.15
82,mu+,2.24757,-1.46745,500,500.007,954.771,8.30768,-6.17649,1055.1,1055.15
82,e-,2.08416,-1.39454,485.078,485.084,0,-0,-0,0,0
82,e-,2.08416,-1.39454,485.078,485.084,0,-0,-0,0,0
99,mu+,-1.84102,0.51566,500,500.004,959.197,-5.44168,0.398721,1059.59,1059.6
100,mu+,5,-2.69919,497.466,497.499,958.769,20.33,-12.9578,1058.9,1059.17
106,mu+,-1.08723,-1.80517,500,500.004,921.165,-5.3236,-6.22432,1021.34,1021.37
107,mu+,-3.22903,-0.373561,500,500.011,960.836,-13.9805,-0.808073,1061.15,1061.25
110,mu+,2.47107,-4.60828,490.657,490.685,959.819,10.7678,-17.3399,1060.03,1060.23
110,mu+,2.56598,-4.76111,500,500.029,959.817,10.7703,-17.3502,1060.03,1060.22
110,e-,2.42582,-4.64281,490.659,490.687,0,-0,-0,0,0
110,e-,2.42582,-4.64281,490.659,490.687,0,-0,-0,0,0
112,mu+,-4.15846,-3.42897,480.318,480.348,960.846,-17.6348,-15.3648,1061,1061.26
112,mu+,-4.48559,-3.714,500,500.034,960.844,-17.6364,-15.3166,1061,1061.26
112,e-,-4.21493,-3.59263,480.268,480.3,0.00393365,-0.0518847,-0.0267045,-0.0251099,0.0635268
112,e-,-4.35095,-3.64371,480.282,480.316,0.00357905,-0.0528968,-0.0279758,0.00948076,0.0605854
