EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
1,proton,-4.33808,0.581856,500,500.019,956.379,-29.9469,4.11352,1645.73,1646.01
5,proton,5,-1.4073,494.646,494.674,959.214,31.7129,-8.87953,1648.94,1649.27
7,proton,-5,1.99067,481.636,481.666,957.054,-34.4163,15.2452,1646.36,1646.79
7,e-,4.22309,2.7006,486.872,486.898,0.588667,0.614032,0.0120265,0.755622,0.973727
7,e-,5,2.71582,487.828,487.861,0.58862,0.62807,0.00540949,0.744004,0.973675
7,e-,4.25823,2.67494,486.845,486.871,0,0,-0,-0,0
7,e-,4.25823,2.67494,486.845,486.871,0,0,-0,-0,0
11,proton,-5,-2.43595,494.223,494.254,956.619,-36.551,-21.0966,1645.74,1646.29
13,proton,-3.17627,4.48754,500,500.03,954.819,-21.5424,28.2364,1643.83,1644.21
14,proton,-2.17265,-4.20442,500,500.022,956.472,-12.6759,-27.9082,1645.83,1646.12
15,proton,-2.58522,-0.832967,498.227,498.234,953.358,-15.5067,-5.54958,1642.45,1642.53
15,proton,-2.60163,-0.838854,499.966,499.973,953.356,-15.4811,-5.59966,1642.45,1642.53
15,proton,-2.60195,-0.838972,500,500.007,953.356,-15.4811,-5.59966,1642.45,1642.53
15,e-,-2.60217,-0.821944,499.964,499.971,0.00119519,-0.00502223,0.0345033,0.00268417,0.0349701
15,e-,-2.61455,-0.80651,499.964,499.971,0,-0,0,-0,0
15,e-,-2.61455,-0.80651,499.964,499.971,0,-0,0,-0,0
15,e-,-2.29444,-0.60075,498.261,498.267,0,0,0,0,0
15,e-,-2.29444,-0.60075,498.261,498.267,0,0,0,0,0
16,proton,1.12301,2.13599,493.105,493.111,960.16,9.17893,13.9891,1650.28,1650.36
16,proton,1.16136,2.19443,500,500.006,960.159,9.11082,13.9348,1650.28,1650.36
16,e-,1.13486,2.0869,493.108,493.114,0,0,-0,0,0
16,e-,1.13486,2.0869,493.108,493.114,0,0,-0,0,0
20,proton,0.170597,-4.10599,500,500.017,955.398,2.84615,-26.6666,1644.66,1644.88
26,proton,4.38868,0.937714,500,500.02,955.079,31.5691,5.49369,1644.2,1644.51
27,proton,-1.19652,4.19282,500,500.019,959.108,-8.99507,28.5853,1648.88,1649.15
28,proton,3.67473,-4.91633,500,500.038,958.792,22.2822,-32.6197,1648.31,1648.79
33,proton,-3.37739,-1.47686,500,500.014,959.557,-21.3932,-9.55621,1649.5,1649.67
36,proton,-4.37595,0.514779,496.231,496.251,956.237,-30.3401,3.83593,1645.56,1645.85
36,proton,-4.44544,0.523563,500,500.02,956.237,-30.3366,3.89134,1645.56,1645.85
36,e-,-4.38331,0.542176,496.232,496.252,0,-0,0,0,0
36,e-,-4.38331,0.542176,496.232,496.252,0,-0,0,0,0
39,proton,-3.77048,-0.813337,500,500.015,952.289,-24.2099,-4.57031,1641.12,1641.3
41,proton,-0.869507,-3.29755,500,500.012,955.694,-4.70205,-21.5929,1645.07,1645.22
42,proton,-0.397719,3.99681,500,500.016,959.497,-1.82144,28.3831,1649.35,1649.6
43,proton,-3.33233,1.19439,500,500.013,958.725,-23.1701,9.96508,1648.52,1648.71
45,proton,4.54721,-1.00809,481.286,481.308,955.122,34.134,-7.64866,1644.19,1644.56
45,proton,4.93572,-1.09514,500,500.026,955.118,34.1417,-7.75826,1644.19,1644.56
45,e-,4.40376,-1.22535,481.384,481.406,0.0114617,-0.0914955,-0.0537115,0.0242664,0.108836
45,e-,4.04282,-1.3832,481.364,481.383,0.0111199,-0.106257,-0.0124753,0.00648095,0.107183
45,e-,3.58811,-1.53916,481.54,481.556,0.00981338,-0.0668657,-0.0697891,0.0280001,0.100626
45,e-,2.83461,-1.72806,481.78,481.792,0.00845957,-0.0236826,-0.0699783,0.0570911,0.0933661
45,e-,2.62634,-2.34347,482.283,482.295,0.00375475,-0.022414,0.0163964,0.0554997,0.06206
45,e-,2.55582,-2.29188,482.457,482.469,0,-0,0,0,0
45,e-,2.55582,-2.29188,482.457,482.469,0,-0,0,0,0
51,proton,3.46494,-3.1255,500,500.022,959.85,26.1278,-21.6391,1649.65,1650
53,proton,2.23692,0.922396,500,500.006,954.075,15.7099,7.92097,1643.26,1643.36
54,proton,-1.29616,-2.66459,500,500.009,956.484,-9.73695,-17.5488,1646.01,1646.13
57,proton,3.81778,-3.791,500,500.029,957.776,24.6778,-23.3793,1647.27,1647.62
58,proton,-2.53412,-2.56835,500,500.013,952.085,-16.0501,-15.4448,1640.91,1641.07
66,proton,4.60798,0.282429,500,500.021,957.788,30.7405,0.902112,1647.34,1647.63
67,proton,-1.68889,2.93555,500,500.011,958.04,-10.0367,19.575,1647.77,1647.92
68,proton,1.92344,0.667336,497.061,497.065,959.487,18.4885,5.84928,1649.47,1649.59
68,proton,1.95639,0.677759,500,500.004,959.487,18.4712,5.84303,1649.47,1649.59
68,e-,3.01268,0.763805,497.174,497.184,0.00389072,0.0529349,-0.00633393,-0.0339003,0.0631779
68,e-,3.18689,0.742961,497.062,497.073,0,0,-0,-0,0
68,e-,3.18689,0.742961,497.062,497.073,0,0,-0,-0,0
71,proton,-0.589869,-3.30191,500,500.011,955.267,-2.67771,-20.1931,1644.6,1644.73
73,proton,3.53059,0.463172,500,500.013,958.871,23.3215,0.549224,1648.71,1648.88
76,proton,4.05565,4.87587,500,500.04,953.361,29.0731,32.4998,1641.96,1642.54
79,proton,-4.65356,-2.15375,497.907,497.934,954.973,-30.5895,-12.1048,1644.06,1644.39
79,proton,-4.6925,-2.16916,500,500.027,954.972,-30.58,-12.1084,1644.06,1644.39
79,e-,-4.67603,-2.20257,497.909,497.936,0,-0,-0,0,0
79,e-,-4.67603,-2.20257,497.909,497.936,0,-0,-0,0,0
80,proton,0.426763,-5,483.176,483.202,957.15,1.97018,-35.8469,1646.51,1646.9
82,proton,0.342109,2.87492,500,500.008,957.305,2.24833,17.4956,1646.98,1647.08
87,proton,0.412161,-0.19956,500,500,951.092,3.34232,-2.48483,1639.92,1639.92
88,proton,4.10161,1.18557,500,500.018,956.094,25.4717,8.27864,1645.46,1645.68
94,proton,-4.52608,5,485.224,485.271,957.731,-31.5883,33.2732,1646.93,1647.57
95,proton,2.13132,5,491.495,491.525,959.015,15.8418,32.3981,1648.65,1649.04
96,proton,2.80676,1.94928,500,500.012,955.021,19.1879,12.5699,1644.29,1644.45
97,proton,2.74956,-2.6033,500,500.014,957.394,19.1595,-16.8516,1646.98,1647.18
98,proton,4.15889,4.49996,487.588,487.626,958.393,30.1808,31.9387,1647.74,1648.33
98,proton,4.38623,4.74055,500,500.042,958.39,30.3012,31.9431,1647.74,1648.32
98,e-,4.13871,4.51613,487.589,487.627,0,-0,0,0,0
98,e-,4.13871,4.51613,487.589,487.627,0,-0,0,0,0
100,proton,2.20033,4.9068,500,500.029,957.718,14.4177,30.7261,1647.2,1647.55
101,proton,3.75303,1.17191,500,500.015,955.792,25.6367,5.69595,1645.12,1645.33
102,proton,-2.75147,-1.49502,500,500.01,954.14,-18.7139,-10.2448,1643.29,1643.43
108,proton,-5,-3.43244,495.154,495.192,951.672,-34.3857,-21.5995,1640.09,1640.59
113,proton,-4.81131,-0.152087,500,500.023,953.63,-30.7335,-2.89814,1642.55,1642.84
118,proton,-3.87826,3.38878,500,500.027,953.015,-23.6327,23.6206,1641.8,1642.14
132,proton,-0.441491,3.12024,500,500.01,960.13,-3.80926,20.9025,1650.19,1650.33
134,proton,-2.61798,-4.08569,500,500.024,954.995,-17.1136,-26.7674,1644.11,1644.42
135,proton,-1.06029,2.6328,486.456,486.464,952.18,-8.59556,18.6351,1641.05,1641.17
135,proton,-1.13124,2.7866,500,500.009,952.179,-8.61007,18.643,1641.04,1641.17
135,e-,-1.09241,2.60644,486.458,486.466,0,-0,-0,0,0
135,e-,-1.09241,2.60644,486.458,486.466,0,-0,-0,0,0
136,proton,0.504039,3.09568,500,500.01,955.766,2.76358,21.3744,1645.16,1645.3
139,proton,-1.58779,-2.26343,500,500.008,959.956,-10.6168,-13.5678,1650.04,1650.13
142,proton,-1.15446,-3.69162,500,500.015,959.343,-7.43082,-24.4775,1649.22,1649.42
146,proton,2.51582,-3.14963,498.577,498.593,950.89,16.2793,-22.3593,1639.46,1639.69
146,proton,2.52995,-3.16904,500,500.016,950.89,16.2785,-22.3545,1639.46,1639.69
146,e-,2.66266,-2.75311,498.618,498.632,0,0,0,0,0
146,e-,2.66266,-2.75311,498.618,498.632,0,0,0,0,0
152,proton,-2.22715,-5,493.228,493.259,958.683,-15.4253,-34.3616,1648.23,1648.66
154,proton,-0.897949,2.09729,500,500.005,957.728,-4.66236,13.974,1647.5,1647.56
156,proton,4.83645,3.71227,500,500.037,959.552,31.3501,23.5455,1649.2,1649.66
158,proton,1.47166,-4.27121,500,500.02,952.869,10.3886,-29.8584,1641.66,1641.97
159,proton,2.04765,4.49629,500,500.024,952.338,14.6627,30.7449,1641,1641.36
162,proton,-0.101352,-2.68344,500,500.007,957.895,0.886252,-16.8909,1647.67,1647.75
164,proton,3.13369,3.17747,500,500.02,956.217,21.0669,21.3369,1645.55,1645.82
170,proton,-3.91207,-4.07638,493.325,493.358,956.472,-25.5381,-27.3799,1645.69,1646.12
170,proton,-4.01565,-4.18742,500,500.034,956.472,-25.5968,-27.3112,1645.69,1646.12
170,e-,-3.79073,-3.94973,493.342,493.372,0.00190453,0.0331587,-0.0209919,0.0202456,0.0441593
170,e-,-3.74527,-3.97851,493.37,493.4,0,0,-0,0,0
170,e-,-3.74527,-3.97851,493.37,493.4,0,0,-0,0,0
170,e-,-3.79631,-3.93368,493.368,493.398,0,-0,0,0,0
170,e-,-3.79631,-3.93368,493.368,493.398,0,-0,0,0,0
182,proton,-0.178228,-3.36661,500,500.011,952.453,-0.697599,-22.9848,1641.33,1641.49
184,proton,1.21104,-4.12144,500,500.018,959.313,5.42664,-25.5012,1649.18,1649.39
189,proton,-1.78342,-4.90516,500,500.027,958.765,-13.8383,-32.8168,1648.37,1648.76
190,proton,-5,1.21338,493.824,493.851,955.599,-33.8431,9.87025,1644.73,1645.11
191,proton,-0.706673,-1.26747,486.338,486.34,953.511,-6.21076,-8.21028,1642.68,1642.71
191,proton,-0.758329,-1.33576,500,500.002,953.508,-6.24659,-8.27314,1642.67,1642.7
191,e-,-0.659482,-1.2423,486.34,486.342,0,0,0,0,0
191,e-,-0.659482,-1.2423,486.34,486.342,0,0,0,0,0
203,proton,-1.14884,-0.502442,500,500.002,958.155,-8.26452,-1.98795,1648.03,1648.05
209,proton,1.31897,2.55461,500,500.008,956.051,9.10372,18.0048,1645.51,1645.63
212,proton,5,-0.114419,481.704,481.73,953.93,35.0776,-0.230231,1642.82,1643.19
214,proton,-2.24404,1.9452,500,500.009,959.623,-15.7337,12.0016,1649.62,1649.74
216,proton,-1.72605,-0.0872619,500,500.003,954.798,-10.3839,-3.02359,1644.15,1644.19
