EventID, ParticleName, PositionX, PositionY, PositionZ, Radius, Energy, MomentumX, MomentumY, MomentumZ, |Momentum|
0,proton,1.03214,0.218869,490.333,1.05509,9954.95,47.2113,10.3937,10852.6,48.3419
0,proton,1.0403,0.220663,492.207,1.06344,9954.95,47.247,10.3806,10852.6,48.3739
0,proton,1.07422,0.228117,500.0,1.09818,9954.95,47.2629,10.3991,10852.6,48.3935
0,e-,1.00548,0.233448,492.209,1.03223,0.0,-0.0,0.0,0.0,0.0
0,e-,1.00548,0.233448,492.209,1.03223,0.0,-0.0,0.0,0.0,0.0
0,e-,0.650591,0.213945,490.37,0.684866,0.00699596,-0.041907,0.0733105,-0.0082561,0.0844431
0,e-,0.357398,0.726846,490.313,0.809962,0.00180257,-0.0277998,-0.0321805,-0.00608699,0.0425255
0,e-,0.321635,0.685448,490.305,0.757158,0.0,-0.0,-0.0,-0.0,0.0
0,e-,0.321635,0.685448,490.305,0.757158,0.0,-0.0,-0.0,-0.0,0.0
0,e-,0.628965,0.201462,490.369,0.660442,0.0,-0.0,-0.0,-0.0,0.0
0,e-,0.628965,0.201462,490.369,0.660442,0.0,-0.0,-0.0,-0.0,0.0
1,proton,0.790467,-0.958843,485.366,1.24267,9940.76,36.5359,-44.9297,10838.3,57.9099
1,proton,0.839798,-1.01951,500.0,1.32085,9940.75,36.6844,-44.8576,10838.3,57.9478
1,e-,0.622101,-1.00714,485.377,1.18378,0.0,-0.0,-0.0,0.0,0.0
1,e-,0.622101,-1.00714,485.377,1.18378,0.0,-0.0,-0.0,0.0,0.0
2,proton,1.06375,0.317217,500.0,1.11004,9954.95,46.2699,13.3,10852.6,48.1434
3,proton,0.974169,0.938902,500.0,1.35297,9920.97,40.8964,38.4523,10818.5,56.1346
4,proton,-0.617633,0.0539664,500.0,0.619986,9957.7,-26.5355,0.517875,10855.5,26.5405
5,proton,-0.079637,1.92214,483.765,1.92379,9921.97,-2.91036,89.7449,10819.3,89.792
5,proton,-0.0840042,2.05681,500.0,2.05852,9921.97,-2.92831,89.8264,10819.3,89.8741
5,e-,-0.0969722,1.87307,483.767,1.87558,0.0,-0.0,-0.0,0.0,0.0
5,e-,-0.0969722,1.87307,483.767,1.87558,0.0,-0.0,-0.0,0.0,0.0
6,proton,0.787858,0.312431,500.0,0.847545,9943.37,33.9313,12.5617,10841.1,36.1819
7,proton,-0.674512,-0.0205443,499.977,0.674825,9958.97,-29.4197,2.3556,10856.7,29.5139
7,proton,-0.674575,-0.0205393,500.0,0.674887,9958.97,-29.4197,2.3556,10856.7,29.5139
7,e-,-0.511392,0.0627691,500.0,0.515229,0.0157314,0.0998113,0.0742907,0.0290436,0.124424
8,proton,0.0546682,-0.466197,482.532,0.469391,9957.06,2.53565,-22.6163,10854.8,22.758
8,proton,0.0587488,-0.502592,500.0,0.506014,9957.05,2.54967,-22.7803,10854.8,22.9226
8,e-,0.0109762,-0.559407,482.537,0.559515,0.0,-0.0,-0.0,0.0,0.0
8,e-,0.0109762,-0.559407,482.537,0.559515,0.0,-0.0,-0.0,0.0,0.0
9,proton,-1.64558,-0.565352,500.0,1.73999,9954.36,-71.1831,-24.6459,10851.9,75.329
10,proton,0.0732204,-1.23253,500.0,1.2347,9955.83,3.31936,-54.0755,10853.5,54.1773
11,proton,0.246253,-1.63173,500.0,1.65021,9961.79,10.522,-72.8508,10859.4,73.6068
12,proton,0.0801918,0.226198,500.0,0.239992,9956.23,3.00631,11.2457,10854.0,11.6406
13,proton,-0.304695,-1.00779,500.0,1.05285,9962.84,-13.7442,-43.2586,10860.6,45.3895
14,proton,-0.353149,1.19873,500.0,1.24966,9941.7,-14.8986,51.637,10839.3,53.7434
15,proton,-1.02598,0.688232,500.0,1.23543,9961.5,-44.1475,30.4971,10859.2,53.657
16,proton,-0.553371,-1.88796,500.0,1.96738,9958.38,-21.8818,-82.3883,10855.8,85.2446
17,proton,-1.36727,-1.46001,500.0,2.00027,9937.82,-55.3148,-61.9912,10835.2,83.0821
18,proton,-0.125453,-0.538853,500.0,0.553263,9953.33,-3.55584,-23.7753,10851.1,24.0397
19,proton,-0.413295,0.775952,500.0,0.879155,9958.17,-18.15,34.7559,10855.9,39.2097
20,proton,-0.832035,-0.431966,500.0,0.937484,9959.57,-35.86,-19.6917,10857.3,40.9109
21,proton,0.724663,0.696136,500.0,1.00486,9958.03,34.7806,30.785,10855.7,46.4479
22,proton,-0.994805,0.696453,500.0,1.21437,9948.98,-42.5786,29.3926,10846.6,51.7385
23,proton,-0.112754,0.0662763,500.0,0.13079,9957.62,-5.97134,3.31015,10855.4,6.82744
24,proton,-0.978703,-0.440883,500.0,1.07342,9949.17,-41.9006,-18.5631,10846.8,45.8284
25,proton,0.0483249,-1.00759,500.0,1.00875,9950.04,1.14474,-42.5514,10847.7,42.5668
26,proton,-1.19367,0.00389288,500.0,1.19367,9958.95,-53.4166,0.173558,10856.6,53.4169
27,proton,0.660044,-0.577095,484.376,0.876753,9962.43,30.6991,-25.4746,10860.2,39.8922
27,proton,0.662581,-0.5792,485.273,0.880049,9962.43,30.667,-25.4303,10860.2,39.8392
27,proton,0.704167,-0.613685,500.0,0.934056,9962.42,30.6375,-25.3879,10860.2,39.7895
27,e-,0.723133,-0.699264,485.28,1.00593,0.0,0.0,-0.0,0.0,0.0
27,e-,0.723133,-0.699264,485.28,1.00593,0.0,0.0,-0.0,0.0,0.0
27,e-,0.666804,-0.555103,484.376,0.867622,0.0,0.0,0.0,0.0,0.0
27,e-,0.666804,-0.555103,484.376,0.867622,0.0,0.0,0.0,0.0,0.0
28,proton,1.6642,-0.274815,500.0,1.68674,9959.44,72.0679,-12.1079,10857.0,73.0779
29,proton,-2.72103,0.359744,500.0,2.74471,9958.88,-119.357,16.2303,10856.0,120.455
30,proton,-0.124235,0.934594,485.189,0.942815,9928.65,-6.4522,43.2211,10826.3,43.7001
30,proton,-0.133062,0.993725,500.0,1.00259,9928.65,-6.40761,43.2962,10826.2,43.7678
30,e-,-0.136105,0.972241,485.19,0.981722,0.0,-0.0,0.0,0.0,0.0
30,e-,-0.136105,0.972241,485.19,0.981722,0.0,-0.0,0.0,0.0,0.0
31,proton,-0.942048,-1.17631,500.0,1.50703,9962.03,-40.6931,-51.8532,10859.6,65.9142
31,e-,-0.661573,-1.13227,480.0,1.31138,0.00113467,-0.0152555,0.00718719,-0.0296063,0.0168637
32,proton,0.153082,0.456835,500.0,0.481801,9955.97,4.51894,19.1495,10853.7,19.6755
33,proton,0.0484452,-0.0207842,500.0,0.0527154,9950.73,0.451628,-2.3959,10848.5,2.4381
34,proton,0.555071,1.02206,500.0,1.16307,9949.6,24.4281,44.79,10847.2,51.0184
35,proton,0.131646,-0.127258,500.0,0.183099,9957.77,5.88512,-5.94826,10855.6,8.36758
36,proton,0.451707,1.24838,500.0,1.32758,9959.25,20.6205,60.1104,10856.9,63.5489
37,proton,-0.742461,0.759704,500.0,1.06226,9962.96,-31.852,33.1363,10860.7,45.9626
38,proton,0.918867,-1.97669,500.0,2.17982,9953.87,40.5717,-86.6708,10851.2,95.6969
